"Activos"
"1"
"2"
"3"
"13"
"15"
"19"
"23"
"24"
"32"
"38"
"46"
"55"
"76"
"89"
"102"
"124"
"157"
"211"
"259"
"323"
"434"
"585"
"751"
"1.021"
"1.265"
"1.522"
"1.792"
"2.135"
"2.427"
"2.703"
"3.048"
"3.308"
"3.589"
"3.855"
"4.077"
"4.246"
"4.347"
"4.454"
"4.529"
"4.715"
"4.810"
"4.834"
"4.907"
"4.947"
"5.029"
"5.124"
"5.197"
"5.318"
"5.433"
"5.470"
"5.587"
"5.804"
"6.003"
"6.205"
"6.425"
"6.658"
"6.831"
"7.022"
"7.610"
"7.956"
"8.384"
"8.806"
"9.453"
"10.168"
"10.862"
"11.972"
"13.162"
"14.272"
"15.710"
"17.895"
"19.933"
"22.143"
"24.901"
"27.672"
"30.372"
"33.235"
"36.417"
"39.232"
"42.331"
"46.076"
"49.224"
"51.733"
"53.930"
"56.578"
"58.854"
"60.681"
"62.732"
"64.477"
"67.215"
"68.117"
"69.560"
"70.678"
"71.024"
"71.843"
"71.853"
"72.597"
"73.455"
"73.261"
"73.268"
"73.057"
"74.242"
"73.772"
"72.107"
"72.101"
"71.555"
"70.970"
"70.351"
"69.482"
"68.823"
"68.266"
"67.187"
"66.564"
"65.827"
"65.102"
"62.889"
"62.265"
"61.569"
"60.988"
"59.851"
"59.134"
"58.258"
"56.656"
"55.928"
"54.672"
"53.780"
"52.344"
"50.898"
"49.763"
"47.592"
"46.394"
"45.742"
"44.101"
"42.691"
"41.286"
"40.440"
"39.404"
"38.300"
"37.214"
"36.183"
"35.131"
"34.061"
"32.941"
"31.735"
"30.033"
"27.564"
"25.397"
"22.929"
"20.633"
