comuna,confirmados
Arica,1887
Camarones,0
General Lagos,0
Putre,11
Alto Hospicio,1982
Camiña,29
Colchane,58
Huara,68
Iquique,3319
Pica,91
Pozo Almonte,396
Antofagasta,4067
Calama,4240
María Elena,247
Mejillones,373
Ollagüe,6
San Pedro de Atacama,106
Sierra Gorda,46
Taltal,71
Tocopilla,134
Alto del Carmen,6
Caldera,40
Chañaral,24
Copiapó,670
Diego de Almagro,37
Freirina,16
Huasco,21
Tierra Amarilla,69
Vallenar,262
Andacollo,38
Canela,14
Combarbalá,30
Coquimbo,1044
Illapel,128
La Higuera,3
La Serena,874
Los Vilos,51
Monte Patria,191
Ovalle,863
Paiguano,7
Punitaqui,51
Río Hurtado,17
Salamanca,56
Vicuña,34
Algarrobo,98
Cabildo,161
Calera,339
Calle Larga,170
Cartagena,128
Casablanca,130
Catemu,72
Concón,275
El Quisco,113
El Tabo,150
Hijuelas,96
Isla de Pascua,5
Juan Fernández,0
La Cruz,97
La Ligua,199
Limache,489
Llaillay,201
Los Andes,709
Nogales,77
Olmué,78
Panquehue,59
Papudo,65
Petorca,55
Puchuncaví,108
Putaendo,151
Quillota,894
Quilpué,992
Quintero,282
Rinconada,128
San Antonio,983
San Esteban,137
San Felipe,842
Santa María,145
Santo Domingo,119
Valparaíso,2766
Villa Alemana,954
Viña del Mar,2542
Zapallar,33
Alhué,84
Buin,1776
Calera de Tango,428
Cerrillos,2468
Cerro Navia,5307
Colina,3945
Conchalí,5189
Curacaví,698
El Bosque,5095
El Monte,850
Estación Central,5281
Huechuraba,3185
Independencia,5635
Isla de Maipo,545
La Cisterna,2689
La Florida,11510
La Granja,5978
La Pintana,8135
La Reina,1810
Lampa,2827
Las Condes,4866
Lo Barnechea,2664
Lo Espejo,3496
Lo Prado,3872
Macul,4137
Maipú,11666
María Pinto,242
Melipilla,2808
Ñuñoa,4676
Padre Hurtado,1639
Paine,1335
Pedro Aguirre Cerda,3528
Peñaflor,2178
Peñalolén,9952
Pirque,879
Providencia,2591
Pudahuel,8128
Puente Alto,18932
Quilicura,7684
Quinta Normal,4801
Recoleta,7446
Renca,6408
San Bernardo,8974
San Joaquín,4074
San José de Maipo,508
San Miguel,4353
San Pedro,169
San Ramón,3825
Santiago,12728
Talagante,1231
Tiltil,453
Vitacura,1275
