comuna,fallecidos
Arica,81
Camarones,1
General Lagos,0
Putre,0
Alto Hospicio,51
Camiña,2
Colchane,3
Huara,4
Iquique,111
Pica,2
Pozo Almonte,14
Antofagasta,156
Calama,208
María Elena,13
Mejillones,5
Ollagüe,0
San Pedro de Atacama,8
Sierra Gorda,1
Taltal,4
Tocopilla,9
Alto del Carmen,0
Caldera,1
Chañaral,0
Copiapó,19
Diego de Almagro,2
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,2
Combarbalá,0
Coquimbo,24
Illapel,2
La Higuera,0
La Serena,30
Los Vilos,3
Monte Patria,4
Ovalle,22
Paiguano,0
Punitaqui,5
Río Hurtado,0
Salamanca,1
Vicuña,1
Algarrobo,7
Cabildo,18
Calera,24
Calle Larga,2
Cartagena,3
Casablanca,4
Catemu,4
Concón,8
El Quisco,3
El Tabo,12
Hijuelas,5
Isla de Pascua,0
Juan Fernández,0
La Cruz,3
La Ligua,13
Limache,21
Llaillay,7
Los Andes,46
Nogales,3
Olmué,4
Panquehue,0
Papudo,3
Petorca,1
Puchuncaví,4
Putaendo,6
Quillota,40
Quilpué,43
Quintero,11
Rinconada,4
San Antonio,38
San Esteban,5
San Felipe,30
Santa María,4
Santo Domingo,2
Valparaíso,102
Villa Alemana,22
Viña del Mar,119
Zapallar,3
Alhué,4
Buin,81
Calera de Tango,8
Cerrillos,80
Cerro Navia,257
Colina,111
Conchalí,227
Curacaví,17
El Bosque,214
El Monte,41
Estación Central,147
Huechuraba,138
Independencia,242
Isla de Maipo,19
La Cisterna,121
La Florida,472
La Granja,201
La Pintana,314
La Reina,90
Lampa,53
Las Condes,301
Lo Barnechea,72
Lo Espejo,188
Lo Prado,142
Macul,157
Maipú,393
María Pinto,7
Melipilla,114
Ñuñoa,250
Padre Hurtado,52
Paine,44
Pedro Aguirre Cerda,207
Peñaflor,112
Peñalolén,314
Pirque,29
Providencia,155
Pudahuel,245
Puente Alto,573
Quilicura,149
Quinta Normal,172
Recoleta,301
Renca,242
San Bernardo,328
San Joaquín,155
San José de Maipo,20
San Miguel,139
San Pedro,4
San Ramón,162
Santiago,280
Talagante,63
Tiltil,13
Vitacura,61
Chépica,4
Chimbarongo,6
Codegua,6
Coinco,4
Coltauco,9
Doñihue,8
Graneros,4
La Estrella,0
Las Cabras,6
Litueche,2
Lolol,2
Machalí,13
Malloa,5
Marchihue,0
Mostazal,5
Nancagua,3
Navidad,2
Olivar,4
Palmilla,4
Paredones,2
Peralillo,1
Peumo,7
Pichidegua,5
Pichilemu,0
Placilla,0
Pumanque,1
Quinta de Tilcoco,4
Rancagua,121
Rengo,29
Requínoa,8
San Fernando,9
San Vicente,12
Santa Cruz,7
Cauquenes,9
Chanco,1
Colbún,1
Constitución,6
Curepto,4
Curicó,54
Empedrado,0
Hualañé,2
Licantén,3
Linares,18
Longaví,2
Maule,4
Molina,13
Parral,3
Pelarco,2
Pelluhue,3
Pencahue,0
Rauco,1
Retiro,0
Río Claro,6
Romeral,5
Sagrada Familia,1
San Clemente,11
San Javier,13
San Rafael,0
Talca,36
Teno,5
Vichuquén,1
Villa Alegre,3
Yerbas Buenas,6
Bulnes,8
Chillán,20
Chillán Viejo,2
Cobquecura,0
Coelemu,3
Coihueco,4
El Carmen,3
Ninhue,3
Ñiquén,3
Pemuco,2
Pinto,0
Portezuelo,0
Quillón,4
Quirihue,2
Ránquil,0
San Carlos,6
San Fabián,0
San Ignacio,6
San Nicolás,3
Treguaco,1
Yungay,1
Alto Biobío,0
Antuco,1
Arauco,3
Cabrero,2
Cañete,1
Chiguayante,11
Concepción,32
Contulmo,0
Coronel,8
Curanilahue,2
Florida,3
Hualpén,14
Hualqui,6
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,13
Lota,2
Mulchén,0
Nacimiento,4
Negrete,2
Penco,5
Quilaco,0
Quilleco,1
San Pedro de la Paz,17
San Rosendo,1
Santa Bárbara,2
Santa Juana,4
Talcahuano,18
Tirúa,0
Tomé,1
Tucapel,2
Yumbel,1
Angol,10
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,1
Freire,1
Galvarino,0
Gorbea,1
Lautaro,3
Loncoche,1
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,3
Padre Las Casas,6
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,1
Saavedra,0
Temuco,27
Teodoro Schmidt,1
Toltén,1
Traiguén,0
Victoria,7
Vilcún,3
Villarrica,1
Corral,0
Futrono,0
La Unión,3
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,1
Panguipulli,1
Río Bueno,0
Valdivia,7
Ancud,2
Calbuco,4
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,2
Frutillar,0
Futaleufú,0
Hualaihué,1
Llanquihue,1
Los Muermos,0
Maullín,0
Osorno,18
Palena,0
Puerto Montt,18
Puerto Octay,0
Puerto Varas,3
Puqueldón,0
Purranque,2
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,1
