comuna,confirmados
Arica,806
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,1.062
Camiña,8
Colchane,4
Huara,33
Iquique,1.700
Pica,57
Pozo Almonte,91
Antofagasta,1710
Calama,626
María Elena,160
Mejillones,273
Ollagüe,0
San Pedro de Atacama,9
Sierra Gorda,16
Taltal,37
Tocopilla,35
Alto del Carmen,1
Caldera,9
Chañaral,1
Copiapó,160
Diego de Almagro,13
Freirina,1
Huasco,2
Tierra Amarilla,25
Vallenar,65
Andacollo,17
Canela,3
Combarbalá,14
Coquimbo,281
Illapel,31
La Higuera,2
La Serena,205
Los Vilos,6
Monte Patria,55
Ovalle,171
Paiguano,3
Punitaqui,17
Río Hurtado,7
Salamanca,22
Vicuña,17
Algarrobo,48
Cabildo,24
Calera,82
Calle Larga,61
Cartagena,54
Casablanca,35
Catemu,17
Concón,72
El Quisco,66
El Tabo,61
Hijuelas,29
Isla de Pascua,5
Juan Fernández,0
La Cruz,33
La Ligua,28
Limache,125
Llaillay,67
Los Andes,194
Nogales,21
Olmué,24
Panquehue,14
Papudo,14
Petorca,21
Puchuncaví,18
Putaendo,34
Quillota,107
Quilpué,285
Quintero,97
Rinconada,48
San Antonio,472
San Esteban,29
San Felipe,187
Santa María,33
Santo Domingo,50
Valparaíso,765
Villa Alemana,233
Viña del Mar,861
Zapallar,3
Alhué,7
Buin,692
Calera de Tango,109
Cerrillos,1123
Cerro Navia,1892
Colina,1742
Conchalí,2330
Curacaví,335
El Bosque,2027
El Monte,215
Estación Central,2617
Huechuraba,1452
Independencia,3359
Isla de Maipo,108
La Cisterna,1185
La Florida,5237
La Granja,2820
La Pintana,3339
La Reina,864
Lampa,1108
Las Condes,2747
Lo Barnechea,1366
Lo Espejo,1491
Lo Prado,1347
Macul,1909
Maipú,4499
María Pinto,69
Melipilla,887
Ñuñoa,2250
Padre Hurtado,484
Paine,347
Pedro Aguirre Cerda,1441
Peñaflor,574
Peñalolén,4899
Pirque,324
Providencia,1403
Pudahuel,2831
Puente Alto,7939
Quilicura,3546
Quinta Normal,1897
Recoleta,4040
Renca,2180
San Bernardo,3408
San Joaquín,2068
San José de Maipo,232
San Miguel,1988
San Pedro,44
San Ramón,1841
Santiago,7089
Talagante,343
Tiltil,134
Vitacura,780
Chépica,6
Chimbarongo,23
Codegua,11
Coinco,17
Coltauco,28
Doñihue,35
Graneros,47
La Estrella,1
Las Cabras,20
Litueche,13
Lolol,10
Machalí,66
Malloa,4
Marchihue,1
Mostazal,20
Nancagua,16
Navidad,13
Olivar,25
Palmilla,4
Paredones,2
Peralillo,6
Peumo,7
Pichidegua,12
Pichilemu,11
Placilla,8
Pumanque,1
Quinta de Tilcoco,4
Rancagua,442
Rengo,47
Requínoa,31
San Fernando,46
San Vicente,51
Santa Cruz,19
Cauquenes,91
Chanco,4
Colbún,42
Constitución,39
Curepto,13
Curicó,429
Empedrado,0
Hualañé,46
Licantén,2
Linares,103
Longaví,44
Maule,78
Molina,33
Parral,96
Pelarco,23
Pelluhue,12
Pencahue,14
Rauco,17
Retiro,49
Río Claro,19
Romeral,44
Sagrada Familia,10
San Clemente,78
San Javier,66
San Rafael,55
Talca,392
Teno,15
Vichuquén,0
Villa Alegre,12
Yerbas Buenas,46
Bulnes,189
Chillán,648
Chillán Viejo,107
Cobquecura,0
Coelemu,25
Coihueco,53
El Carmen,25
Ninhue,12
Ñiquén,20
Pemuco,15
Pinto,15
Portezuelo,7
Quillón,67
Quirihue,21
Ránquil,10
San Carlos,91
San Fabián,8
San Ignacio,30
San Nicolás,33
Treguaco,1
Yungay,63
Alto Biobío,98
Antuco,18
Arauco,68
Cabrero,30
Cañete,15
Chiguayante,119
Concepción,355
Contulmo,1
Coronel,196
Curanilahue,8
Florida,5
Hualpén,175
Hualqui,46
Laja,67
Lebu,3
Los Álamos,3
Los Ángeles,295
Lota,61
Mulchén,22
Nacimiento,38
Negrete,39
Penco,45
Quilaco,1
Quilleco,3
San Pedro de la Paz,216
San Rosendo,3
Santa Bárbara,40
Santa Juana,4
Talcahuano,244
Tirúa,4
Tomé,96
Tucapel,24
Yumbel,32
Angol,172
Carahue,63
Cholchol,16
Collipulli,30
Cunco,31
Curacautín,8
Curarrehue,4
Ercilla,16
Freire,73
Galvarino,47
Gorbea,20
Lautaro,89
Loncoche,46
Lonquimay,62
Los Sauces,4
Lumaco,14
Melipeuco,8
Nueva Imperial,56
Padre Las Casas,163
Perquenco,11
Pitrufquén,58
Pucón,50
Purén,9
Renaico,25
Saavedra,87
Temuco,838
Teodoro Schmidt,10
Toltén,16
Traiguén,15
Victoria,113
Vilcún,92
Villarrica,33
Corral,13
Futrono,40
La Unión,48
Lago Ranco,2
Lanco,9
Los Lagos,23
Máfil,3
Mariquina,16
Paillaco,25
Panguipulli,21
Río Bueno,16
Valdivia,182
Ancud,85
Calbuco,8
Castro,8
Chaitén,1
Chonchi,0
Cochamó,1
Curaco de Vélez,0
Dalcahue,6
Fresia,0
Frutillar,12
Futaleufú,1
Hualaihué,4
Llanquihue,6
Los Muermos,2
Maullín,15
Osorno,391
Palena,0
Puerto Montt,193
Puerto Octay,5
Puerto Varas,30
Puqueldón,0
Purranque,66
Puyehue,11
Queilén,0
Quellón,1
Quemchi,14
Quinchao,1
Río Negro,31
San Juan de la Costa,34
San Pablo,12
Aisén,4
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,10
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,21
Laguna Blanca,0
Natales,13
Porvenir,9
Primavera,1
Punta Arenas,1.024
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
