comuna,activos
Arica,278
Camarones,0
General Lagos,0
Putre,1
Alto Hospicio,301
Camiña,7
Colchane,3
Huara,8
Iquique,521
Pica,14
Pozo Almonte,56
Antofagasta,307
Calama,92
María Elena,8
Mejillones,13
Ollagüe,0
San Pedro de Atacama,1
Sierra Gorda,5
Taltal,7
Tocopilla,3
Alto del Carmen,2
Caldera,4
Chañaral,0
Copiapó,89
Diego de Almagro,2
Freirina,0
Huasco,4
Tierra Amarilla,3
Vallenar,27
Andacollo,4
Canela,0
Combarbalá,8
Coquimbo,95
Illapel,20
La Higuera,0
La Serena,66
Los Vilos,2
Monte Patria,14
Ovalle,101
Paiguano,2
Punitaqui,11
Río Hurtado,5
Salamanca,16
Vicuña,4
Algarrobo,12
Cabildo,9
Calera,21
Calle Larga,29
Cartagena,12
Casablanca,13
Catemu,15
Concón,20
El Quisco,12
El Tabo,23
Hijuelas,9
Isla de Pascua,0
Juan Fernández,0
La Cruz,8
La Ligua,22
Limache,35
Llaillay,23
Los Andes,94
Nogales,7
Olmué,4
Panquehue,4
Papudo,6
Petorca,6
Puchuncaví,10
Putaendo,21
Quillota,37
Quilpué,64
Quintero,30
Rinconada,14
San Antonio,127
San Esteban,19
San Felipe,113
Santa María,15
Santo Domingo,10
Valparaíso,263
Villa Alemana,88
Viña del Mar,234
Zapallar,0
Alhué,1
Buin,133
Calera de Tango,45
Cerrillos,137
Cerro Navia,295
Colina,431
Conchalí,355
Curacaví,145
El Bosque,519
El Monte,37
Estación Central,452
Huechuraba,187
Independencia,462
Isla de Maipo,19
La Cisterna,296
La Florida,1087
La Granja,529
La Pintana,730
La Reina,161
Lampa,189
Las Condes,534
Lo Barnechea,207
Lo Espejo,347
Lo Prado,194
Macul,315
Maipú,963
María Pinto,11
Melipilla,338
Ñuñoa,459
Padre Hurtado,71
Paine,75
Pedro Aguirre Cerda,270
Peñaflor,121
Peñalolén,1030
Pirque,71
Providencia,302
Pudahuel,460
Puente Alto,1395
Quilicura,537
Quinta Normal,265
Recoleta,473
Renca,328
San Bernardo,627
San Joaquín,331
San José de Maipo,59
San Miguel,432
San Pedro,6
San Ramón,285
Santiago,1006
Talagante,119
Tiltil,21
Vitacura,126
Chépica,2
Chimbarongo,4
Codegua,4
Coinco,0
Coltauco,1
Doñihue,4
Graneros,3
La Estrella,1
Las Cabras,2
Litueche,2
Lolol,8
Machalí,26
Malloa,0
Marchihue,3
Mostazal,4
Nancagua,4
Navidad,1
Olivar,0
Palmilla,0
Paredones,1
Peralillo,1
Peumo,0
Pichidegua,0
Pichilemu,2
Placilla,5
Pumanque,1
Quinta de Tilcoco,0
Rancagua,119
Rengo,5
Requínoa,12
San Fernando,19
San Vicente,2
Santa Cruz,6
Cauquenes,95
Chanco,2
Colbún,13
Constitución,7
Curepto,1
Curicó,251
Empedrado,1
Hualañé,38
Licantén,0
Linares,27
Longaví,19
Maule,33
Molina,22
Parral,34
Pelarco,6
Pelluhue,2
Pencahue,2
Rauco,4
Retiro,34
Río Claro,8
Romeral,21
Sagrada Familia,7
San Clemente,32
San Javier,29
San Rafael,12
Talca,108
Teno,8
Vichuquén,0
Villa Alegre,9
Yerbas Buenas,17
Bulnes,26
Chillán,119
Chillán Viejo,16
Cobquecura,0
Coelemu,13
Coihueco,2
El Carmen,9
Ninhue,3
Ñiquén,16
Pemuco,6
Pinto,2
Portezuelo,0
Quillón,27
Quirihue,3
Ránquil,0
San Carlos,41
San Fabián,0
San Ignacio,10
San Nicolás,8
Treguaco,1
Yungay,7
Alto Biobío,64
Antuco,5
Arauco,30
Cabrero,6
Cañete,8
Chiguayante,23
Concepción,92
Contulmo,1
Coronel,100
Curanilahue,4
Florida,0
Hualpén,26
Hualqui,9
Laja,8
Lebu,6
Los Álamos,1
Los Ángeles,95
Lota,27
Mulchén,12
Nacimiento,7
Negrete,10
Penco,27
Quilaco,3
Quilleco,4
San Pedro de la Paz,57
San Rosendo,3
Santa Bárbara,21
Santa Juana,6
Talcahuano,65
Tirúa,0
Tomé,25
Tucapel,23
Yumbel,11
Angol,28
Carahue,15
Cholchol,16
Collipulli,9
Cunco,8
Curacautín,1
Curarrehue,0
Ercilla,1
Freire,21
Galvarino,49
Gorbea,5
Lautaro,20
Loncoche,17
Lonquimay,0
Los Sauces,4
Lumaco,3
Melipeuco,3
Nueva Imperial,9
Padre Las Casas,14
Perquenco,5
Pitrufquén,19
Pucón,20
Purén,0
Renaico,3
Saavedra,8
Temuco,22
Teodoro Schmidt,0
Toltén,1
Traiguén,8
Victoria,17
Vilcún,10
Villarrica,8
Corral,5
Futrono,13
La Unión,8
Lago Ranco,0
Lanco,1
Los Lagos,11
Máfil,0
Mariquina,1
Paillaco,2
Panguipulli,23
Río Bueno,2
