comuna,activos
Arica,859
Camarones,12
General Lagos,0
Putre,12
Alto Hospicio,144
Camiña,7
Colchane,4
Huara,27
Iquique,335
Pica,39
Pozo Almonte,53
Antofagasta,825
Calama,494
María Elena,13
Mejillones,21
Ollagüe,10
San Pedro de Atacama,55
Sierra Gorda,9
Taltal,27
Tocopilla,25
Alto del Carmen,1
Caldera,15
Chañaral,9
Copiapó,264
Diego de Almagro,4
Freirina,23
Huasco,1
Tierra Amarilla,32
Vallenar,74
Andacollo,5
Canela,0
Combarbalá,2
Coquimbo,357
Illapel,57
La Higuera,10
La Serena,377
Los Vilos,6
Monte Patria,24
Ovalle,85
Paiguano,2
Punitaqui,18
Río Hurtado,1
Salamanca,14
Vicuña,44
Algarrobo,3
Cabildo,27
Calera,94
Calle Larga,17
Cartagena,15
Casablanca,13
Catemu,14
Concón,51
El Quisco,13
El Tabo,9
Hijuelas,33
Isla de Pascua,0
Juan Fernández,0
La Cruz,23
La Ligua,35
Limache,51
Llaillay,44
Los Andes,86
Nogales,22
Olmué,8
Panquehue,20
Papudo,2
Petorca,6
Puchuncaví,6
Putaendo,12
Quillota,96
Quilpué,103
Quintero,32
Rinconada,16
San Antonio,76
San Esteban,27
San Felipe,41
Santa María,24
Santo Domingo,4
Valparaíso,337
Villa Alemana,99
Viña del Mar,254
Zapallar,11
Alhué,30
Buin,152
Calera de Tango,36
Cerrillos,123
Cerro Navia,200
Colina,167
Conchalí,201
Curacaví,60
El Bosque,280
El Monte,80
Estación Central,246
Huechuraba,124
Independencia,192
Isla de Maipo,91
La Cisterna,121
La Florida,482
La Granja,162
La Pintana,289
La Reina,80
Lampa,185
Las Condes,187
Lo Barnechea,64
Lo Espejo,186
Lo Prado,267
Macul,177
Maipú,552
María Pinto,28
Melipilla,242
Ñuñoa,185
Padre Hurtado,113
Paine,127
Pedro Aguirre Cerda,153
Peñaflor,189
Peñalolén,347
Pirque,39
Providencia,116
Pudahuel,413
Puente Alto,795
Quilicura,277
Quinta Normal,243
Recoleta,204
Renca,351
San Bernardo,450
San Joaquín,246
San José de Maipo,36
San Miguel,200
San Pedro,10
San Ramón,170
Santiago,437
Talagante,78
Tiltil,16
Vitacura,41
Chépica,36
Chimbarongo,18
Codegua,36
Coinco,17
Coltauco,32
Doñihue,58
Graneros,54
La Estrella,2
Las Cabras,27
Litueche,2
Lolol,0
Machalí,81
Malloa,20
Marchihue,5
Mostazal,25
Nancagua,10
Navidad,6
Olivar,20
Palmilla,7
Paredones,4
Peralillo,4
Peumo,22
Pichidegua,24
Pichilemu,14
Placilla,5
Pumanque,0
Quinta de Tilcoco,15
Rancagua,548
Rengo,199
Requínoa,48
San Fernando,73
San Vicente,51
Santa Cruz,27
Cauquenes,61
Chanco,13
Colbún,24
Constitución,52
Curepto,3
Curicó,192
Empedrado,2
Hualañé,0
Licantén,1
Linares,98
Longaví,25
Maule,65
Molina,31
Parral,20
Pelarco,23
Pelluhue,1
Pencahue,7
Rauco,21
Retiro,3
Río Claro,2
Romeral,16
Sagrada Familia,9
San Clemente,78
San Javier,76
San Rafael,8
Talca,194
Teno,34
Vichuquén,4
Villa Alegre,21
Yerbas Buenas,14
Bulnes,46
Chillán,237
Chillán Viejo,43
Cobquecura,1
Coelemu,7
Coihueco,55
El Carmen,17
Ninhue,2
Ñiquén,7
Pemuco,12
Pinto,19
Portezuelo,9
Quillón,31
Quirihue,12
Ránquil,14
San Carlos,42
San Fabián,5
San Ignacio,30
San Nicolás,27
Treguaco,2
Yungay,15
Alto Biobío,11
Antuco,6
Arauco,25
Cabrero,14
Cañete,31
Chiguayante,99
Concepción,202
Contulmo,2
Coronel,138
Curanilahue,60
Florida,4
Hualpén,92
Hualqui,32
Laja,22
Lebu,5
Los Álamos,13
Los Ángeles,160
Lota,45
Mulchén,26
Nacimiento,10
Negrete,14
Penco,51
Quilaco,3
Quilleco,12
San Pedro de la Paz,118
San Rosendo,5
Santa Bárbara,14
Santa Juana,12
Talcahuano,167
Tirúa,0
Tomé,21
Tucapel,13
Yumbel,30
Angol,22
Carahue,5
Cholchol,4
Collipulli,1
Cunco,17
Curacautín,5
Curarrehue,0
Ercilla,7
Freire,4
Galvarino,0
Gorbea,0
Lautaro,12
Loncoche,2
Lonquimay,0
Los Sauces,2
Lumaco,1
Melipeuco,2
Nueva Imperial,1
Padre Las Casas,9
Perquenco,3
Pitrufquén,0
Pucón,8
Purén,4
Renaico,0
Saavedra,1
Temuco,57
Teodoro Schmidt,0
Toltén,0
Traiguén,0
Victoria,9
Vilcún,6
Villarrica,3
Corral,0
Futrono,0
La Unión,11
Lago Ranco,0
Lanco,1
Los Lagos,0
Máfil,0
Mariquina,13
Paillaco,1
Panguipulli,8
Río Bueno,0
Valdivia,67
Ancud,6
Calbuco,45
Castro,0
Chaitén,9
Chonchi,0
Cochamó,1
Curaco de Vélez,2
Dalcahue,0
Fresia,3
Frutillar,10
Futaleufú,0
Hualaihué,1
Llanquihue,6
Los Muermos,4
Maullín,16
Osorno,54
Palena,0
Puerto Montt,350
Puerto Octay,0
Puerto Varas,15
Puqueldón,0
Purranque,2
Puyehue,0
Queilén,0
Quellón,1
Quemchi,0
Quinchao,0
Río Negro,4
San Juan de la Costa,1
San Pablo,1
Aisén,18
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,2
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,2
Porvenir,0
Primavera,0
Punta Arenas,97
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
