comuna,confirmados
Arica,4874
Camarones,21
General Lagos,1
Putre,40
Alto Hospicio,2595
Camiña,42
Colchane,92
Huara,134
Iquique,4889
Pica,251
Pozo Almonte,741
Antofagasta,7564
Calama,6475
María Elena,328
Mejillones,477
Ollagüe,21
San Pedro de Atacama,275
Sierra Gorda,70
Taltal,131
Tocopilla,278
Alto del Carmen,11
Caldera,88
Chañaral,53
Copiapó,2082
Diego de Almagro,54
Freirina,56
Huasco,34
Tierra Amarilla,191
Vallenar,484
Andacollo,53
Canela,26
Combarbalá,35
Coquimbo,2555
Illapel,289
La Higuera,64
La Serena,2180
Los Vilos,124
Monte Patria,268
Ovalle,1249
Paiguano,11
Punitaqui,90
Río Hurtado,29
Salamanca,136
Vicuña,130
Algarrobo,110
Cabildo,281
Calera,760
Calle Larga,240
Cartagena,189
Casablanca,219
Catemu,134
Concón,501
El Quisco,177
El Tabo,225
Hijuelas,203
Isla de Pascua,5
Juan Fernández,0
La Cruz,209
La Ligua,379
Limache,767
Llaillay,336
Los Andes,1002
Nogales,201
Olmué,159
Panquehue,117
Papudo,87
Petorca,94
Puchuncaví,169
Putaendo,223
Quillota,1525
Quilpué,1550
Quintero,392
Rinconada,170
San Antonio,1303
San Esteban,223
San Felipe,1113
Santa María,240
Santo Domingo,146
Valparaíso,4074
Villa Alemana,1490
Viña del Mar,3805
Zapallar,75
Alhué,201
Buin,2317
Calera de Tango,567
Cerrillos,3022
Cerro Navia,6383
Colina,4518
Conchalí,6059
Curacaví,865
El Bosque,6353
El Monte,1174
Estación Central,6136
Huechuraba,3760
Independencia,6384
Isla de Maipo,992
La Cisterna,3146
La Florida,13357
La Granja,6904
La Pintana,9958
La Reina,2169
Lampa,3437
Las Condes,5726
Lo Barnechea,3210
Lo Espejo,4172
Lo Prado,4776
Macul,4840
Maipú,14243
María Pinto,358
Melipilla,3764
Ñuñoa,5321
Padre Hurtado,2121
Paine,1833
Pedro Aguirre Cerda,4256
Peñaflor,2798
Peñalolén,11560
Pirque,1081
Providencia,3147
Pudahuel,9559
Puente Alto,22466
Quilicura,8895
Quinta Normal,5869
Recoleta,8325
Renca,8249
San Bernardo,10883
San Joaquín,4870
San José de Maipo,646
San Miguel,5054
San Pedro,222
San Ramón,4440
Santiago,14648
Talagante,1652
Tiltil,559
Vitacura,1499
Chépica,151
Chimbarongo,188
Codegua,206
Coinco,116
Coltauco,226
Doñihue,414
Graneros,468
La Estrella,36
Las Cabras,211
Litueche,82
Lolol,49
Machalí,986
Malloa,129
Marchihue,29
Mostazal,253
Nancagua,96
Navidad,76
Olivar,207
Palmilla,46
Paredones,24
Peralillo,59
Peumo,71
Pichidegua,166
Pichilemu,54
Placilla,64
Pumanque,4
Quinta de Tilcoco,112
Rancagua,5660
Rengo,996
Requínoa,401
San Fernando,472
San Vicente,475
Santa Cruz,207
Cauquenes,404
Chanco,48
Colbún,201
Constitución,366
Curepto,51
Curicó,2116
Empedrado,32
Hualañé,115
Licantén,25
Linares,736
Longaví,269
Maule,450
Molina,276
Parral,277
Pelarco,126
Pelluhue,69
Pencahue,57
Rauco,109
Retiro,147
Río Claro,100
Romeral,265
Sagrada Familia,95
San Clemente,522
San Javier,479
San Rafael,128
Talca,1937
Teno,266
Vichuquén,6
Villa Alegre,143
Yerbas Buenas,132
Bulnes,398
Chillán,1765
Chillán Viejo,291
Cobquecura,2
Coelemu,80
Coihueco,211
El Carmen,103
Ninhue,50
Ñiquén,91
Pemuco,103
Pinto,68
Portezuelo,21
Quillón,184
Quirihue,70
Ránquil,41
San Carlos,498
San Fabián,15
San Ignacio,177
San Nicolás,125
Treguaco,8
Yungay,136
Alto Biobío,173
Antuco,62
Arauco,401
Cabrero,153
Cañete,122
Chiguayante,612
Concepción,1850
Contulmo,46
Coronel,1419
Curanilahue,205
Florida,60
Hualpén,801
Hualqui,230
Laja,186
Lebu,44
Los Álamos,140
Los Ángeles,1215
Lota,455
Mulchén,133
Nacimiento,166
Negrete,132
Penco,498
Quilaco,20
Quilleco,61
San Pedro de la Paz,976
San Rosendo,35
Santa Bárbara,151
Santa Juana,90
Talcahuano,1351
Tirúa,32
Tomé,452
Tucapel,156
Yumbel,214
Angol,495
Carahue,105
Cholchol,39
Collipulli,76
Cunco,87
Curacautín,34
Curarrehue,4
Ercilla,55
Freire,123
Galvarino,135
Gorbea,39
Lautaro,171
Loncoche,83
Lonquimay,71
Los Sauces,54
Lumaco,42
Melipeuco,11
Nueva Imperial,134
Padre Las Casas,227
Perquenco,44
Pitrufquén,103
Pucón,88
Purén,44
Renaico,61
Saavedra,99
Temuco,1223
Teodoro Schmidt,31
Toltén,18
Traiguén,58
Victoria,206
Vilcún,149
Villarrica,106
Corral,26
Futrono,61
La Unión,102
Lago Ranco,7
Lanco,30
Los Lagos,63
Máfil,29
Mariquina,38
Paillaco,38
Panguipulli,66
Río Bueno,38
Valdivia,454
Ancud,112
Calbuco,200
Castro,28
Chaitén,12
Chonchi,1
Cochamó,19
Curaco de Vélez,18
Dalcahue,8
Fresia,61
Frutillar,176
Futaleufú,1
Hualaihué,20
Llanquihue,131
Los Muermos,63
Maullín,84
Osorno,791
Palena,0
Puerto Montt,2121
Puerto Octay,19
Puerto Varas,167
Puqueldón,0
Purranque,97
Puyehue,28
Queilén,0
Quellón,7
Quemchi,14
Quinchao,3
Río Negro,58
San Juan de la Costa,54
San Pablo,20
Aisén,45
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,36
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,54
Porvenir,10
Primavera,1
Punta Arenas,1700
