comuna,activos
Arica,778
Camarones,1
General Lagos,26
Putre,6
Alto Hospicio,222
Camiña,12
Colchane,2
Huara,12
Iquique,373
Pica,53
Pozo Almonte,81
Antofagasta,754
Calama,277
María Elena,8
Mejillones,23
Ollagüe,0
San Pedro de Atacama,25
Sierra Gorda,3
Taltal,11
Tocopilla,13
Alto del Carmen,18
Caldera,77
Chañaral,18
Copiapó,735
Diego de Almagro,31
Freirina,35
Huasco,8
Tierra Amarilla,59
Vallenar,68
Andacollo,6
Canela,14
Combarbalá,3
Coquimbo,417
Illapel,20
La Higuera,16
La Serena,308
Los Vilos,31
Monte Patria,36
Ovalle,248
Paiguano,0
Punitaqui,15
Río Hurtado,10
Salamanca,11
Vicuña,19
Algarrobo,2
Cabildo,15
Calera,149
Calle Larga,34
Cartagena,9
Casablanca,81
Catemu,27
Concón,36
El Quisco,16
El Tabo,9
Hijuelas,32
Isla de Pascua,0
Juan Fernández,0
La Cruz,21
La Ligua,76
Limache,91
Llaillay,23
Los Andes,34
Nogales,53
Olmué,43
Panquehue,3
Papudo,6
Petorca,14
Puchuncaví,16
Putaendo,12
Quillota,150
Quilpué,176
Quintero,12
Rinconada,0
San Antonio,97
San Esteban,15
San Felipe,109
Santa María,12
Santo Domingo,2
Valparaíso,398
Villa Alemana,157
Viña del Mar,433
Zapallar,11
Alhué,44
Buin,123
Calera de Tango,12
Cerrillos,55
Cerro Navia,167
Colina,78
Conchalí,123
Curacaví,45
El Bosque,106
El Monte,46
Estación Central,105
Huechuraba,113
Independencia,121
Isla de Maipo,64
La Cisterna,74
La Florida,260
La Granja,112
La Pintana,243
La Reina,57
Lampa,112
Las Condes,124
Lo Barnechea,80
Lo Espejo,73
Lo Prado,132
Macul,88
Maipú,330
María Pinto,14
Melipilla,106
Ñuñoa,133
Padre Hurtado,46
Paine,80
Pedro Aguirre Cerda,75
Peñaflor,76
Peñalolén,175
Pirque,33
Providencia,83
Pudahuel,196
Puente Alto,650
Quilicura,173
Quinta Normal,189
Recoleta,161
Renca,301
San Bernardo,238
San Joaquín,104
San José de Maipo,10
San Miguel,118
San Pedro,17
San Ramón,65
Santiago,224
Talagante,69
Tiltil,23
Vitacura,41
Chépica,12
Chimbarongo,8
Codegua,20
Coinco,7
Coltauco,41
Doñihue,28
Graneros,61
La Estrella,1
Las Cabras,50
Litueche,8
Lolol,9
Machalí,34
Malloa,7
Marchihue,1
Mostazal,20
Nancagua,19
Navidad,0
Olivar,20
Palmilla,11
Paredones,2
Peralillo,3
Peumo,20
Pichidegua,56
Pichilemu,1
Placilla,9
Pumanque,1
Quinta de Tilcoco,6
Rancagua,321
Rengo,88
Requínoa,21
San Fernando,106
San Vicente,115
Santa Cruz,53
Cauquenes,11
Chanco,3
Colbún,38
Constitución,31
Curepto,34
Curicó,83
Empedrado,1
Hualañé,1
Licantén,1
Linares,99
Longaví,37
Maule,68
Molina,37
Parral,18
Pelarco,5
Pelluhue,5
Pencahue,0
Rauco,6
Retiro,14
Río Claro,12
Romeral,18
Sagrada Familia,13
San Clemente,59
San Javier,33
San Rafael,15
Talca,208
Teno,34
Vichuquén,0
Villa Alegre,8
Yerbas Buenas,16
Bulnes,66
Chillán,143
Chillán Viejo,21
Cobquecura,16
Coelemu,11
Coihueco,20
El Carmen,0
Ninhue,3
Ñiquén,27
Pemuco,1
Pinto,6
Portezuelo,2
Quillón,7
Quirihue,22
Ránquil,7
San Carlos,25
San Fabián,0
San Ignacio,2
San Nicolás,6
Treguaco,7
Yungay,10
Alto Biobío,2
Antuco,2
Arauco,60
Cabrero,10
Cañete,40
Chiguayante,157
Concepción,351
Contulmo,6
Coronel,194
Curanilahue,25
Florida,9
Hualpén,162
Hualqui,71
Laja,7
Lebu,16
Los Álamos,28
Los Ángeles,73
Lota,65
Mulchén,20
Nacimiento,11
Negrete,14
Penco,149
Quilaco,4
Quilleco,15
San Pedro de la Paz,150
San Rosendo,1
Santa Bárbara,14
Santa Juana,10
Talcahuano,235
Tirúa,7
Tomé,140
Tucapel,9
Yumbel,20
Angol,39
Carahue,14
Cholchol,1
Collipulli,61
Cunco,14
Curacautín,1
Curarrehue,0
Ercilla,8
Freire,0
Galvarino,0
Gorbea,5
Lautaro,13
Loncoche,0
Lonquimay,0
Los Sauces,0
Lumaco,2
Melipeuco,0
Nueva Imperial,10
Padre Las Casas,22
Perquenco,13
Pitrufquén,1
Pucón,1
