comuna,confirmados
Arica,2464
Camarones,0
General Lagos,0
Putre,26
Alto Hospicio,2150
Camiña,35
Colchane,72
Huara,92
Iquique,3814
Pica,163
Pozo Almonte,474
Antofagasta,5263
Calama,5165
María Elena,275
Mejillones,426
Ollagüe,12
San Pedro de Atacama,149
Sierra Gorda,54
Taltal,87
Tocopilla,224
Alto del Carmen,8
Caldera,48
Chañaral,26
Copiapó,892
Diego de Almagro,49
Freirina,33
Huasco,25
Tierra Amarilla,85
Vallenar,353
Andacollo,41
Canela,19
Combarbalá,30
Coquimbo,1358
Illapel,204
La Higuera,10
La Serena,1176
Los Vilos,67
Monte Patria,219
Ovalle,982
Paiguano,7
Punitaqui,63
Río Hurtado,22
Salamanca,64
Vicuña,48
Algarrobo,101
Cabildo,229
Calera,450
Calle Larga,216
Cartagena,142
Casablanca,151
Catemu,86
Concón,402
El Quisco,139
El Tabo,182
Hijuelas,119
Isla de Pascua,5
Juan Fernández,0
La Cruz,123
La Ligua,255
Limache,611
Llaillay,232
Los Andes,819
Nogales,100
Olmué,100
Panquehue,65
Papudo,75
Petorca,72
Puchuncaví,138
Putaendo,182
Quillota,1221
Quilpué,1266
Quintero,323
Rinconada,146
San Antonio,1088
San Esteban,170
San Felipe,978
Santa María,179
Santo Domingo,133
Valparaíso,3257
Villa Alemana,1210
Viña del Mar,3058
Zapallar,47
Alhué,122
Buin,1998
Calera de Tango,490
Cerrillos,2706
Cerro Navia,5759
Colina,4204
Conchalí,5587
Curacaví,774
El Bosque,5700
El Monte,989
Estación Central,5648
Huechuraba,3387
Independencia,5934
Isla de Maipo,651
La Cisterna,2888
La Florida,12342
La Granja,6433
La Pintana,8807
La Reina,2003
Lampa,3100
Las Condes,5255
Lo Barnechea,2847
Lo Espejo,3746
Lo Prado,4211
Macul,4436
Maipú,12902
María Pinto,291
Melipilla,3291
Ñuñoa,5000
Padre Hurtado,1840
Paine,1582
Pedro Aguirre Cerda,3826
Peñaflor,2437
Peñalolén,10589
Pirque,982
Providencia,2833
Pudahuel,8752
Puente Alto,20536
Quilicura,8211
Quinta Normal,5223
Recoleta,7820
Renca,7075
San Bernardo,9831
San Joaquín,4400
San José de Maipo,548
San Miguel,4685
San Pedro,198
San Ramón,4084
Santiago,13592
Talagante,1418
Tiltil,505
Vitacura,1361
Chépica,98
Chimbarongo,129
Codegua,126
Coinco,82
Coltauco,119
Doñihue,295
Graneros,363
La Estrella,31
Las Cabras,137
Litueche,73
Lolol,45
Machalí,802
Malloa,61
Marchihue,16
Mostazal,193
Nancagua,74
Navidad,72
Olivar,168
Palmilla,32
Paredones,14
Peralillo,48
Peumo,29
Pichidegua,101
Pichilemu,45
Placilla,50
Pumanque,4
Quinta de Tilcoco,71
Rancagua,4698
Rengo,688
Requínoa,296
San Fernando,294
San Vicente,278
Santa Cruz,127
Cauquenes,328
Chanco,30
Colbún,143
Constitución,216
Curepto,38
Curicó,1626
Empedrado,27
Hualañé,113
Licantén,20
Linares,493
Longaví,220
Maule,301
Molina,204
Parral,240
Pelarco,44
Pelluhue,59
Pencahue,47
Rauco,65
Retiro,129
Río Claro,72
Romeral,217
Sagrada Familia,76
San Clemente,384
San Javier,290
San Rafael,118
Talca,1565
Teno,158
Vichuquén,1
