comuna,activos
Arica,381
Camarones,0
General Lagos,0
Putre,7
Alto Hospicio,239
Camiña,1
Colchane,27
Huara,12
Iquique,548
Pica,18
Pozo Almonte,106
Antofagasta,646
Calama,978
María Elena,21
Mejillones,22
Ollagüe,2
San Pedro de Atacama,29
Sierra Gorda,5
Taltal,15
Tocopilla,28
Alto del Carmen,2
Caldera,7
Chañaral,15
Copiapó,158
Diego de Almagro,6
Freirina,5
Huasco,6
Tierra Amarilla,21
Vallenar,76
Andacollo,4
Canela,0
Combarbalá,10
Coquimbo,190
Illapel,27
La Higuera,2
La Serena,196
Los Vilos,8
Monte Patria,46
Ovalle,201
Paiguano,2
Punitaqui,7
Río Hurtado,1
Salamanca,4
Vicuña,2
Algarrobo,10
Cabildo,39
Calera,81
Calle Larga,33
Cartagena,17
Casablanca,20
Catemu,8
Concón,31
El Quisco,8
El Tabo,20
Hijuelas,25
Isla de Pascua,0
Juan Fernández,0
La Cruz,15
La Ligua,45
Limache,130
Llaillay,33
Los Andes,145
Nogales,17
Olmué,21
Panquehue,11
Papudo,16
Petorca,6
Puchuncaví,25
Putaendo,32
Quillota,211
Quilpué,162
Quintero,42
Rinconada,26
San Antonio,136
San Esteban,32
San Felipe,173
Santa María,46
Santo Domingo,13
Valparaíso,627
Villa Alemana,218
Viña del Mar,401
Zapallar,12
Alhué,27
Buin,276
Calera de Tango,81
Cerrillos,318
Cerro Navia,572
Colina,439
Conchalí,573
Curacaví,94
El Bosque,692
El Monte,157
Estación Central,595
Huechuraba,326
Independencia,445
Isla de Maipo,71
La Cisterna,361
La Florida,1251
La Granja,641
La Pintana,877
La Reina,241
Lampa,348
Las Condes,520
Lo Barnechea,224
Lo Espejo,433
Lo Prado,409
Macul,491
Maipú,1542
María Pinto,28
Melipilla,484
Ñuñoa,573
Padre Hurtado,218
Paine,244
Pedro Aguirre Cerda,454
Peñaflor,327
Peñalolén,1165
Pirque,129
Providencia,237
Pudahuel,929
Puente Alto,2406
Quilicura,891
Quinta Normal,548
Recoleta,616
Renca,859
San Bernardo,1186
San Joaquín,442
San José de Maipo,68
San Miguel,533
San Pedro,18
San Ramón,394
Santiago,1249
Talagante,226
Tiltil,75
Vitacura,100
Chépica,30
Chimbarongo,17
Codegua,24
Coinco,14
Coltauco,23
Doñihue,58
Graneros,73
La Estrella,5
Las Cabras,25
Litueche,23
Lolol,6
Machalí,171
Malloa,5
Marchihue,7
Mostazal,31
Nancagua,10
Navidad,18
Olivar,20
Palmilla,7
Paredones,3
Peralillo,7
Peumo,3
Pichidegua,9
Pichilemu,7
Placilla,2
Pumanque,1
Quinta de Tilcoco,13
Rancagua,1074
Rengo,118
Requínoa,61
San Fernando,40
San Vicente,52
Santa Cruz,26
Cauquenes,77
Chanco,13
Colbún,28
Constitución,58
Curepto,8
Curicó,335
Empedrado,17
Hualañé,15
Licantén,5
Linares,117
Longaví,58
Maule,35
Molina,33
Parral,33
Pelarco,3
Pelluhue,14
Pencahue,5
Rauco,10
Retiro,21
Río Claro,9
Romeral,56
Sagrada Familia,9
San Clemente,64
San Javier,47
San Rafael,9
Talca,299
Teno,40
Vichuquén,0
Villa Alegre,7
Yerbas Buenas,17
Bulnes,23
Chillán,192
Chillán Viejo,36
Cobquecura,0
Coelemu,19
Coihueco,17
El Carmen,22
Ninhue,9
Ñiquén,14
Pemuco,47
Pinto,11
Portezuelo,4
Quillón,29
Quirihue,6
Ránquil,7
San Carlos,100
San Fabián,0
San Ignacio,80
San Nicolás,7
Treguaco,0
Yungay,9
Alto Biobío,17
Antuco,15
Arauco,67
Cabrero,129
Cañete,11
Chiguayante,72
Concepción,326
Contulmo,8
Coronel,232
Curanilahue,18
Florida,6
Hualpén,70
Hualqui,46
Laja,18
Lebu,11
Los Álamos,36
Los Ángeles,153
Lota,66
Mulchén,8
Nacimiento,36
Negrete,23
Penco,102
Quilaco,1
Quilleco,2
San Pedro de la Paz,151
San Rosendo,5
Santa Bárbara,34
Santa Juana,24
Talcahuano,183
Tirúa,10
Tomé,95
Tucapel,24
Yumbel,44
Angol,68
Carahue,12
Cholchol,2
Collipulli,12
Cunco,4
Curacautín,7
Curarrehue,0
Ercilla,2
Freire,9
Galvarino,14
Gorbea,5
Lautaro,10
Loncoche,13
Lonquimay,3
Los Sauces,1
Lumaco,7
Melipeuco,0
Nueva Imperial,24
Padre Las Casas,7
Perquenco,8
Pitrufquén,4
Pucón,7
Purén,10
Renaico,9
Saavedra,4
Temuco,44
Teodoro Schmidt,21
Toltén,0
Traiguén,8
Victoria,12
Vilcún,4
Villarrica,21
Corral,3
Futrono,4
La Unión,15
Lago Ranco,0
Lanco,8
Los Lagos,22
Máfil,11
Mariquina,2
Paillaco,2
Panguipulli,11
Río Bueno,3
Valdivia,54
Ancud,3
Calbuco,12
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,6
Frutillar,31
Futaleufú,0
Hualaihué,3
Llanquihue,52
Los Muermos,11
Maullín,2
Osorno,30
Palena,0
Puerto Montt,133
Puerto Octay,1
Puerto Varas,13
Puqueldón,0
Purranque,0
Puyehue,0
Queilén,0
Quellón,4
Quemchi,0
Quinchao,1
Río Negro,2
San Juan de la Costa,1
San Pablo,0
Aisén,4
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,1
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,2
Porvenir,0
Primavera,1
Punta Arenas,168
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
