comuna,activos
Arica,358
Camarones,0
General Lagos,0
Putre,8
Alto Hospicio,243
Camiña,1
Colchane,14
Huara,10
Iquique,575
Pica,15
Pozo Almonte,130
Antofagasta,526
Calama,746
María Elena,15
Mejillones,6
Ollagüe,2
San Pedro de Atacama,20
Sierra Gorda,7
Taltal,10
Tocopilla,15
Alto del Carmen,3
Caldera,7
Chañaral,4
Copiapó,158
Diego de Almagro,13
Freirina,3
Huasco,4
Tierra Amarilla,12
Vallenar,51
Andacollo,0
Canela,1
Combarbalá,8
Coquimbo,177
Illapel,21
La Higuera,2
La Serena,175
Los Vilos,7
Monte Patria,40
Ovalle,203
Paiguano,4
Punitaqui,7
Río Hurtado,3
Salamanca,7
Vicuña,2
Algarrobo,19
Cabildo,24
Calera,56
Calle Larga,23
Cartagena,15
Casablanca,31
Catemu,19
Concón,42
El Quisco,8
El Tabo,14
Hijuelas,17
Isla de Pascua,0
Juan Fernández,0
La Cruz,14
La Ligua,52
Limache,123
Llaillay,27
Los Andes,116
Nogales,18
Olmué,17
Panquehue,15
Papudo,16
Petorca,3
Puchuncaví,27
Putaendo,31
Quillota,236
Quilpué,172
Quintero,53
Rinconada,24
San Antonio,98
San Esteban,23
San Felipe,211
Santa María,40
Santo Domingo,32
Valparaíso,659
Villa Alemana,190
Viña del Mar,430
Zapallar,3
Alhué,24
Buin,313
Calera de Tango,78
Cerrillos,381
Cerro Navia,686
Colina,505
Conchalí,611
Curacaví,127
El Bosque,833
El Monte,135
Estación Central,711
Huechuraba,305
Independencia,518
Isla de Maipo,69
La Cisterna,399
La Florida,1425
La Granja,786
La Pintana,1110
La Reina,275
Lampa,415
Las Condes,567
Lo Barnechea,261
Lo Espejo,470
Lo Prado,405
Macul,567
Maipú,1758
María Pinto,25
Melipilla,453
Ñuñoa,641
Padre Hurtado,230
Paine,284
Pedro Aguirre Cerda,512
Peñaflor,329
Peñalolén,1220
Pirque,132
Providencia,300
Pudahuel,922
Puente Alto,2779
Quilicura,1035
Quinta Normal,602
Recoleta,701
Renca,771
San Bernardo,1368
San Joaquín,540
San José de Maipo,77
San Miguel,603
San Pedro,9
San Ramón,515
Santiago,1409
Talagante,199
Tiltil,82
Vitacura,126
Chépica,20
Chimbarongo,10
Codegua,10
Coinco,6
Coltauco,9
Doñihue,27
Graneros,44
La Estrella,7
Las Cabras,10
Litueche,18
Lolol,8
Machalí,91
Malloa,14
Marchihue,8
Mostazal,25
Nancagua,18
Navidad,17
Olivar,18
Palmilla,5
Paredones,4
Peralillo,13
Peumo,3
Pichidegua,3
Pichilemu,3
Placilla,9
Pumanque,1
Quinta de Tilcoco,6
Rancagua,635
Rengo,73
Requínoa,40
San Fernando,32
San Vicente,33
Santa Cruz,23
Cauquenes,79
Chanco,7
Colbún,28
Constitución,31
Curepto,2
Curicó,347
Empedrado,6
Hualañé,32
Licantén,6
Linares,84
Longaví,62
Maule,37
Molina,22
Parral,31
Pelarco,5
Pelluhue,16
Pencahue,6
Rauco,15
Retiro,27
Río Claro,3
Romeral,36
Sagrada Familia,13
San Clemente,56
San Javier,52
San Rafael,12
Talca,261
Teno,24
Vichuquén,0
Villa Alegre,17
Yerbas Buenas,21
Bulnes,25
Chillán,205
Chillán Viejo,38
Cobquecura,0
Coelemu,23
Coihueco,17
El Carmen,18
Ninhue,7
Ñiquén,24
Pemuco,27
Pinto,8
Portezuelo,0
Quillón,39
Quirihue,3
Ránquil,6
San Carlos,136
San Fabián,0
San Ignacio,75
San Nicolás,8
Treguaco,0
Yungay,11
Alto Biobío,18
Antuco,6
Arauco,51
Cabrero,75
Cañete,5
Chiguayante,76
Concepción,307
Contulmo,3
Coronel,211
Curanilahue,16
Florida,3
Hualpén,65
Hualqui,23
Laja,13
Lebu,7
Los Álamos,9
Los Ángeles,113
Lota,44
Mulchén,4
Nacimiento,21
Negrete,27
Penco,87
Quilaco,3
Quilleco,1
San Pedro de la Paz,124
San Rosendo,2
Santa Bárbara,27
Santa Juana,31
Talcahuano,126
Tirúa,7
Tomé,85
Tucapel,19
Yumbel,21
Angol,79
Carahue,2
Cholchol,2
Collipulli,8
Cunco,10
Curacautín,10
Curarrehue,0
Ercilla,3
Freire,16
Galvarino,32
Gorbea,10
Lautaro,12
Loncoche,13
Lonquimay,0
Los Sauces,1
Lumaco,11
Melipeuco,0
Nueva Imperial,27
Padre Las Casas,8
Perquenco,4
Pitrufquén,4
Pucón,9
Purén,5
Renaico,5
Saavedra,6
Temuco,36
Teodoro Schmidt,13
Toltén,0
Traiguén,13
Victoria,31
Vilcún,5
Villarrica,22
Corral,3
Futrono,5
La Unión,16
Lago Ranco,0
Lanco,13
Los Lagos,30
Máfil,14
Mariquina,2
Paillaco,1
Panguipulli,5
Río Bueno,1
Valdivia,42
Ancud,5
Calbuco,2
Castro,1
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,9
Frutillar,6
Futaleufú,0
Hualaihué,1
Llanquihue,18
Los Muermos,2
Maullín,2
Osorno,39
Palena,0
Puerto Montt,116
Puerto Octay,0
Puerto Varas,19
Puqueldón,0
Purranque,0
Puyehue,3
Queilén,0
Quellón,0
Quemchi,0
Quinchao,1
Río Negro,1
San Juan de la Costa,5
San Pablo,0
Aisén,4
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,4
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,1
Primavera,1
Punta Arenas,145
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
