comuna,confirmados
Arica,5543
Camarones,23
General Lagos,6
Putre,55
Alto Hospicio,2740
Camiña,43
Colchane,93
Huara,136
Iquique,5193
Pica,266
Pozo Almonte,794
Antofagasta,8296
Calama,6701
María Elena,333
Mejillones,504
Ollagüe,24
San Pedro de Atacama,291
Sierra Gorda,74
Taltal,141
Tocopilla,288
Alto del Carmen,11
Caldera,126
Chañaral,66
Copiapó,2794
Diego de Almagro,58
Freirina,68
Huasco,39
Tierra Amarilla,242
Vallenar,522
Andacollo,59
Canela,28
Combarbalá,38
Coquimbo,2928
Illapel,327
La Higuera,85
La Serena,2514
Los Vilos,138
Monte Patria,285
Ovalle,1373
Paiguano,12
Punitaqui,94
Río Hurtado,32
Salamanca,156
Vicuña,156
Algarrobo,110
Cabildo,304
Calera,887
Calle Larga,261
Cartagena,195
Casablanca,324
Catemu,160
Concón,538
El Quisco,184
El Tabo,250
Hijuelas,244
Isla de Pascua,5
Juan Fernández,0
La Cruz,247
La Ligua,493
Limache,879
Llaillay,370
Los Andes,1053
Nogales,247
Olmué,201
Panquehue,119
Papudo,104
Petorca,116
Puchuncaví,179
Putaendo,240
Quillota,1746
Quilpué,1752
Quintero,433
Rinconada,173
San Antonio,1345
San Esteban,233
San Felipe,1224
Santa María,251
Santo Domingo,147
Valparaíso,4603
Villa Alemana,1665
Viña del Mar,4250
Zapallar,87
Alhué,217
Buin,2426
Calera de Tango,581
Cerrillos,3072
Cerro Navia,6601
Colina,4605
Conchalí,6195
Curacaví,894
El Bosque,6464
El Monte,1214
Estación Central,6215
Huechuraba,3861
Independencia,6491
Isla de Maipo,1083
La Cisterna,3222
La Florida,13626
La Granja,7005
La Pintana,10249
La Reina,2220
Lampa,3545
Las Condes,5850
Lo Barnechea,3287
Lo Espejo,4281
Lo Prado,4895
Macul,4923
Maipú,14570
María Pinto,368
Melipilla,3845
Ñuñoa,5454
Padre Hurtado,2149
Paine,1901
Pedro Aguirre Cerda,4346
Peñaflor,2854
Peñalolén,11740
Pirque,1111
Providencia,3218
Pudahuel,9759
Puente Alto,23065
Quilicura,9089
Quinta Normal,6051
Recoleta,8465
Renca,8520
San Bernardo,11117
San Joaquín,4980
San José de Maipo,677
San Miguel,5179
San Pedro,229
San Ramón,4498
Santiago,14861
Talagante,1685
Tiltil,570
Vitacura,1531
Chépica,157
Chimbarongo,203
Codegua,226
Coinco,125
Coltauco,267
Doñihue,427
Graneros,494
La Estrella,36
Las Cabras,247
Litueche,90
Lolol,57
Machalí,1011
Malloa,136
Marchihue,29
Mostazal,267
Nancagua,110
Navidad,76
Olivar,223
Palmilla,59
Paredones,30
Peralillo,62
Peumo,92
Pichidegua,242
Pichilemu,55
Placilla,69
Pumanque,4
Quinta de Tilcoco,127
Rancagua,5932
Rengo,1103
Requínoa,422
San Fernando,555
San Vicente,583
Santa Cruz,249
Cauquenes,405
Chanco,48
Colbún,229
Constitución,388
Curepto,66
Curicó,2182
Empedrado,33
Hualañé,115
Licantén,26
Linares,824
Longaví,298
Maule,490
Molina,308
Parral,291
Pelarco,133
Pelluhue,72
Pencahue,57
Rauco,114
Retiro,162
Río Claro,111
Romeral,276
Sagrada Familia,107
San Clemente,563
San Javier,511
San Rafael,132
Talca,2112
Teno,299
Vichuquén,6
Villa Alegre,153
Yerbas Buenas,151
Bulnes,458
Chillán,1881
Chillán Viejo,305
Cobquecura,4
Coelemu,85
Coihueco,223
El Carmen,103
Ninhue,52
Ñiquén,95
Pemuco,105
Pinto,71
Portezuelo,22
Quillón,190
Quirihue,80
Ránquil,47
San Carlos,513
San Fabián,15
San Ignacio,177
San Nicolás,134
Treguaco,14
Yungay,144
Alto Biobío,175
Antuco,63
Arauco,444
Cabrero,164
Cañete,142
Chiguayante,706
Concepción,2023
Contulmo,48
Coronel,1594
Curanilahue,228
Florida,68
Hualpén,905
Hualqui,287
Laja,191
Lebu,53
Los Álamos,159
Los Ángeles,1258
Lota,498
Mulchén,142
Nacimiento,173
Negrete,136
Penco,588
Quilaco,25
Quilleco,70
San Pedro de la Paz,1072
San Rosendo,36
Santa Bárbara,161
Santa Juana,94
Talcahuano,1547
Tirúa,35
Tomé,544
Tucapel,158
Yumbel,235
Angol,528
Carahue,120
Cholchol,39
Collipulli,109
Cunco,92
Curacautín,34
Curarrehue,4
Ercilla,61
Freire,125
Galvarino,134
Gorbea,45
Lautaro,174
Loncoche,83
Lonquimay,71
Los Sauces,59
Lumaco,42
Melipeuco,13
Nueva Imperial,141
Padre Las Casas,233
Perquenco,44
Pitrufquén,106
Pucón,93
Purén,45
Renaico,61
Saavedra,99
Temuco,1299
Teodoro Schmidt,31
Toltén,18
Traiguén,60
Victoria,215
Vilcún,162
Villarrica,109
Corral,26
Futrono,61
La Unión,107
Lago Ranco,7
Lanco,32
Los Lagos,63
Máfil,29
Mariquina,38
Paillaco,38
Panguipulli,69
Río Bueno,51
Valdivia,488
Ancud,112
Calbuco,246
Castro,30
Chaitén,12
Chonchi,1
Cochamó,20
Curaco de Vélez,18
Dalcahue,8
Fresia,76
Frutillar,200
Futaleufú,1
Hualaihué,20
Llanquihue,164
Los Muermos,83
Maullín,107
Osorno,945
Palena,0
Puerto Montt,2507
Puerto Octay,43
Puerto Varas,225
Puqueldón,0
Purranque,114
Puyehue,32
Queilén,0
Quellón,7
Quemchi,14
Quinchao,3
Río Negro,65
San Juan de la Costa,57
San Pablo,22
Aisén,55
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,37
Guaitecas,1
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,56
Porvenir,10
Primavera,1
Punta Arenas,1952
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
