comuna,confirmados
Arica,2721
Camarones,8
General Lagos,0
Putre,28
Alto Hospicio,2191
Camiña,36
Colchane,77
Huara,105
Iquique,3934
Pica,168
Pozo Almonte,508
Antofagasta,5697
Calama,5450
María Elena,291
Mejillones,431
Ollagüe,12
San Pedro de Atacama,172
Sierra Gorda,56
Taltal,99
Tocopilla,241
Alto del Carmen,9
Caldera,50
Chañaral,29
Copiapó,991
Diego de Almagro,49
Freirina,31
Huasco,25
Tierra Amarilla,99
Vallenar,385
Andacollo,41
Canela,19
Combarbalá,31
Coquimbo,1481
Illapel,212
La Higuera,9
La Serena,1261
Los Vilos,74
Monte Patria,229
Ovalle,1046
Paiguano,8
Punitaqui,64
Río Hurtado,22
Salamanca,68
Vicuña,50
Algarrobo,103
Cabildo,252
Calera,495
Calle Larga,228
Cartagena,151
Casablanca,155
Catemu,92
Concón,431
El Quisco,140
El Tabo,189
Hijuelas,132
Isla de Pascua,5
Juan Fernández,0
La Cruz,131
La Ligua,277
Limache,641
Llaillay,266
Los Andes,853
Nogales,108
Olmué,114
Panquehue,74
Papudo,77
Petorca,73
Puchuncaví,144
Putaendo,189
Quillota,1291
Quilpué,1346
Quintero,333
Rinconada,151
San Antonio,1112
San Esteban,187
San Felipe,1016
Santa María,192
Santo Domingo,137
Valparaíso,3424
Villa Alemana,1282
Viña del Mar,3212
Zapallar,57
Alhué,137
Buin,2065
Calera de Tango,503
Cerrillos,2772
Cerro Navia,5861
Colina,4287
Conchalí,5704
Curacaví,807
El Bosque,5840
El Monte,1040
Estación Central,5761
Huechuraba,3474
Independencia,6044
Isla de Maipo,682
La Cisterna,2932
La Florida,12589
La Granja,6558
La Pintana,8921
La Reina,2047
Lampa,3183
Las Condes,5354
Lo Barnechea,2893
Lo Espejo,3834
Lo Prado,4325
Macul,4523
Maipú,13272
María Pinto,303
Melipilla,3408
Ñuñoa,5093
Padre Hurtado,1902
Paine,1650
Pedro Aguirre Cerda,3922
Peñaflor,2516
Peñalolén,10796
Pirque,1013
Providencia,2905
Pudahuel,8978
Puente Alto,20923
Quilicura,8340
Quinta Normal,5358
Recoleta,7932
Renca,7273
San Bernardo,10089
San Joaquín,4522
San José de Maipo,552
San Miguel,4782
San Pedro,211
San Ramón,4179
Santiago,13852
Talagante,1480
Tiltil,518
Vitacura,1380
Chépica,111
