comuna,confirmados
Arica,5907
Camarones,24
General Lagos,15
Putre,56
Alto Hospicio,2864
Camiña,50
Colchane,93
Huara,145
Iquique,5393
Pica,294
Pozo Almonte,829
Antofagasta,8617
Calama,6834
María Elena,335
Mejillones,508
Ollagüe,24
San Pedro de Atacama,297
Sierra Gorda,77
Taltal,148
Tocopilla,292
Alto del Carmen,16
Caldera,165
Chañaral,76
Copiapó,3127
Diego de Almagro,68
Freirina,83
Huasco,41
Tierra Amarilla,261
Vallenar,543
Andacollo,62
Canela,37
Combarbalá,39
Coquimbo,3106
Illapel,342
La Higuera,91
La Serena,2669
Los Vilos,162
Monte Patria,307
Ovalle,1466
Paiguano,12
Punitaqui,106
Río Hurtado,36
Salamanca,160
Vicuña,157
Algarrobo,112
Cabildo,336
Calera,955
Calle Larga,273
Cartagena,203
Casablanca,371
Catemu,174
Concón,558
El Quisco,188
El Tabo,253
Hijuelas,254
Isla de Pascua,5
Juan Fernández,0
La Cruz,255
La Ligua,543
Limache,931
Llaillay,383
Los Andes,1070
Nogales,265
Olmué,209
Panquehue,119
Papudo,106
Petorca,118
Puchuncaví,185
Putaendo,244
Quillota,1831
Quilpué,1857
Quintero,449
Rinconada,173
San Antonio,1390
San Esteban,233
San Felipe,1271
Santa María,255
Santo Domingo,147
Valparaíso,4849
Villa Alemana,1780
Viña del Mar,4478
Zapallar,94
Alhué,239
Buin,2483
Calera de Tango,586
Cerrillos,3112
Cerro Navia,6683
Colina,4642
Conchalí,6248
Curacaví,909
El Bosque,6502
El Monte,1239
Estación Central,6274
Huechuraba,3906
Independencia,6530
Isla de Maipo,1100
La Cisterna,3253
La Florida,13737
La Granja,7057
La Pintana,10328
La Reina,2247
Lampa,3587
Las Condes,5908
Lo Barnechea,3366
Lo Espejo,4321
Lo Prado,4944
Macul,4998
Maipú,14774
María Pinto,379
Melipilla,3885
Ñuñoa,5524
Padre Hurtado,2177
Paine,1926
Pedro Aguirre Cerda,4384
Peñaflor,2889
Peñalolén,11811
Pirque,1121
Providencia,3265
Pudahuel,9869
Puente Alto,23354
Quilicura,9165
Quinta Normal,6129
Recoleta,8544
Renca,8708
San Bernardo,11251
San Joaquín,5029
San José de Maipo,680
San Miguel,5240
San Pedro,238
San Ramón,4520
Santiago,14986
Talagante,1722
Tiltil,587
Vitacura,1550
Chépica,162
Chimbarongo,210
Codegua,232
Coinco,134
Coltauco,279
Doñihue,442
Graneros,525
La Estrella,36
Las Cabras,274
Litueche,94
Lolol,59
Machalí,1024
Malloa,144
Marchihue,30
Mostazal,275
Nancagua,111
Navidad,76
Olivar,234
Palmilla,66
Paredones,31
Peralillo,63
Peumo,100
Pichidegua,270
Pichilemu,55
Placilla,72
Pumanque,5
Quinta de Tilcoco,128
Rancagua,6070
Rengo,1170
Requínoa,431
San Fernando,598
San Vicente,642
Santa Cruz,275
Cauquenes,410
Chanco,52
Colbún,242
Constitución,401
Curepto,77
Curicó,2217
Empedrado,33
Hualañé,116
Licantén,26
Linares,860
Longaví,311
Maule,516
Molina,326
Parral,297
Pelarco,134
Pelluhue,75
Pencahue,57
Rauco,117
Retiro,164
Río Claro,115
Romeral,289
Sagrada Familia,113
San Clemente,584
San Javier,522
San Rafael,142
Talca,2185
Teno,311
Vichuquén,6
Villa Alegre,152
Yerbas Buenas,155
Bulnes,483
Chillán,1946
Chillán Viejo,315
Cobquecura,18
Coelemu,91
Coihueco,233
El Carmen,103
Ninhue,52
Ñiquén,114
Pemuco,105
Pinto,73
Portezuelo,23
Quillón,191
Quirihue,94
Ránquil,49
San Carlos,519
San Fabián,15
San Ignacio,178
San Nicolás,133
Treguaco,14
Yungay,144
Alto Biobío,176
Antuco,63
Arauco,462
Cabrero,166
Cañete,154
Chiguayante,774
Concepción,2173
Contulmo,49
Coronel,1669
Curanilahue,237
Florida,69
Hualpén,989
Hualqui,304
Laja,192
Lebu,58
Los Álamos,175
Los Ángeles,1291
Lota,523
Mulchén,146
Nacimiento,174
Negrete,146
Penco,666
Quilaco,27
Quilleco,74
San Pedro de la Paz,1131
San Rosendo,36
Santa Bárbara,164
Santa Juana,98
Talcahuano,1639
Tirúa,40
Tomé,602
Tucapel,163
Yumbel,240
Angol,537
Carahue,121
Cholchol,40
Collipulli,136
Cunco,101
Curacautín,35
Curarrehue,4
Ercilla,67
Freire,125
Galvarino,134
Gorbea,45
Lautaro,183
Loncoche,83
Lonquimay,71
Los Sauces,59
Lumaco,43
Melipeuco,13
Nueva Imperial,143
Padre Las Casas,242
Perquenco,55
Pitrufquén,106
Pucón,93
Purén,46
Renaico,61
Saavedra,99
Temuco,1320
Teodoro Schmidt,31
Toltén,18
Traiguén,63
Victoria,218
Vilcún,177
Villarrica,109
Corral,26
Futrono,61
La Unión,107
Lago Ranco,8
Lanco,32
Los Lagos,63
Máfil,32
Mariquina,38
Paillaco,38
Panguipulli,70
Río Bueno,57
Valdivia,516
Ancud,113
Calbuco,289
Castro,31
Chaitén,12
Chonchi,1
Cochamó,23
Curaco de Vélez,18
Dalcahue,8
Fresia,86
Frutillar,246
Futaleufú,1
Hualaihué,20
Llanquihue,172
Los Muermos,94
Maullín,127
Osorno,998
Palena,0
Puerto Montt,2646
Puerto Octay,48
Puerto Varas,240
Puqueldón,0
Purranque,125
Puyehue,37
Queilén,0
Quellón,7
Quemchi,14
Quinchao,3
Río Negro,68
San Juan de la Costa,57
San Pablo,27
Aisén,55
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,37
Guaitecas,1
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,57
Porvenir,17
Primavera,3
Punta Arenas,2074
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
