comuna,confirmados
Arica,4211
Camarones,15
General Lagos,1
Putre,37
Alto Hospicio,2414
Camiña,39
Colchane,89
Huara,133
Iquique,4552
Pica,205
Pozo Almonte,602
Antofagasta,6974
Calama,6243
María Elena,313
Mejillones,464
Ollagüe,21
San Pedro de Atacama,248
Sierra Gorda,66
Taltal,123
Tocopilla,273
Alto del Carmen,11
Caldera,77
Chañaral,46
Copiapó,1532
Diego de Almagro,53
Freirina,50
Huasco,29
Tierra Amarilla,145
Vallenar,451
Andacollo,51
Canela,24
Combarbalá,33
Coquimbo,2210
Illapel,255
La Higuera,46
La Serena,1875
Los Vilos,108
Monte Patria,255
Ovalle,1169
Paiguano,9
Punitaqui,87
Río Hurtado,26
Salamanca,111
Vicuña,122
Algarrobo,109
Cabildo,279
Calera,696
Calle Larga,233
Cartagena,174
Casablanca,192
Catemu,115
Concón,479
El Quisco,167
El Tabo,207
Hijuelas,177
Isla de Pascua,5
Juan Fernández,0
La Cruz,183
La Ligua,348
Limache,731
Llaillay,316
Los Andes,967
Nogales,169
Olmué,145
Panquehue,114
Papudo,81
Petorca,87
Puchuncaví,159
Putaendo,215
Quillota,1434
Quilpué,1472
Quintero,379
Rinconada,167
San Antonio,1238
San Esteban,212
San Felipe,1074
Santa María,220
Santo Domingo,145
Valparaíso,3789
Villa Alemana,1416
Viña del Mar,3571
Zapallar,71
Alhué,180
Buin,2265
Calera de Tango,560
Cerrillos,2942
Cerro Navia,6233
Colina,4472
Conchalí,5957
Curacaví,847
El Bosque,6217
El Monte,1134
Estación Central,6041
Huechuraba,3673
Independencia,6265
Isla de Maipo,915
La Cisterna,3100
La Florida,13156
La Granja,6843
La Pintana,9791
La Reina,2131
Lampa,3389
Las Condes,5635
Lo Barnechea,3152
Lo Espejo,4078
Lo Prado,4676
Macul,4734
Maipú,13960
María Pinto,351
Melipilla,3696
Ñuñoa,5285
Padre Hurtado,2042
Paine,1794
Pedro Aguirre Cerda,4170
Peñaflor,2753
Peñalolén,11384
Pirque,1058
Providencia,3084
Pudahuel,9415
Puente Alto,22105
Quilicura,8729
Quinta Normal,5695
Recoleta,8205
Renca,8032
San Bernardo,10679
San Joaquín,4802
San José de Maipo,617
San Miguel,4961
San Pedro,221
San Ramón,4368
Santiago,14463
Talagante,1594
Tiltil,548
Vitacura,1463
Chépica,148
Chimbarongo,175
Codegua,195
Coinco,110
Coltauco,193
Doñihue,380
Graneros,456
La Estrella,34
Las Cabras,194
Litueche,78
Lolol,46
Machalí,945
Malloa,114
Marchihue,27
Mostazal,236
Nancagua,91
Navidad,75
Olivar,195
Palmilla,39
Paredones,20
Peralillo,53
Peumo,62
Pichidegua,149
Pichilemu,54
Placilla,64
Pumanque,4
Quinta de Tilcoco,104
Rancagua,5558
Rengo,958
Requínoa,376
San Fernando,422
San Vicente,426
Santa Cruz,176
Cauquenes,396
Chanco,47
Colbún,186
Constitución,348
Curepto,46
Curicó,1972
Empedrado,30
Hualañé,115
Licantén,22
Linares,682
Longaví,261
Maule,423
Molina,258
Parral,265
Pelarco,100
Pelluhue,65
Pencahue,55
Rauco,101
Retiro,136
Río Claro,91
Romeral,251
Sagrada Familia,88
San Clemente,497
San Javier,424
San Rafael,125
Talca,1865
Teno,241
Vichuquén,6
Villa Alegre,136
Yerbas Buenas,121
Bulnes,359
Chillán,1708
Chillán Viejo,286
Cobquecura,2
Coelemu,75
Coihueco,204
El Carmen,98
Ninhue,48
