comuna,confirmados
Arica,5220
Camarones,23
General Lagos,2
Putre,50
Alto Hospicio,2679
Camiña,42
Colchane,93
Huara,136
Iquique,5076
Pica,259
Pozo Almonte,769
Antofagasta,7935
Calama,6620
María Elena,328
Mejillones,497
Ollagüe,24
San Pedro de Atacama,281
Sierra Gorda,70
Taltal,141
Tocopilla,286
Alto del Carmen,11
Caldera,106
Chañaral,59
Copiapó,2410
Diego de Almagro,57
Freirina,60
Huasco,36
Tierra Amarilla,213
Vallenar,494
Andacollo,57
Canela,28
Combarbalá,37
Coquimbo,2735
Illapel,307
La Higuera,71
La Serena,2369
Los Vilos,136
Monte Patria,278
Ovalle,1328
Paiguano,12
Punitaqui,93
Río Hurtado,30
Salamanca,154
Vicuña,142
Algarrobo,110
Cabildo,299
Calera,823
Calle Larga,258
Cartagena,196
Casablanca,294
Catemu,149
Concón,528
El Quisco,180
El Tabo,247
Hijuelas,216
Isla de Pascua,5
Juan Fernández,0
La Cruz,230
La Ligua,455
Limache,825
Llaillay,354
Los Andes,1034
Nogales,231
Olmué,172
Panquehue,117
Papudo,97
Petorca,115
Puchuncaví,177
Putaendo,229
Quillota,1679
Quilpué,1678
Quintero,425
Rinconada,173
San Antonio,1327
San Esteban,229
San Felipe,1176
Santa María,250
Santo Domingo,146
Valparaíso,4424
Villa Alemana,1613
Viña del Mar,4106
Zapallar,79
Alhué,204
Buin,2365
Calera de Tango,575
Cerrillos,3050
Cerro Navia,6511
Colina,4560
Conchalí,6133
Curacaví,883
El Bosque,6411
El Monte,1187
Estación Central,6178
Huechuraba,3810
Independencia,6435
Isla de Maipo,1051
La Cisterna,3193
La Florida,13500
La Granja,6953
La Pintana,10118
La Reina,2205
Lampa,3496
Las Condes,5791
Lo Barnechea,3248
Lo Espejo,4240
Lo Prado,4854
Macul,4892
Maipú,14411
María Pinto,364
Melipilla,3816
Ñuñoa,5388
Padre Hurtado,2134
Paine,1863
Pedro Aguirre Cerda,4312
Peñaflor,2832
Peñalolén,11673
Pirque,1094
Providencia,3185
Pudahuel,9665
Puente Alto,22824
Quilicura,9005
Quinta Normal,5970
Recoleta,8381
Renca,8384
San Bernardo,11027
San Joaquín,4932
San José de Maipo,666
San Miguel,5129
San Pedro,224
San Ramón,4465
Santiago,14741
Talagante,1668
Tiltil,565
Vitacura,1517
Chépica,155
Chimbarongo,197
Codegua,222
Coinco,122
Coltauco,245
Doñihue,424
Graneros,480
La Estrella,36
Las Cabras,226
Litueche,90
Lolol,56
Machalí,996
Malloa,130
Marchihue,29
Mostazal,259
Nancagua,101
Navidad,76
