comuna,activos
Arica,709
Camarones,4
General Lagos,1
Putre,10
Alto Hospicio,195
Camiña,2
Colchane,3
Huara,6
Iquique,380
Pica,41
Pozo Almonte,145
Antofagasta,747
Calama,298
María Elena,12
Mejillones,29
Ollagüe,3
San Pedro de Atacama,26
Sierra Gorda,4
Taltal,16
Tocopilla,11
Alto del Carmen,0
Caldera,25
Chañaral,7
Copiapó,685
Diego de Almagro,4
Freirina,10
Huasco,6
Tierra Amarilla,63
Vallenar,33
Andacollo,6
Canela,3
Combarbalá,4
Coquimbo,389
Illapel,39
La Higuera,21
La Serena,405
Los Vilos,23
Monte Patria,21
Ovalle,115
Paiguano,2
Punitaqui,5
Río Hurtado,2
Salamanca,30
Vicuña,14
Algarrobo,0
Cabildo,5
Calera,85
Calle Larga,22
Cartagena,15
Casablanca,57
Catemu,32
Concón,26
El Quisco,10
El Tabo,27
Hijuelas,25
Isla de Pascua,0
Juan Fernández,0
La Cruz,32
La Ligua,55
Limache,54
Llaillay,29
Los Andes,34
Nogales,46
Olmué,14
Panquehue,3
Papudo,10
Petorca,23
Puchuncaví,14
Putaendo,15
Quillota,129
Quilpué,100
Quintero,14
Rinconada,4
San Antonio,77
San Esteban,14
San Felipe,95
Santa María,24
Santo Domingo,2
Valparaíso,372
Villa Alemana,109
Viña del Mar,304
Zapallar,5
Alhué,16
Buin,84
Calera de Tango,12
Cerrillos,83
Cerro Navia,199
Colina,74
Conchalí,142
Curacaví,38
El Bosque,135
El Monte,42
Estación Central,111
Huechuraba,107
Independencia,136
Isla de Maipo,98
La Cisterna,77
La Florida,273
La Granja,84
La Pintana,253
La Reina,56
Lampa,98
Las Condes,116
Lo Barnechea,76
Lo Espejo,139
Lo Prado,149
Macul,129
Maipú,344
María Pinto,9
Melipilla,90
Ñuñoa,118
Padre Hurtado,52
Paine,50
Pedro Aguirre Cerda,108
Peñaflor,74
Peñalolén,245
Pirque,32
Providencia,79
Pudahuel,200
Puente Alto,580
Quilicura,180
Quinta Normal,202
Recoleta,138
Renca,226
San Bernardo,253
San Joaquín,116
San José de Maipo,40
San Miguel,148
San Pedro,4
San Ramón,78
Santiago,214
Talagante,36
Tiltil,12
Vitacura,45
Chépica,8
Chimbarongo,17
Codegua,18
Coinco,11
Coltauco,45
Doñihue,37
Graneros,21
La Estrella,2
Las Cabras,25
Litueche,11
Lolol,10
Machalí,47
Malloa,8
Marchihue,2
Mostazal,23
Nancagua,9
Navidad,3
Olivar,12
Palmilla,15
Paredones,7
Peralillo,6
Peumo,20
Pichidegua,56
Pichilemu,0
Placilla,2
Pumanque,0
Quinta de Tilcoco,15
Rancagua,218
Rengo,61
Requínoa,35
San Fernando,86
San Vicente,59
Santa Cruz,52
Cauquenes,14
Chanco,1
Colbún,14
Constitución,26
