comuna,activos
Arica,353
Camarones,0
General Lagos,0
Putre,3
Alto Hospicio,247
Camiña,3
Colchane,12
Huara,5
Iquique,547
Pica,14
Pozo Almonte,115
Antofagasta,433
Calama,370
María Elena,6
Mejillones,5
Ollagüe,2
San Pedro de Atacama,12
Sierra Gorda,7
Taltal,4
Tocopilla,7
Alto del Carmen,2
Caldera,5
Chañaral,2
Copiapó,120
Diego de Almagro,8
Freirina,1
Huasco,6
Tierra Amarilla,10
Vallenar,33
Andacollo,2
Canela,2
Combarbalá,1
Coquimbo,127
Illapel,10
La Higuera,2
La Serena,116
Los Vilos,4
Monte Patria,24
Ovalle,125
Paiguano,1
Punitaqui,3
Río Hurtado,5
Salamanca,7
Vicuña,3
Algarrobo,18
Cabildo,4
Calera,42
Calle Larga,20
Cartagena,9
Casablanca,20
Catemu,17
Concón,33
El Quisco,12
El Tabo,1
Hijuelas,11
Isla de Pascua,0
Juan Fernández,0
La Cruz,11
La Ligua,19
Limache,61
Llaillay,30
Los Andes,113
Nogales,9
Olmué,7
Panquehue,6
Papudo,5
Petorca,3
Puchuncaví,25
Putaendo,27
Quillota,121
Quilpué,71
Quintero,36
Rinconada,21
San Antonio,83
San Esteban,20
San Felipe,138
Santa María,15
Santo Domingo,22
Valparaíso,380
Villa Alemana,73
Viña del Mar,290
Zapallar,0
Alhué,2
Buin,182
Calera de Tango,42
Cerrillos,111
Cerro Navia,322
Colina,413
Conchalí,344
Curacaví,103
El Bosque,592
El Monte,44
Estación Central,436
Huechuraba,204
Independencia,380
Isla de Maipo,32
La Cisterna,298
La Florida,1184
La Granja,501
La Pintana,756
La Reina,181
Lampa,221
Las Condes,471
Lo Barnechea,194
Lo Espejo,384
Lo Prado,219
Macul,396
Maipú,1067
María Pinto,7
Melipilla,326
Ñuñoa,506
Padre Hurtado,113
Paine,139
Pedro Aguirre Cerda,305
Peñaflor,118
Peñalolén,884
Pirque,43
Providencia,196
Pudahuel,522
Puente Alto,1866
Quilicura,663
Quinta Normal,280
Recoleta,451
Renca,412
San Bernardo,749
San Joaquín,373
San José de Maipo,60
San Miguel,403
San Pedro,8
San Ramón,308
Santiago,990
Talagante,122
Tiltil,38
Vitacura,129
Chépica,10
Chimbarongo,12
Codegua,5
Coinco,1
Coltauco,2
Doñihue,9
Graneros,16
La Estrella,6
Las Cabras,3
Litueche,8
Lolol,3
Machalí,26
Malloa,0
Marchihue,3
Mostazal,5
Nancagua,16
Navidad,9
Olivar,3
Palmilla,5
Paredones,1
Peralillo,13
Peumo,0
Pichidegua,0
