comuna,fallecidos
Arica,39
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,35
Camiña,2
Colchane,2
Huara,4
Iquique,91
Pica,0
Pozo Almonte,9
Antofagasta,103
Calama,167
María Elena,10
Mejillones,4
Ollagüe,0
San Pedro de Atacama,4
Sierra Gorda,0
Taltal,2
Tocopilla,6
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,6
Diego de Almagro,3
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,11
Illapel,1
La Higuera,0
La Serena,14
Los Vilos,2
Monte Patria,3
Ovalle,19
Paiguano,0
Punitaqui,4
Río Hurtado,0
Salamanca,0
Vicuña,0
Algarrobo,7
Cabildo,16
Calera,15
Calle Larga,0
Cartagena,3
Casablanca,1
Catemu,3
Concón,6
El Quisco,3
El Tabo,8
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,11
Limache,13
Llaillay,5
Los Andes,32
Nogales,2
Olmué,1
Panquehue,0
Papudo,1
Petorca,1
Puchuncaví,4
Putaendo,5
Quillota,27
Quilpué,30
Quintero,8
Rinconada,4
San Antonio,31
San Esteban,2
San Felipe,23
Santa María,5
Santo Domingo,1
Valparaíso,76
Villa Alemana,16
Viña del Mar,81
Zapallar,2
Alhué,3
Buin,71
Calera de Tango,7
Cerrillos,67
Cerro Navia,221
Colina,99
Conchalí,200
Curacaví,14
El Bosque,190
El Monte,36
Estación Central,130
Huechuraba,130
Independencia,214
Isla de Maipo,17
La Cisterna,103
La Florida,419
La Granja,182
La Pintana,284
La Reina,78
Lampa,49
Las Condes,259
Lo Barnechea,63
Lo Espejo,173
Lo Prado,125
Macul,148
Maipú,326
María Pinto,4
Melipilla,97
Ñuñoa,217
Padre Hurtado,48
Paine,36
Pedro Aguirre Cerda,182
Peñaflor,91
Peñalolén,275
Pirque,24
Providencia,132
Pudahuel,202
Puente Alto,497
Quilicura,130
Quinta Normal,155
Recoleta,283
Renca,203
San Bernardo,288
San Joaquín,143
San José de Maipo,18
San Miguel,125
San Pedro,3
San Ramón,142
Santiago,257
Talagante,56
Tiltil,12
Vitacura,55
Chépica,3
Chimbarongo,3
Codegua,4
Coinco,3
Coltauco,4
Doñihue,5
Graneros,4
La Estrella,0
Las Cabras,4
Litueche,1
Lolol,1
Machalí,8
Malloa,2
Marchihue,0
Mostazal,4
Nancagua,3
Navidad,1
Olivar,3
Palmilla,2
Paredones,1
Peralillo,1
Peumo,3
Pichidegua,4
Pichilemu,0
Placilla,0
Pumanque,0
Quinta de Tilcoco,3
Rancagua,78
Rengo,10
Requínoa,6
San Fernando,6
San Vicente,7
Santa Cruz,6
Cauquenes,7
Chanco,0
Colbún,0
Constitución,3
Curepto,2
Curicó,28
Empedrado,0
Hualañé,2
Licantén,1
Linares,9
Longaví,2
Maule,2
Molina,9
Parral,2
Pelarco,1
Pelluhue,2
Pencahue,0
Rauco,0
Retiro,0
Río Claro,5
Romeral,3
Sagrada Familia,1
San Clemente,4
San Javier,9
San Rafael,0
Talca,24
Teno,4
Vichuquén,0
Villa Alegre,2
Yerbas Buenas,5
Bulnes,5
Chillán,16
Chillán Viejo,1
Cobquecura,0
Coelemu,2
Coihueco,4
El Carmen,2
Ninhue,3
Ñiquén,2
Pemuco,2
Pinto,0
Portezuelo,0
Quillón,4
Quirihue,1
Ránquil,0
San Carlos,4
San Fabián,0
San Ignacio,4
San Nicolás,2
Treguaco,1
Yungay,0
Alto Biobío,0
Antuco,1
Arauco,1
Cabrero,1
Cañete,0
Chiguayante,10
Concepción,26
Contulmo,0
Coronel,5
Curanilahue,1
Florida,3
Hualpén,3
Hualqui,3
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,6
Lota,2
Mulchén,0
Nacimiento,3
Negrete,2
Penco,1
Quilaco,0
Quilleco,1
San Pedro de la Paz,14
San Rosendo,1
Santa Bárbara,0
Santa Juana,4
Talcahuano,8
Tirúa,0
Tomé,1
Tucapel,1
Yumbel,1
Angol,9
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,0
Freire,1
Galvarino,0
Gorbea,1
Lautaro,2
Loncoche,2
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,2
Padre Las Casas,5
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,1
Saavedra,0
Temuco,24
Teodoro Schmidt,0
Toltén,0
Traiguén,0
Victoria,7
Vilcún,2
Villarrica,0
Corral,0
Futrono,0
La Unión,3
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,1
Panguipulli,1
Río Bueno,0
Valdivia,6
Ancud,2
Calbuco,1
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,2
Frutillar,0
Futaleufú,0
Hualaihué,1
Llanquihue,1
Los Muermos,0
Maullín,0
Osorno,12
Palena,0
Puerto Montt,7
Puerto Octay,0
Puerto Varas,1
Puqueldón,0
Purranque,0
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,0
San Juan de la Costa,2
San Pablo,1
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,0
Primavera,0
Punta Arenas,28
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
