comuna,fallecidos
Arica,79
Camarones,1
General Lagos,0
Putre,0
Alto Hospicio,49
Camiña,2
Colchane,3
Huara,4
Iquique,110
Pica,1
Pozo Almonte,14
Antofagasta,146
Calama,206
María Elena,13
Mejillones,5
Ollagüe,0
San Pedro de Atacama,8
Sierra Gorda,1
Taltal,3
Tocopilla,9
Alto del Carmen,0
Caldera,1
Chañaral,0
Copiapó,16
Diego de Almagro,2
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,21
Illapel,2
La Higuera,0
La Serena,25
Los Vilos,3
Monte Patria,4
Ovalle,22
Paiguano,0
Punitaqui,5
Río Hurtado,0
Salamanca,1
Vicuña,1
Algarrobo,7
Cabildo,18
Calera,19
Calle Larga,2
Cartagena,3
Casablanca,4
Catemu,3
Concón,8
El Quisco,3
El Tabo,12
Hijuelas,5
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,12
Limache,20
Llaillay,7
Los Andes,45
Nogales,3
Olmué,3
Panquehue,0
Papudo,3
Petorca,1
Puchuncaví,4
Putaendo,6
Quillota,39
Quilpué,42
Quintero,11
Rinconada,4
San Antonio,37
San Esteban,4
San Felipe,28
Santa María,5
Santo Domingo,2
Valparaíso,98
Villa Alemana,22
Viña del Mar,113
Zapallar,3
Alhué,4
Buin,78
Calera de Tango,8
Cerrillos,78
Cerro Navia,255
Colina,111
Conchalí,223
Curacaví,17
El Bosque,208
El Monte,41
Estación Central,146
Huechuraba,138
Independencia,241
Isla de Maipo,19
La Cisterna,116
La Florida,468
La Granja,201
La Pintana,310
La Reina,87
Lampa,52
Las Condes,296
Lo Barnechea,72
Lo Espejo,188
Lo Prado,138
Macul,154
Maipú,381
María Pinto,7
Melipilla,113
Ñuñoa,243
Padre Hurtado,51
Paine,44
Pedro Aguirre Cerda,206
Peñaflor,111
Peñalolén,314
Pirque,29
Providencia,152
Pudahuel,241
Puente Alto,567
Quilicura,147
Quinta Normal,173
Recoleta,301
Renca,238
San Bernardo,323
San Joaquín,153
San José de Maipo,20
San Miguel,136
San Pedro,4
San Ramón,162
Santiago,280
Talagante,62
Tiltil,13
Vitacura,61
Chépica,4
Chimbarongo,6
Codegua,5
Coinco,4
Coltauco,8
Doñihue,7
Graneros,4
La Estrella,0
Las Cabras,6
Litueche,2
Lolol,2
Machalí,12
Malloa,5
Marchihue,0
Mostazal,5
Nancagua,3
Navidad,2
Olivar,4
Palmilla,4
Paredones,2
Peralillo,1
Peumo,5
Pichidegua,5
Pichilemu,0
Placilla,0
Pumanque,1
Quinta de Tilcoco,4
Rancagua,116
Rengo,26
Requínoa,8
San Fernando,9
San Vicente,12
Santa Cruz,7
Cauquenes,9
Chanco,1
Colbún,1
Constitución,6
Curepto,4
Curicó,46
Empedrado,0
Hualañé,2
Licantén,3
Linares,18
Longaví,2
Maule,4
Molina,13
Parral,3
Pelarco,2
Pelluhue,2
Pencahue,0
Rauco,1
Retiro,0
Río Claro,6
Romeral,5
Sagrada Familia,1
San Clemente,10
San Javier,13
San Rafael,0
Talca,35
Teno,5
Vichuquén,1
Villa Alegre,2
Yerbas Buenas,5
Bulnes,8
Chillán,18
Chillán Viejo,2
Cobquecura,0
Coelemu,3
Coihueco,4
El Carmen,3
Ninhue,3
Ñiquén,3
Pemuco,2
Pinto,0
Portezuelo,0
Quillón,4
Quirihue,2
Ránquil,0
San Carlos,6
San Fabián,0
San Ignacio,6
San Nicolás,3
Treguaco,1
Yungay,1
Alto Biobío,0
Antuco,1
Arauco,3
Cabrero,2
Cañete,0
Chiguayante,11
Concepción,31
Contulmo,0
Coronel,8
Curanilahue,2
Florida,3
Hualpén,10
Hualqui,4
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,11
Lota,2
Mulchén,0
Nacimiento,4
Negrete,2
Penco,4
Quilaco,0
Quilleco,1
San Pedro de la Paz,17
San Rosendo,1
Santa Bárbara,2
Santa Juana,4
Talcahuano,15
Tirúa,0
Tomé,1
Tucapel,2
Yumbel,1
Angol,10
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,1
Freire,1
Galvarino,0
Gorbea,1
Lautaro,3
Loncoche,1
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,3
Padre Las Casas,6
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,1
Saavedra,0
Temuco,27
Teodoro Schmidt,1
Toltén,0
Traiguén,0
Victoria,7
Vilcún,3
Villarrica,1
Corral,0
