comuna,activos
Arica,328
Camarones,0
General Lagos,0
Putre,2
Alto Hospicio,235
Camiña,4
Colchane,8
Huara,5
Iquique,474
Pica,8
Pozo Almonte,97
Antofagasta,349
Calama,221
María Elena,6
Mejillones,1
Ollagüe,0
San Pedro de Atacama,2
Sierra Gorda,7
Taltal,6
Tocopilla,5
Alto del Carmen,1
Caldera,4
Chañaral,2
Copiapó,111
Diego de Almagro,3
Freirina,1
Huasco,7
Tierra Amarilla,6
Vallenar,27
Andacollo,6
Canela,2
Combarbalá,4
Coquimbo,102
Illapel,20
La Higuera,2
La Serena,93
Los Vilos,3
Monte Patria,17
Ovalle,108
Paiguano,0
Punitaqui,10
Río Hurtado,6
Salamanca,15
Vicuña,2
Algarrobo,17
Cabildo,7
Calera,33
Calle Larga,23
Cartagena,13
Casablanca,21
Catemu,14
Concón,26
El Quisco,14
El Tabo,14
Hijuelas,7
Isla de Pascua,0
Juan Fernández,0
La Cruz,10
La Ligua,10
Limache,55
Llaillay,22
Los Andes,94
Nogales,5
Olmué,5
Panquehue,5
Papudo,3
Petorca,7
Puchuncaví,14
Putaendo,27
Quillota,84
Quilpué,60
Quintero,27
Rinconada,19
San Antonio,125
San Esteban,20
San Felipe,132
Santa María,21
Santo Domingo,24
Valparaíso,296
Villa Alemana,70
Viña del Mar,252
Zapallar,0
Alhué,5
Buin,215
Calera de Tango,46
Cerrillos,171
Cerro Navia,312
Colina,416
Conchalí,367
Curacaví,108
El Bosque,517
El Monte,56
Estación Central,451
Huechuraba,246
Independencia,434
Isla de Maipo,28
La Cisterna,342
La Florida,1169
La Granja,515
La Pintana,748
La Reina,164
Lampa,210
Las Condes,505
Lo Barnechea,229
Lo Espejo,437
Lo Prado,202
Macul,379
Maipú,1041
María Pinto,4
Melipilla,360
Ñuñoa,540
Padre Hurtado,111
Paine,150
Pedro Aguirre Cerda,287
Peñaflor,131
Peñalolén,1020
Pirque,53
Providencia,258
Pudahuel,497
Puente Alto,1769
Quilicura,711
Quinta Normal,320
Recoleta,455
Renca,367
San Bernardo,837
San Joaquín,377
San José de Maipo,69
San Miguel,416
San Pedro,8
San Ramón,289
Santiago,1084
Talagante,136
Tiltil,45
Vitacura,121
Chépica,2
Chimbarongo,9
Codegua,7
Coinco,0
Coltauco,0
Doñihue,3
Graneros,5
La Estrella,3
Las Cabras,0
Litueche,5
Lolol,4
Machalí,24
Malloa,0
Marchihue,0
Mostazal,3
Nancagua,6
Navidad,3
Olivar,0
Palmilla,2
Paredones,1
Peralillo,8
Peumo,0
Pichidegua,0
Pichilemu,2
Placilla,3
Pumanque,0
Quinta de Tilcoco,1
Rancagua,152
Rengo,10
Requínoa,7
San Fernando,14
San Vicente,5
Santa Cruz,15
Cauquenes,64
Chanco,6
Colbún,10
Constitución,11
Curepto,0
Curicó,270
Empedrado,1
Hualañé,36
Licantén,4
Linares,29
Longaví,22
Maule,33
Molina,21
Parral,30
Pelarco,11
Pelluhue,13
Pencahue,3
Rauco,6
Retiro,15
Río Claro,6
Romeral,25
Sagrada Familia,13
San Clemente,40
San Javier,41
San Rafael,12
Talca,157
Teno,14
Vichuquén,0
Villa Alegre,13
Yerbas Buenas,11
Bulnes,18
Chillán,140
Chillán Viejo,24
Cobquecura,0
Coelemu,13
Coihueco,7
El Carmen,7
Ninhue,2
Ñiquén,12
Pemuco,3
Pinto,0
Portezuelo,0
Quillón,30
Quirihue,2
Ránquil,1
San Carlos,58
San Fabián,0
San Ignacio,16
San Nicolás,7
Treguaco,2
Yungay,6
Alto Biobío,32
Antuco,7
Arauco,19
Cabrero,6
Cañete,7
Chiguayante,35
Concepción,117
Contulmo,1
Coronel,97
Curanilahue,12
Florida,0
Hualpén,31
Hualqui,8
Laja,8
Lebu,2
Los Álamos,2
Los Ángeles,97
Lota,21
Mulchén,6
Nacimiento,7
Negrete,19
Penco,39
Quilaco,5
Quilleco,4
San Pedro de la Paz,67
San Rosendo,3
Santa Bárbara,8
Santa Juana,13
Talcahuano,62
Tirúa,2
Tomé,46
Tucapel,29
Yumbel,6
Angol,57
Carahue,5
