comuna,fallecidos
Arica,23
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,30
Camiña,2
Colchane,2
Huara,3
Iquique,69
Pica,0
Pozo Almonte,6
Antofagasta,63
Calama,117
María Elena,6
Mejillones,4
Ollagüe,0
San Pedro de Atacama,2
Sierra Gorda,0
Taltal,2
Tocopilla,4
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,3
Diego de Almagro,1
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,6
Illapel,0
La Higuera,0
La Serena,10
Los Vilos,1
Monte Patria,2
Ovalle,10
Paiguano,0
Punitaqui,3
Río Hurtado,0
Salamanca,0
Vicuña,0
Algarrobo,6
Cabildo,14
Calera,8
Calle Larga,0
Cartagena,3
Casablanca,0
Catemu,1
Concón,5
El Quisco,3
El Tabo,5
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Cruz,1
La Ligua,8
Limache,9
Llaillay,5
Los Andes,24
Nogales,0
Olmué,2
Panquehue,0
Papudo,1
Petorca,1
Puchuncaví,4
Putaendo,0
Quillota,17
Quilpué,15
Quintero,6
Rinconada,3
San Antonio,29
San Esteban,1
San Felipe,19
Santa María,3
Santo Domingo,1
Valparaíso,55
Villa Alemana,13
Viña del Mar,64
Zapallar,2
Alhué,2
Buin,54
Calera de Tango,5
Cerrillos,53
Cerro Navia,194
Colina,86
Conchalí,175
Curacaví,11
El Bosque,155
El Monte,30
Estación Central,113
Huechuraba,113
Independencia,192
Isla de Maipo,13
La Cisterna,88
La Florida,341
La Granja,159
La Pintana,242
La Reina,63
Lampa,44
Las Condes,232
Lo Barnechea,54
Lo Espejo,135
Lo Prado,111
Macul,121
Maipú,266
María Pinto,4
Melipilla,74
Ñuñoa,182
Padre Hurtado,40
Paine,25
Pedro Aguirre Cerda,155
Peñaflor,79
Peñalolén,226
Pirque,21
Providencia,107
Pudahuel,174
Puente Alto,416
Quilicura,110
Quinta Normal,134
Recoleta,254
Renca,172
