comuna,fallecidos
Arica,43
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,39
Camiña,2
Colchane,2
Huara,4
Iquique,94
Pica,1
Pozo Almonte,9
Antofagasta,111
Calama,177
María Elena,10
Mejillones,4
Ollagüe,0
San Pedro de Atacama,5
Sierra Gorda,0
Taltal,2
Tocopilla,6
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,7
Diego de Almagro,3
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,12
Illapel,1
La Higuera,0
La Serena,16
Los Vilos,2
Monte Patria,3
Ovalle,20
Paiguano,0
Punitaqui,4
Río Hurtado,0
Salamanca,1
Vicuña,0
Algarrobo,7
Cabildo,17
Calera,14
Calle Larga,1
Cartagena,3
Casablanca,1
Catemu,3
Concón,6
El Quisco,3
El Tabo,8
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,11
Limache,15
Llaillay,5
Los Andes,34
Nogales,2
Olmué,1
Panquehue,0
Papudo,1
Petorca,1
Puchuncaví,4
Putaendo,5
Quillota,31
Quilpué,30
Quintero,8
Rinconada,4
San Antonio,33
San Esteban,2
San Felipe,24
Santa María,5
Santo Domingo,1
Valparaíso,80
Villa Alemana,18
Viña del Mar,90
Zapallar,2
Alhué,3
Buin,72
Calera de Tango,7
Cerrillos,69
Cerro Navia,225
Colina,100
Conchalí,206
Curacaví,14
El Bosque,194
El Monte,38
Estación Central,133
Huechuraba,130
Independencia,219
Isla de Maipo,17
La Cisterna,105
La Florida,427
La Granja,183
La Pintana,286
La Reina,81
Lampa,49
Las Condes,265
Lo Barnechea,64
Lo Espejo,177
Lo Prado,127
Macul,150
Maipú,334
María Pinto,4
Melipilla,106
Ñuñoa,226
Padre Hurtado,49
Paine,38
Pedro Aguirre Cerda,187
Peñaflor,96
Peñalolén,286
Pirque,26
Providencia,133
Pudahuel,212
Puente Alto,508
Quilicura,133
Quinta Normal,161
Recoleta,288
Renca,210
San Bernardo,300
San Joaquín,148
San José de Maipo,19
San Miguel,126
San Pedro,3
San Ramón,150
Santiago,262
Talagante,56
Tiltil,12
Vitacura,57
Chépica,4
Chimbarongo,3
Codegua,5
Coinco,3
Coltauco,5
Doñihue,5
Graneros,3
La Estrella,0
Las Cabras,5
Litueche,2
Lolol,1
Machalí,8
Malloa,4
Marchihue,0
Mostazal,4
Nancagua,3
Navidad,1
Olivar,3
Palmilla,2
Paredones,1
Peralillo,1
Peumo,4
Pichidegua,4
Pichilemu,0
Placilla,0
Pumanque,0
Quinta de Tilcoco,3
Rancagua,86
Rengo,12
Requínoa,6
San Fernando,7
San Vicente,9
Santa Cruz,6
Cauquenes,8
Chanco,0
Colbún,0
Constitución,3
Curepto,3
Curicó,30
Empedrado,0
Hualañé,2
Licantén,1
Linares,9
Longaví,2
Maule,2
Molina,9
Parral,3
Pelarco,1
Pelluhue,2
Pencahue,0
Rauco,1
Retiro,0
Río Claro,5
Romeral,3
Sagrada Familia,1
San Clemente,4
San Javier,9
San Rafael,0
Talca,24
Teno,4
Vichuquén,0
Villa Alegre,2
Yerbas Buenas,5
Bulnes,6
Chillán,16
Chillán Viejo,2
Cobquecura,0
Coelemu,2
Coihueco,4
El Carmen,2
Ninhue,3
Ñiquén,2
Pemuco,2
Pinto,0
Portezuelo,0
Quillón,4
Quirihue,2
Ránquil,0
San Carlos,5
San Fabián,0
San Ignacio,4
San Nicolás,2
Treguaco,0
Yungay,0
Alto Biobío,0
Antuco,1
Arauco,1
Cabrero,2
Cañete,0
Chiguayante,10
Concepción,28
Contulmo,0
Coronel,5
Curanilahue,1
Florida,3
Hualpén,3
Hualqui,3
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,7
Lota,2
Mulchén,0
Nacimiento,3
Negrete,2
Penco,1
Quilaco,0
Quilleco,1
San Pedro de la Paz,16
San Rosendo,1
Santa Bárbara,0
Santa Juana,4
