comuna,fallecidos
Arica,33
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,34
Camiña,2
Colchane,2
Huara,4
Iquique,87
Pica,0
Pozo Almonte,9
Antofagasta,92
Calama,155
María Elena,10
Mejillones,4
Ollagüe,0
San Pedro de Atacama,4
Sierra Gorda,0
Taltal,2
Tocopilla,5
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,6
Diego de Almagro,3
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,10
Illapel,1
La Higuera,0
La Serena,14
Los Vilos,1
Monte Patria,3
Ovalle,18
Paiguano,0
Punitaqui,3
Río Hurtado,0
Salamanca,0
Vicuña,0
Algarrobo,7
Cabildo,17
Calera,13
Calle Larga,0
Cartagena,3
Casablanca,1
Catemu,3
Concón,6
El Quisco,3
El Tabo,8
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,10
Limache,13
Llaillay,5
Los Andes,32
Nogales,1
Olmué,1
Panquehue,0
Papudo,1
Petorca,1
Puchuncaví,4
Putaendo,3
Quillota,26
Quilpué,28
Quintero,7
Rinconada,4
San Antonio,30
San Esteban,2
San Felipe,22
Santa María,4
Santo Domingo,1
Valparaíso,75
Villa Alemana,14
Viña del Mar,78
Zapallar,2
Alhué,3
Buin,68
Calera de Tango,6
Cerrillos,66
Cerro Navia,217
Colina,94
Conchalí,194
Curacaví,14
El Bosque,184
El Monte,36
Estación Central,125
Huechuraba,127
Independencia,209
Isla de Maipo,17
La Cisterna,101
La Florida,407
La Granja,176
La Pintana,277
La Reina,75
Lampa,49
Las Condes,256
Lo Barnechea,62
Lo Espejo,167
Lo Prado,124
Macul,142
Maipú,315
María Pinto,4
Melipilla,92
Ñuñoa,211
Padre Hurtado,47
Paine,34
Pedro Aguirre Cerda,177
Peñaflor,89
Peñalolén,270
Pirque,24
Providencia,129
Pudahuel,198
Puente Alto,481
Quilicura,123
Quinta Normal,152
Recoleta,281
Renca,195
San Bernardo,283
San Joaquín,142
San José de Maipo,17
San Miguel,119
San Pedro,3
San Ramón,136
Santiago,245
Talagante,54
Tiltil,12
Vitacura,55
Chépica,2
Chimbarongo,3
Codegua,3
Coinco,3
Coltauco,4
Doñihue,5
Graneros,3
La Estrella,0
Las Cabras,4
Litueche,1
Lolol,1
Machalí,8
Malloa,2
Marchihue,0
Mostazal,4
Nancagua,3
Navidad,1
Olivar,3
Palmilla,2
Paredones,0
Peralillo,1
