comuna,fallecidos
Arica,29
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,34
Camiña,2
Colchane,2
Huara,3
Iquique,80
Pica,0
Pozo Almonte,9
Antofagasta,86
Calama,149
María Elena,9
Mejillones,4
Ollagüe,0
San Pedro de Atacama,4
Sierra Gorda,0
Taltal,2
Tocopilla,5
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,5
Diego de Almagro,3
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,7
Illapel,0
La Higuera,0
La Serena,11
Los Vilos,1
Monte Patria,2
Ovalle,17
Paiguano,0
Punitaqui,3
Río Hurtado,0
Salamanca,0
Vicuña,0
Algarrobo,6
Cabildo,17
Calera,12
Calle Larga,0
Cartagena,3
Casablanca,0
Catemu,2
Concón,6
El Quisco,3
El Tabo,6
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,10
Limache,13
Llaillay,5
Los Andes,27
Nogales,1
Olmué,2
Panquehue,0
Papudo,1
Petorca,1
Puchuncaví,4
Putaendo,1
Quillota,26
Quilpué,23
Quintero,6
Rinconada,4
San Antonio,29
San Esteban,1
San Felipe,21
Santa María,4
Santo Domingo,1
Valparaíso,71
Villa Alemana,13
Viña del Mar,73
Zapallar,2
Alhué,3
Buin,65
Calera de Tango,6
Cerrillos,62
Cerro Navia,214
Colina,92
Conchalí,186
Curacaví,14
El Bosque,178
El Monte,35
Estación Central,122
Huechuraba,124
Independencia,206
Isla de Maipo,17
La Cisterna,99
La Florida,387
La Granja,173
La Pintana,271
La Reina,72
Lampa,50
Las Condes,250
Lo Barnechea,61
Lo Espejo,159
Lo Prado,124
Macul,140
Maipú,306
María Pinto,4
Melipilla,85
Ñuñoa,204
Padre Hurtado,46
Paine,33
Pedro Aguirre Cerda,176
Peñaflor,87
Peñalolén,259
Pirque,24
Providencia,121
Pudahuel,192
Puente Alto,467
Quilicura,123
Quinta Normal,147
Recoleta,277
Renca,186
San Bernardo,276
San Joaquín,133
San José de Maipo,17
San Miguel,111
San Pedro,3
San Ramón,135
Santiago,239
Talagante,51
Tiltil,11
Vitacura,51
Chépica,2
Chimbarongo,3
Codegua,3
Coinco,3
Coltauco,3
Doñihue,5
Graneros,3
La Estrella,0
Las Cabras,3
Litueche,1
Lolol,1
Machalí,8
Malloa,2
Marchihue,0
Mostazal,3
