comuna,activos
Arica,406
Camarones,0
General Lagos,0
Putre,1
Alto Hospicio,219
Camiña,10
Colchane,20
Huara,9
Iquique,417
Pica,14
Pozo Almonte,65
Antofagasta,759
Calama,876
María Elena,38
Mejillones,44
Ollagüe,1
San Pedro de Atacama,42
Sierra Gorda,4
Taltal,11
Tocopilla,41
Alto del Carmen,0
Caldera,19
Chañaral,7
Copiapó,201
Diego de Almagro,7
Freirina,8
Huasco,5
Tierra Amarilla,13
Vallenar,97
Andacollo,8
Canela,7
Combarbalá,1
Coquimbo,223
Illapel,42
La Higuera,0
La Serena,198
Los Vilos,27
Monte Patria,36
Ovalle,160
Paiguano,0
Punitaqui,10
Río Hurtado,0
Salamanca,3
Vicuña,3
Algarrobo,8
Cabildo,46
Calera,96
Calle Larga,25
Cartagena,28
Casablanca,32
Catemu,15
Concón,66
El Quisco,11
El Tabo,38
Hijuelas,27
Isla de Pascua,0
Juan Fernández,0
La Cruz,22
La Ligua,41
Limache,109
Llaillay,37
Los Andes,132
Nogales,19
Olmué,12
Panquehue,10
Papudo,6
Petorca,12
Puchuncaví,29
Putaendo,39
Quillota,227
Quilpué,227
Quintero,47
Rinconada,23
San Antonio,114
San Esteban,33
San Felipe,155
Santa María,28
Santo Domingo,8
Valparaíso,500
Villa Alemana,167
Viña del Mar,474
Zapallar,17
Alhué,22
Buin,222
Calera de Tango,81
Cerrillos,247
Cerro Navia,461
Colina,348
Conchalí,458
Curacaví,68
El Bosque,531
El Monte,129
Estación Central,442
Huechuraba,265
Independencia,318
Isla de Maipo,77
La Cisterna,239
La Florida,1149
La Granja,484
La Pintana,672
La Reina,180
Lampa,241
Las Condes,368
Lo Barnechea,121
Lo Espejo,362
Lo Prado,316
Macul,361
Maipú,1197
María Pinto,42
Melipilla,396
Ñuñoa,433
Padre Hurtado,209
Paine,228
Pedro Aguirre Cerda,309
Peñaflor,307
Peñalolén,810
Pirque,91
Providencia,218
Pudahuel,717
Puente Alto,1869
Quilicura,571
Quinta Normal,392
Recoleta,476
Renca,894
San Bernardo,1076
San Joaquín,363
San José de Maipo,58
San Miguel,387
San Pedro,42
San Ramón,291
Santiago,855
Talagante,219
Tiltil,59
Vitacura,102
Chépica,15
Chimbarongo,27
Codegua,37
Coinco,23
Coltauco,27
Doñihue,65
Graneros,85
La Estrella,14
Las Cabras,39
Litueche,11
Lolol,11
Machalí,268
Malloa,14
Marchihue,2
Mostazal,41
Nancagua,4
Navidad,3
Olivar,42
Palmilla,8
Paredones,0
Peralillo,3
Peumo,7
Pichidegua,28
Pichilemu,5
Placilla,6
Pumanque,0
Quinta de Tilcoco,25
Rancagua,1269
Rengo,150
Requínoa,90
San Fernando,82
San Vicente,61
Santa Cruz,19
Cauquenes,66
Chanco,1
Colbún,29
Constitución,67
Curepto,7
Curicó,307
Empedrado,16
Hualañé,10
Licantén,5
Linares,110
Longaví,20
Maule,47
Molina,67
Parral,25
Pelarco,4
Pelluhue,5
Pencahue,7
Rauco,10
Retiro,11
Río Claro,18
Romeral,62
Sagrada Familia,10
San Clemente,94
San Javier,50
San Rafael,22
Talca,345
Teno,31
Vichuquén,0
Villa Alegre,11
Yerbas Buenas,8
Bulnes,20
Chillán,204
Chillán Viejo,33
Cobquecura,0
Coelemu,16
Coihueco,24
El Carmen,10
Ninhue,14
Ñiquén,6
Pemuco,16
Pinto,12
Portezuelo,4
Quillón,9
Quirihue,15
Ránquil,4
San Carlos,49
San Fabián,0
San Ignacio,15
San Nicolás,9
Treguaco,1
Yungay,18
Alto Biobío,8
Antuco,15
Arauco,99
Cabrero,27
Cañete,8
Chiguayante,68
Concepción,272
Contulmo,35
Coronel,251
Curanilahue,23
Florida,11
Hualpén,122
Hualqui,53
Laja,42
Lebu,6
Los Álamos,49
Los Ángeles,199
Lota,98
Mulchén,29
Nacimiento,35
Negrete,22
Penco,73
Quilaco,4
Quilleco,7
San Pedro de la Paz,122
San Rosendo,8
Santa Bárbara,21
Santa Juana,14
Talcahuano,171
Tirúa,14
Tomé,64
Tucapel,51
Yumbel,45
Angol,37
Carahue,7
Cholchol,0
Collipulli,7
Cunco,7
Curacautín,0
Curarrehue,0
Ercilla,0
Freire,6
Galvarino,8
Gorbea,0
Lautaro,9
Loncoche,16
Lonquimay,3
Los Sauces,1
Lumaco,8
Melipeuco,0
Nueva Imperial,13
Padre Las Casas,5
Perquenco,13
Pitrufquén,20
Pucón,7
Purén,6
Renaico,19
Saavedra,0
Temuco,47
Teodoro Schmidt,9
Toltén,0
Traiguén,11
Victoria,1
Vilcún,15
Villarrica,25
Corral,1
Futrono,1
La Unión,10
Lago Ranco,5
Lanco,2
Los Lagos,1
Máfil,0
Mariquina,1
Paillaco,3
Panguipulli,11
Río Bueno,4
Valdivia,70
Ancud,5
Calbuco,43
Castro,0
Chaitén,0
Chonchi,0
Cochamó,4
Curaco de Vélez,11
Dalcahue,0
Fresia,2
Frutillar,41
Futaleufú,0
Hualaihué,5
Llanquihue,23
Los Muermos,8
Maullín,5
Osorno,11
Palena,0
Puerto Montt,162
Puerto Octay,3
Puerto Varas,17
Puqueldón,0
Purranque,1
Puyehue,0
Queilén,0
Quellón,1
Quemchi,0
Quinchao,0
Río Negro,2
San Juan de la Costa,0
San Pablo,0
Aisén,4
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,11
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,1
Laguna Blanca,0
Natales,21
Porvenir,0
Primavera,1
Punta Arenas,111
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
