comuna,confirmados
Arica,4636
Camarones,16
General Lagos,1
Putre,39
Alto Hospicio,2523
Camiña,42
Colchane,92
Huara,135
Iquique,4782
Pica,237
Pozo Almonte,716
Antofagasta,7270
Calama,6409
María Elena,322
Mejillones,464
Ollagüe,21
San Pedro de Atacama,260
Sierra Gorda,69
Taltal,124
Tocopilla,275
Alto del Carmen,11
Caldera,81
Chañaral,49
Copiapó,1825
Diego de Almagro,54
Freirina,55
Huasco,32
Tierra Amarilla,161
Vallenar,461
Andacollo,51
Canela,25
Combarbalá,34
Coquimbo,2424
Illapel,279
La Higuera,59
La Serena,2071
Los Vilos,121
Monte Patria,263
Ovalle,1220
Paiguano,11
Punitaqui,89
Río Hurtado,29
Salamanca,127
Vicuña,124
Algarrobo,110
Cabildo,280
Calera,734
Calle Larga,238
Cartagena,180
Casablanca,204
Catemu,128
Concón,496
El Quisco,172
El Tabo,220
Hijuelas,189
Isla de Pascua,5
Juan Fernández,0
La Cruz,197
La Ligua,357
Limache,740
Llaillay,330
Los Andes,984
Nogales,188
Olmué,149
Panquehue,116
Papudo,82
Petorca,86
Puchuncaví,164
Putaendo,217
Quillota,1485
Quilpué,1515
Quintero,387
Rinconada,171
San Antonio,1269
San Esteban,215
San Felipe,1080
Santa María,230
Santo Domingo,145
Valparaíso,3962
Villa Alemana,1451
Viña del Mar,3699
Zapallar,75
Alhué,186
Buin,2296
Calera de Tango,563
Cerrillos,2981
Cerro Navia,6315
Colina,4496
Conchalí,6012
Curacaví,854
El Bosque,6303
El Monte,1148
Estación Central,6084
Huechuraba,3723
Independencia,6316
Isla de Maipo,986
La Cisterna,3126
La Florida,13274
La Granja,6876
La Pintana,9879
La Reina,2152
Lampa,3411
Las Condes,5688
Lo Barnechea,3187
Lo Espejo,4137
Lo Prado,4736
Macul,4808
Maipú,14085
María Pinto,355
Melipilla,3746
Ñuñoa,5283
Padre Hurtado,2082
Paine,1823
Pedro Aguirre Cerda,4219
Peñaflor,2789
Peñalolén,11478
Pirque,1064
Providencia,3112
Pudahuel,9510
Puente Alto,22315
Quilicura,8841
Quinta Normal,5777
Recoleta,8275
Renca,8171
San Bernardo,10789
San Joaquín,4842
San José de Maipo,635
San Miguel,5020
San Pedro,220
San Ramón,4406
Santiago,14541
Talagante,1645
Tiltil,554
Vitacura,1478
Chépica,152
Chimbarongo,185
Codegua,201
Coinco,111
Coltauco,205
Doñihue,397
Graneros,464
La Estrella,35
Las Cabras,201
Litueche,79
Lolol,48
Machalí,965
Malloa,127
Marchihue,29
Mostazal,247
Nancagua,94
Navidad,75
Olivar,198
Palmilla,43
Paredones,22
Peralillo,54
Peumo,67
Pichidegua,161
Pichilemu,54
Placilla,64
Pumanque,4
Quinta de Tilcoco,107
Rancagua,5600
Rengo,978
Requínoa,391
San Fernando,449
San Vicente,456
Santa Cruz,189
Cauquenes,399
Chanco,48
Colbún,194
Constitución,357
Curepto,49
Curicó,2065
Empedrado,32
Hualañé,115
Licantén,24
Linares,706
Longaví,265
Maule,443
Molina,272
Parral,273
Pelarco,115
Pelluhue,68
Pencahue,56
Rauco,108
Retiro,144
Río Claro,100
Romeral,256
Sagrada Familia,91
San Clemente,513
San Javier,456
San Rafael,126
Talca,1920
Teno,253
Vichuquén,6
Villa Alegre,141
Yerbas Buenas,129
Bulnes,382
Chillán,1732
Chillán Viejo,289
Cobquecura,2
Coelemu,76
Coihueco,209
El Carmen,102
Ninhue,48
Ñiquén,90
Pemuco,103
Pinto,68
Portezuelo,21
Quillón,183
Quirihue,67
Ránquil,41
San Carlos,495
San Fabián,14
San Ignacio,174
San Nicolás,117
Treguaco,8
Yungay,132
Alto Biobío,172
Antuco,62
Arauco,384
Cabrero,148
Cañete,115
Chiguayante,597
Concepción,1772
Contulmo,46
Coronel,1368
Curanilahue,197
Florida,59
Hualpén,765
Hualqui,217
Laja,182
Lebu,43
Los Álamos,136
Los Ángeles,1177
Lota,434
Mulchén,131
Nacimiento,166
Negrete,132
Penco,466
Quilaco,19
Quilleco,50
San Pedro de la Paz,942
San Rosendo,35
Santa Bárbara,148
Santa Juana,86
Talcahuano,1307
Tirúa,31
Tomé,415
Tucapel,151
Yumbel,212
Angol,486
Carahue,103
Cholchol,38
Collipulli,71
Cunco,85
Curacautín,33
Curarrehue,4
Ercilla,55
Freire,124
Galvarino,133
Gorbea,39
Lautaro,166
Loncoche,83
Lonquimay,71
Los Sauces,37
Lumaco,42
Melipeuco,11
Nueva Imperial,133
Padre Las Casas,224
Perquenco,43
Pitrufquén,100
Pucón,85
Purén,42
Renaico,61
Saavedra,99
Temuco,1182
Teodoro Schmidt,31
Toltén,18
Traiguén,57
Victoria,204
Vilcún,146
Villarrica,107
Corral,26
Futrono,61
La Unión,100
Lago Ranco,7
Lanco,28
Los Lagos,63
Máfil,29
Mariquina,37
Paillaco,38
Panguipulli,65
Río Bueno,35
Valdivia,445
Ancud,111
Calbuco,185
Castro,25
Chaitén,11
Chonchi,1
Cochamó,16
Curaco de Vélez,18
Dalcahue,7
Fresia,55
Frutillar,163
Futaleufú,1
Hualaihué,20
Llanquihue,119
Los Muermos,61
Maullín,73
Osorno,731
Palena,0
Puerto Montt,1957
Puerto Octay,11
Puerto Varas,145
Puqueldón,0
Purranque,91
Puyehue,22
Queilén,0
Quellón,7
Quemchi,14
Quinchao,2
Río Negro,54
San Juan de la Costa,46
San Pablo,17
Aisén,44
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,32
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,54
Porvenir,10
Primavera,1
Punta Arenas,1633
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
