comuna,confirmados
Arica,1046
Camarones,0
General Lagos,0
Putre,2
Alto Hospicio,1345
Camiña,10
Colchane,10
Huara,40
Iquique,2142
Pica,60
Pozo Almonte,192
Antofagasta,2106
Calama,1138
María Elena,172
Mejillones,280
Ollagüe,0
San Pedro de Atacama,14
Sierra Gorda,26
Taltal,41
Tocopilla,44
Alto del Carmen,2
Caldera,13
Chañaral,3
Copiapó,259
Diego de Almagro,19
Freirina,2
Huasco,8
Tierra Amarilla,30
Vallenar,84
Andacollo,25
Canela,6
Combarbalá,20
Coquimbo,470
Illapel,53
La Higuera,3
La Serena,350
Los Vilos,11
Monte Patria,82
Ovalle,329
Paiguano,4
Punitaqui,31
Río Hurtado,13
Salamanca,42
Vicuña,21
Algarrobo,67
Cabildo,36
Calera,112
Calle Larga,90
Cartagena,66
Casablanca,58
Catemu,38
Concón,105
El Quisco,82
El Tabo,72
Hijuelas,38
Isla de Pascua,5
Juan Fernández,0
La Cruz,49
La Ligua,50
Limache,179
Llaillay,98
Los Andes,323
Nogales,28
Olmué,28
Panquehue,20
Papudo,17
Petorca,23
Puchuncaví,35
Putaendo,63
Quillota,214
Quilpué,368
Quintero,148
Rinconada,67
San Antonio,616
San Esteban,53
San Felipe,356
Santa María,59
Santo Domingo,78
Valparaíso,1114
Villa Alemana,326
Viña del Mar,1168
Zapallar,3
Alhué,16
Buin,978
Calera de Tango,186
Cerrillos,1410
Cerro Navia,2576
Colina,2267
Conchalí,2855
Curacaví,444
El Bosque,2784
El Monte,317
Estación Central,3333
Huechuraba,1827
Independencia,4056
Isla de Maipo,174
La Cisterna,1671
La Florida,6879
La Granja,3651
La Pintana,4674
La Reina,1110
Lampa,1437
Las Condes,3370
Lo Barnechea,1657
Lo Espejo,2103
Lo Prado,1810
Macul,2473
Maipú,6272
María Pinto,97
Melipilla,1286
Ñuñoa,2955
Padre Hurtado,692
Paine,515
Pedro Aguirre Cerda,1962
Peñaflor,831
Peñalolén,6360
Pirque,418
Providencia,1737
Pudahuel,3906
Puente Alto,10804
Quilicura,4591
Quinta Normal,2511
Recoleta,4716
Renca,2884
San Bernardo,4688
San Joaquín,2534
San José de Maipo,319
San Miguel,2597
San Pedro,58
San Ramón,2332
Santiago,8818
Talagante,518
Tiltil,185
Vitacura,936
Chépica,9
Chimbarongo,42
Codegua,18
Coinco,23
Coltauco,33
Doñihue,50
Graneros,72
La Estrella,3
Las Cabras,23
Litueche,18
Lolol,12
Machalí,100
Malloa,8
Marchihue,4
Mostazal,34
Nancagua,27
Navidad,20
Olivar,30
Palmilla,6
Paredones,4
Peralillo,21
Peumo,9
Pichidegua,15
Pichilemu,15
Placilla,16
Pumanque,1
Quinta de Tilcoco,5
Rancagua,742
Rengo,82
Requínoa,43
San Fernando,71
San Vicente,67
Santa Cruz,35
Cauquenes,141
Chanco,11
Colbún,53
Constitución,50
Curepto,13
Curicó,677
Empedrado,1
Hualañé,76
Licantén,8
Linares,129
Longaví,68
Maule,105
Molina,55
Parral,130
Pelarco,33
Pelluhue,30
Pencahue,17
Rauco,20
Retiro,68
Río Claro,25
Romeral,70
Sagrada Familia,23
San Clemente,111
San Javier,104
San Rafael,65
Talca,530
Teno,31
Vichuquén,0
Villa Alegre,23
Yerbas Buenas,59
Bulnes,201
Chillán,767
Chillán Viejo,126
Cobquecura,0
Coelemu,35
Coihueco,61
El Carmen,28
Ninhue,12
Ñiquén,32
Pemuco,16
Pinto,17
Portezuelo,7
Quillón,88
Quirihue,23
Ránquil,12
San Carlos,145
San Fabián,8
San Ignacio,45
San Nicolás,40
Treguaco,3
Yungay,69
