comuna,confirmados
Arica,6374
Camarones,25
General Lagos,59
Putre,48
Alto Hospicio,3052
Camiña,58
Colchane,96
Huara,150
Iquique,5671
Pica,340
Pozo Almonte,878
Antofagasta,9139
Calama,6966
María Elena,338
Mejillones,526
Ollagüe,24
San Pedro de Atacama,311
Sierra Gorda,77
Taltal,164
Tocopilla,302
Alto del Carmen,35
Caldera,199
Chañaral,87
Copiapó,3546
Diego de Almagro,114
Freirina,114
Huasco,56
Tierra Amarilla,293
Vallenar,611
Andacollo,71
Canela,57
Combarbalá,50
Coquimbo,3463
Illapel,366
La Higuera,92
La Serena,2879
Los Vilos,186
Monte Patria,344
Ovalle,1712
Paiguano,12
Punitaqui,124
Río Hurtado,40
Salamanca,179
Vicuña,170
Algarrobo,117
Cabildo,353
Calera,1041
Calle Larga,294
Cartagena,212
Casablanca,413
Catemu,199
Concón,587
El Quisco,211
El Tabo,258
Hijuelas,277
Isla de Pascua,5
Juan Fernández,0
La Cruz,279
La Ligua,613
Limache,977
Llaillay,397
Los Andes,1082
Nogales,303
Olmué,241
Panquehue,116
Papudo,112
Petorca,131
Puchuncaví,196
Putaendo,248
Quillota,1959
Quilpué,1976
Quintero,465
Rinconada,175
San Antonio,1466
San Esteban,242
San Felipe,1319
Santa María,268
Santo Domingo,158
Valparaíso,5137
Villa Alemana,1908
Viña del Mar,4866
Zapallar,99
Alhué,259
Buin,2545
Calera de Tango,596
Cerrillos,3142
Cerro Navia,6776
Colina,4694
Conchalí,6344
Curacaví,938
El Bosque,6570
El Monte,1252
Estación Central,6331
Huechuraba,3966
Independencia,6604
Isla de Maipo,1140
La Cisterna,3301
La Florida,13894
La Granja,7110
La Pintana,10485
La Reina,2308
Lampa,3631
Las Condes,6022
Lo Barnechea,3431
Lo Espejo,4375
Lo Prado,5043
Macul,5075
Maipú,15017
María Pinto,393
Melipilla,3978
Ñuñoa,5627
Padre Hurtado,2208
Paine,1964
Pedro Aguirre Cerda,4437
Peñaflor,2974
Peñalolén,11952
Pirque,1135
Providencia,3315
Pudahuel,10015
Puente Alto,23799
Quilicura,9285
Quinta Normal,6233
Recoleta,8620
Renca,8951
San Bernardo,11411
San Joaquín,5099
San José de Maipo,687
San Miguel,5323
San Pedro,246
San Ramón,4573
Santiago,15125
Talagante,1775
Tiltil,596
Vitacura,1578
Chépica,174
Chimbarongo,217
Codegua,256
Coinco,131
Coltauco,310
Doñihue,463
Graneros,560
La Estrella,37
Las Cabras,342
Litueche,94
Lolol,62
Machalí,1039
Malloa,151
Marchihue,30
Mostazal,290
Nancagua,121
Navidad,76
Olivar,252
Palmilla,79
Paredones,33
Peralillo,70
Peumo,114
Pichidegua,303
Pichilemu,56
Placilla,73
Pumanque,5
Quinta de Tilcoco,132
Rancagua,6308
Rengo,1206
Requínoa,440
San Fernando,660
San Vicente,682
Santa Cruz,303
Cauquenes,417
Chanco,56
Colbún,252
Constitución,426
Curepto,97
Curicó,2307
Empedrado,33
Hualañé,116
Licantén,26
Linares,944
Longaví,325
Maule,560
Molina,349
Parral,274
Pelarco,136
Pelluhue,80
Pencahue,66
Rauco,121
Retiro,173
Río Claro,116
Romeral,309
Sagrada Familia,120
San Clemente,612
San Javier,540
San Rafael,163
Talca,2372
Teno,329
Vichuquén,6
Villa Alegre,163
Yerbas Buenas,166
Bulnes,519
Chillán,2075
Chillán Viejo,338
Cobquecura,20
Coelemu,91
Coihueco,240
El Carmen,105
Ninhue,55
Ñiquén,124
Pemuco,105
Pinto,74
Portezuelo,23
Quillón,197
Quirihue,114
Ránquil,50
San Carlos,538
San Fabián,15
San Ignacio,179
San Nicolás,137
Treguaco,16
Yungay,148
Alto Biobío,177
Antuco,64
Arauco,504
Cabrero,183
Cañete,195
Chiguayante,887
Concepción,2466
Contulmo,52
Coronel,1802
Curanilahue,241
Florida,81
Hualpén,1105
Hualqui,347
Laja,199
Lebu,61
Los Álamos,182
Los Ángeles,1355
Lota,565
Mulchén,159
Nacimiento,191
Negrete,163
Penco,787
Quilaco,28
Quilleco,79
San Pedro de la Paz,1244
San Rosendo,36
Santa Bárbara,177
Santa Juana,104
Talcahuano,1867
Tirúa,43
Tomé,733
Tucapel,165
Yumbel,243
Angol,554
Carahue,140
Cholchol,40
Collipulli,175
Cunco,122
Curacautín,40
Curarrehue,4
Ercilla,88
Freire,126
Galvarino,134
Gorbea,45
Lautaro,200
Loncoche,83
Lonquimay,71
Los Sauces,59
Lumaco,44
Melipeuco,14
Nueva Imperial,157
Padre Las Casas,251
Perquenco,61
Pitrufquén,108
Pucón,93
Purén,46
Renaico,61
Saavedra,99
Temuco,1358
Teodoro Schmidt,31
Toltén,18
Traiguén,64
Victoria,239
Vilcún,194
Villarrica,110
Corral,26
Futrono,62
La Unión,105
Lago Ranco,8
Lanco,38
Los Lagos,63
Máfil,34
Mariquina,40
Paillaco,39
Panguipulli,68
Río Bueno,62
Valdivia,525
Ancud,113
Calbuco,308
Castro,31
Chaitén,15
Chonchi,1
Cochamó,23
Curaco de Vélez,18
Dalcahue,8
Fresia,94
Frutillar,271
Futaleufú,1
Hualaihué,25
Llanquihue,194
Los Muermos,106
Maullín,155
Osorno,1088
Palena,0
Puerto Montt,2911
Puerto Octay,60
Puerto Varas,259
Puqueldón,0
