comuna,confirmados
Arica,2139
Camarones,0
General Lagos,0
Putre,11
Alto Hospicio,2065
Camiña,33
Colchane,61
Huara,78
Iquique,3583
Pica,111
Pozo Almonte,429
Antofagasta,4620
Calama,4667
María Elena,264
Mejillones,408
Ollagüe,9
San Pedro de Atacama,126
Sierra Gorda,49
Taltal,78
Tocopilla,195
Alto del Carmen,7
Caldera,46
Chañaral,24
Copiapó,768
Diego de Almagro,38
Freirina,25
Huasco,21
Tierra Amarilla,72
Vallenar,308
Andacollo,40
Canela,16
Combarbalá,30
Coquimbo,1158
Illapel,145
La Higuera,5
La Serena,1014
Los Vilos,63
Monte Patria,206
Ovalle,914
Paiguano,7
Punitaqui,52
Río Hurtado,19
Salamanca,57
Vicuña,37
Algarrobo,100
Cabildo,197
Calera,387
Calle Larga,182
Cartagena,136
Casablanca,141
Catemu,78
Concón,352
El Quisco,120
El Tabo,174
Hijuelas,107
Isla de Pascua,5
Juan Fernández,0
La Cruz,112
La Ligua,221
Limache,550
Llaillay,215
Los Andes,764
Nogales,85
Olmué,87
Panquehue,60
Papudo,69
Petorca,59
Puchuncaví,126
Putaendo,171
Quillota,1049
Quilpué,1139
Quintero,307
Rinconada,137
San Antonio,1027
San Esteban,152
San Felipe,912
Santa María,161
Santo Domingo,132
Valparaíso,3038
Villa Alemana,1098
Viña del Mar,2816
Zapallar,38
Alhué,98
Buin,1862
Calera de Tango,463
Cerrillos,2573
Cerro Navia,5581
Colina,4096
Conchalí,5402
Curacaví,739
El Bosque,5393
El Monte,931
Estación Central,5495
Huechuraba,3291
Independencia,5782
Isla de Maipo,598
La Cisterna,2785
La Florida,11966
La Granja,6229
La Pintana,8568
La Reina,1912
Lampa,2962
Las Condes,5083
Lo Barnechea,2775
Lo Espejo,3636
Lo Prado,4055
Macul,4284
Maipú,12306
María Pinto,270
Melipilla,3051
Ñuñoa,4832
Padre Hurtado,1724
Paine,1470
Pedro Aguirre Cerda,3677
Peñaflor,2325
Peñalolén,10300
Pirque,931
Providencia,2719
Pudahuel,8443
Puente Alto,19797
Quilicura,7976
Quinta Normal,5016
Recoleta,7652
Renca,6761
San Bernardo,9436
San Joaquín,4254
San José de Maipo,531
San Miguel,4523
San Pedro,185
San Ramón,3960
Santiago,13146
Talagante,1332
Tiltil,488
Vitacura,1341
Chépica,79
Chimbarongo,113
Codegua,113
Coinco,70
Coltauco,99
Doñihue,264
Graneros,306
La Estrella,30
Las Cabras,121
Litueche,61
Lolol,45
Machalí,731
Malloa,52
Marchihue,13
Mostazal,171
Nancagua,66
Navidad,52
Olivar,132
Palmilla,28
Paredones,11
Peralillo,47
Peumo,25
Pichidegua,79
Pichilemu,36
Placilla,40
Pumanque,4
Quinta de Tilcoco,59
Rancagua,4160
Rengo,519
Requínoa,259
San Fernando,244
San Vicente,249
Santa Cruz,107
Cauquenes,317
Chanco,29
Colbún,122
Constitución,199
Curepto,34
Curicó,1504
Empedrado,26
Hualañé,113
Licantén,19
Linares,437
Longaví,195
Maule,257
Molina,188
Parral,230
Pelarco,41
Pelluhue,57
Pencahue,36
Rauco,56
Retiro,124
Río Claro,64
Romeral,207
Sagrada Familia,63
San Clemente,340
San Javier,267
San Rafael,107
Talca,1392
Teno,136
Vichuquén,1
Villa Alegre,69
Yerbas Buenas,98
Bulnes,268
Chillán,1276
Chillán Viejo,213
Cobquecura,0
Coelemu,63
Coihueco,115
El Carmen,68
Ninhue,39
Ñiquén,68
Pemuco,85
Pinto,35
Portezuelo,12
Quillón,128
Quirihue,39
Ránquil,27
San Carlos,370
San Fabián,9
San Ignacio,138
San Nicolás,69
Treguaco,3
Yungay,97
Alto Biobío,157
Antuco,47
Arauco,272
Cabrero,118
Cañete,34
Chiguayante,354
Concepción,1256
Contulmo,42
Coronel,955
Curanilahue,63
Florida,34
Hualpén,498
Hualqui,156
Laja,128
Lebu,30
Los Álamos,85
Los Ángeles,815
Lota,288
Mulchén,72
Nacimiento,133
Negrete,106
Penco,304
Quilaco,11
Quilleco,19
San Pedro de la Paz,625
San Rosendo,28
Santa Bárbara,96
Santa Juana,67
Talcahuano,718
Tirúa,30
Tomé,318
Tucapel,124
Yumbel,129
Angol,381
Carahue,82
Cholchol,24
Collipulli,65
Cunco,57
Curacautín,25
Curarrehue,4
Ercilla,19
Freire,111
Galvarino,130
Gorbea,38
Lautaro,125
Loncoche,81
Lonquimay,70
Los Sauces,18
Lumaco,41
Melipeuco,9
Nueva Imperial,124
Padre Las Casas,188
Perquenco,39
Pitrufquén,92
Pucón,71
Purén,24
Renaico,49
Saavedra,96
Temuco,993
Teodoro Schmidt,29
Toltén,16
Traiguén,47
Victoria,171
Vilcún,118
Villarrica,98
Corral,24
Futrono,60
La Unión,93
Lago Ranco,7
Lanco,28
Los Lagos,64
Máfil,20
Mariquina,22
Paillaco,32
Panguipulli,57
Río Bueno,27
Valdivia,346
Ancud,102
Calbuco,83
Castro,9
Chaitén,1
Chonchi,1
Cochamó,8
Curaco de Vélez,15
Dalcahue,7
Fresia,21
Frutillar,90
Futaleufú,1
Hualaihué,12
Llanquihue,84
Los Muermos,22
Maullín,31
Osorno,482
Palena,0
Puerto Montt,727
Puerto Octay,8
Puerto Varas,85
Puqueldón,0
Purranque,80
Puyehue,13
Queilén,0
Quellón,5
Quemchi,14
Quinchao,2
Río Negro,42
San Juan de la Costa,42
San Pablo,13
Aisén,16
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,28
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,46
Porvenir,10
Primavera,3
Punta Arenas,1354
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,1
