comuna,confirmados
Arica,6131
Camarones,25
General Lagos,48
Putre,55
Alto Hospicio,2951
Camiña,57
Colchane,96
Huara,148
Iquique,5512
Pica,313
Pozo Almonte,850
Antofagasta,8867
Calama,6902
María Elena,337
Mejillones,520
Ollagüe,24
San Pedro de Atacama,305
Sierra Gorda,77
Taltal,153
Tocopilla,298
Alto del Carmen,29
Caldera,191
Chañaral,81
Copiapó,3362
Diego de Almagro,90
Freirina,96
Huasco,48
Tierra Amarilla,278
Vallenar,576
Andacollo,64
Canela,42
Combarbalá,41
Coquimbo,3272
Illapel,353
La Higuera,92
La Serena,2753
Los Vilos,173
Monte Patria,320
Ovalle,1612
Paiguano,12
Punitaqui,111
Río Hurtado,41
Salamanca,168
Vicuña,168
Algarrobo,114
Cabildo,342
Calera,1006
Calle Larga,292
Cartagena,207
Casablanca,398
Catemu,181
Concón,575
El Quisco,193
El Tabo,257
Hijuelas,265
Isla de Pascua,5
Juan Fernández,0
La Cruz,265
La Ligua,568
Limache,946
Llaillay,388
Los Andes,1074
Nogales,285
Olmué,227
Panquehue,120
Papudo,107
Petorca,125
Puchuncaví,191
Putaendo,244
Quillota,1884
Quilpué,1915
Quintero,458
Rinconada,173
San Antonio,1434
San Esteban,242
San Felipe,1294
Santa María,262
Santo Domingo,150
Valparaíso,4967
Villa Alemana,1834
Viña del Mar,4658
Zapallar,96
Alhué,251
Buin,2507
Calera de Tango,589
Cerrillos,3120
Cerro Navia,6725
Colina,4656
Conchalí,6305
Curacaví,926
El Bosque,6539
El Monte,1244
Estación Central,6298
Huechuraba,3940
Independencia,6567
Isla de Maipo,1112
La Cisterna,3276
La Florida,13824
La Granja,7092
La Pintana,10402
La Reina,2272
Lampa,3609
Las Condes,5956
Lo Barnechea,3395
Lo Espejo,4337
Lo Prado,4983
Macul,5037
Maipú,14872
María Pinto,386
Melipilla,3930
Ñuñoa,5587
Padre Hurtado,2189
Paine,1949
Pedro Aguirre Cerda,4403
Peñaflor,2915
Peñalolén,11871
Pirque,1129
Providencia,3286
Pudahuel,9945
Puente Alto,23580
Quilicura,9227
Quinta Normal,6182
Recoleta,8584
Renca,8814
San Bernardo,11321
San Joaquín,5065
San José de Maipo,684
San Miguel,5276
San Pedro,245
San Ramón,4543
Santiago,15052
Talagante,1763
Tiltil,591
Vitacura,1562
Chépica,165
Chimbarongo,210
Codegua,242
Coinco,129
Coltauco,295
Doñihue,451
Graneros,540
La Estrella,37
Las Cabras,289
Litueche,94
Lolol,61
Machalí,1031
Malloa,144
Marchihue,30
Mostazal,279
Nancagua,115
Navidad,76
Olivar,242
Palmilla,70
Paredones,31
Peralillo,65
Peumo,105
Pichidegua,275
Pichilemu,55
Placilla,73
Pumanque,5
Quinta de Tilcoco,130
Rancagua,6149
Rengo,1182
Requínoa,436
San Fernando,631
San Vicente,658
Santa Cruz,285
Cauquenes,416
Chanco,52
Colbún,244
Constitución,412
Curepto,88
Curicó,2260
Empedrado,33
Hualañé,116
Licantén,26
Linares,885
Longaví,320
Maule,545
Molina,334
Parral,301
Pelarco,135
Pelluhue,78
Pencahue,57
Rauco,119
Retiro,169
Río Claro,116
Romeral,300
Sagrada Familia,118
San Clemente,601
San Javier,534
San Rafael,146
Talca,2258
Teno,318
Vichuquén,6
Villa Alegre,158
Yerbas Buenas,156
Bulnes,491
Chillán,1977
Chillán Viejo,319
Cobquecura,18
Coelemu,91
Coihueco,236
El Carmen,103
Ninhue,54
Ñiquén,118
Pemuco,105
Pinto,75
Portezuelo,23
Quillón,193
Quirihue,99
Ránquil,49
San Carlos,528
San Fabián,15
San Ignacio,178
San Nicolás,137
Treguaco,15
Yungay,146
Alto Biobío,176
Antuco,64
Arauco,480
Cabrero,169
Cañete,174
Chiguayante,822
Concepción,2299
Contulmo,52
Coronel,1719
Curanilahue,238
Florida,73
Hualpén,1033
Hualqui,319
Laja,196
Lebu,61
Los Álamos,179
Los Ángeles,1316
Lota,542
Mulchén,158
Nacimiento,181
Negrete,150
Penco,709
Quilaco,27
Quilleco,78
San Pedro de la Paz,1189
San Rosendo,36
Santa Bárbara,168
Santa Juana,101
Talcahuano,1735
Tirúa,42
Tomé,652
Tucapel,165
Yumbel,241
Angol,554
Carahue,130
Cholchol,40
Collipulli,163
Cunco,106
Curacautín,35
Curarrehue,4
Ercilla,68
Freire,125
Galvarino,134
Gorbea,45
Lautaro,185
Loncoche,83
Lonquimay,71
Los Sauces,59
Lumaco,44
Melipeuco,13
Nueva Imperial,150
Padre Las Casas,252
Perquenco,57
Pitrufquén,106
Pucón,93
Purén,46
Renaico,61
Saavedra,99
Temuco,1324
Teodoro Schmidt,31
Toltén,18
Traiguén,64
Victoria,223
Vilcún,183
Villarrica,110
Corral,26
Futrono,62
La Unión,107
Lago Ranco,8
Lanco,32
Los Lagos,63
Máfil,35
Mariquina,38
Paillaco,38
Panguipulli,70
Río Bueno,59
Valdivia,524
Ancud,113
Calbuco,285
Castro,31
Chaitén,15
Chonchi,1
Cochamó,23
Curaco de Vélez,18
Dalcahue,8
Fresia,88
Frutillar,248
Futaleufú,1
Hualaihué,22
Llanquihue,182
Los Muermos,101
Maullín,137
Osorno,1043
Palena,1
Puerto Montt,2778
Puerto Octay,49
Puerto Varas,250
Puqueldón,0
Purranque,133
Puyehue,40
Queilén,0
Quellón,7
Quemchi,14
Quinchao,3
Río Negro,68
San Juan de la Costa,60
San Pablo,28
Aisén,58
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,37
Guaitecas,1
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
Laguna Blanca,0
Natales,58
Porvenir,23
Primavera,3
Punta Arenas,2202
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
