comuna,fallecidos
Arica,22
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,25
Camiña,2
Colchane,2
Huara,3
Iquique,65
Pica,0
Pozo Almonte,5
Antofagasta,50
Calama,99
María Elena,5
Mejillones,4
Ollagüe,0
San Pedro de Atacama,1
Sierra Gorda,0
Taltal,2
Tocopilla,4
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,1
Diego de Almagro,1
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,6
Illapel,0
La Higuera,0
La Serena,8
Los Vilos,1
Monte Patria,1
Ovalle,8
Paiguano,0
Punitaqui,2
Río Hurtado,0
Salamanca,0
Vicuña,0
Algarrobo,6
Cabildo,6
Calera,6
Calle Larga,0
Cartagena,2
Casablanca,0
Catemu,1
Concón,4
El Quisco,3
El Tabo,4
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Cruz,1
La Ligua,4
Limache,7
Llaillay,5
Los Andes,21
Nogales,0
Olmué,2
Panquehue,0
Papudo,0
Petorca,0
Puchuncaví,4
Putaendo,0
Quillota,15
Quilpué,9
Quintero,5
Rinconada,2
San Antonio,25
San Esteban,0
San Felipe,18
Santa María,2
Santo Domingo,1
Valparaíso,49
Villa Alemana,12
Viña del Mar,53
Zapallar,2
Alhué,1
Buin,49
Calera de Tango,3
Cerrillos,51
Cerro Navia,183
Colina,75
Conchalí,164
Curacaví,10
El Bosque,143
El Monte,26
Estación Central,99
Huechuraba,106
Independencia,176
Isla de Maipo,13
La Cisterna,86
La Florida,310
La Granja,151
La Pintana,212
La Reina,58
Lampa,39
Las Condes,209
Lo Barnechea,47
Lo Espejo,125
Lo Prado,105
Macul,111
Maipú,246
María Pinto,3
Melipilla,61
Ñuñoa,174
Padre Hurtado,39
Paine,23
Pedro Aguirre Cerda,146
Peñaflor,71
Peñalolén,202
Pirque,10
Providencia,96
Pudahuel,156
Puente Alto,368
Quilicura,99
Quinta Normal,128
Recoleta,239
Renca,160
San Bernardo,225
San Joaquín,104
San José de Maipo,15
San Miguel,93
San Pedro,3
San Ramón,112
Santiago,198
Talagante,39
Tiltil,9
Vitacura,40
Chépica,1
Chimbarongo,3
Codegua,2
Coinco,2
Coltauco,3
Doñihue,2
Graneros,2
La Estrella,0
Las Cabras,2
Litueche,1
Lolol,0
Machalí,6
Malloa,2
Marchihue,0
Mostazal,3
Nancagua,0
Navidad,0
Olivar,1
Palmilla,2
Paredones,0
Peralillo,1
Peumo,3
Pichidegua,1
Pichilemu,0
Placilla,0
Pumanque,0
Quinta de Tilcoco,1
Rancagua,29
Rengo,2
Requínoa,2
San Fernando,5
San Vicente,4
Santa Cruz,1
Cauquenes,4
Chanco,0
Colbún,0
Constitución,2
Curepto,2
Curicó,11
Empedrado,0
Hualañé,1
Licantén,0
Linares,6
Longaví,1
Maule,0
Molina,2
Parral,0
Pelarco,1
Pelluhue,1
Pencahue,0
Rauco,0
Retiro,0
Río Claro,2
Romeral,2
Sagrada Familia,0
San Clemente,4
San Javier,1
San Rafael,0
Talca,9
Teno,3
Vichuquén,0
Villa Alegre,1
Yerbas Buenas,3
Bulnes,5
Chillán,13
Chillán Viejo,1
Cobquecura,0
Coelemu,1
Coihueco,4
El Carmen,1
Ninhue,2
Ñiquén,2
Pemuco,0
Pinto,0
Portezuelo,0
Quillón,3
Quirihue,1
Ránquil,0
San Carlos,3
San Fabián,0
San Ignacio,2
San Nicolás,1
Treguaco,0
Yungay,0
Alto Biobío,0
Antuco,0
Arauco,1
Cabrero,0
Cañete,0
Chiguayante,7
Concepción,18
Contulmo,0
Coronel,3
Curanilahue,1
Florida,2
Hualpén,3
Hualqui,3
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,3
Lota,1
Mulchén,0
