comuna,activos
Arica,117
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,246
Camiña,0
Colchane,0
Huara,7
Iquique,419
Pica,1
Pozo Almonte,13
Antofagasta,296
Calama,76
María Elena,25
Mejillones,45
Ollagüe,0
San Pedro de Atacama,1
Sierra Gorda,4
Taltal,12
Tocopilla,6
Alto del Carmen,0
Caldera,3
Chañaral,0
Copiapó,34
Diego de Almagro,2
Freirina,0
Huasco,0
Tierra Amarilla,5
Vallenar,5
Andacollo,0
Canela,1
Combarbalá,3
Coquimbo,11
Illapel,0
La Higuera,0
La Serena,41
Los Vilos,0
Monte Patria,13
Ovalle,24
Paiguano,0
Punitaqui,0
Río Hurtado,0
Salamanca,1
Vicuña,2
Algarrobo,13
Cabildo,2
Calera,13
Calle Larga,9
Cartagena,6
Casablanca,10
Catemu,3
Concón,12
El Quisco,7
El Tabo,8
Hijuelas,4
Isla de Pascua,0
Juan Fernández,0
La Cruz,5
La Ligua,5
Limache,24
Llaillay,25
Los Andes,43
Nogales,6
Olmué,3
Panquehue,1
Papudo,4
Petorca,3
Puchuncaví,4
Putaendo,6
Quillota,17
Quilpué,40
Quintero,9
Rinconada,7
San Antonio,84
San Esteban,4
San Felipe,52
Santa María,6
Santo Domingo,8
Valparaíso,93
Villa Alemana,45
Viña del Mar,132
Zapallar,0
Alhué,0
Buin,150
Calera de Tango,19
Cerrillos,199
Cerro Navia,211
Colina,347
Conchalí,317
Curacaví,49
El Bosque,401
El Monte,25
Estación Central,476
Huechuraba,229
Independencia,389
Isla de Maipo,14
La Cisterna,280
La Florida,971
La Granja,586
La Pintana,524
La Reina,140
Lampa,149
Las Condes,542
Lo Barnechea,243
Lo Espejo,331
Lo Prado,169
Macul,391
Maipú,772
María Pinto,3
Melipilla,129
Ñuñoa,418
Padre Hurtado,71
Paine,85
Pedro Aguirre Cerda,369
Peñaflor,73
Peñalolén,921
Pirque,46
Providencia,249
Pudahuel,290
Puente Alto,1234
Quilicura,422
Quinta Normal,223
Recoleta,559
Renca,274
San Bernardo,697
San Joaquín,617
San José de Maipo,47
San Miguel,403
San Pedro,3
San Ramón,445
Santiago,1210
Talagante,60
Tiltil,17
Vitacura,190
Chépica,6
Chimbarongo,3
Codegua,3
Coinco,5
Coltauco,7
Doñihue,10
Graneros,12
La Estrella,0
Las Cabras,3
Litueche,2
Lolol,3
Machalí,7
Malloa,1
Marchihue,0
Mostazal,2
Nancagua,3
Navidad,5
Olivar,6
Palmilla,0
Paredones,2
Peralillo,2
Peumo,2
Pichidegua,4
Pichilemu,2
Placilla,3
Pumanque,0
Quinta de Tilcoco,1
Rancagua,82
Rengo,7
Requínoa,3
San Fernando,4
San Vicente,18
Santa Cruz,4
Cauquenes,10
Chanco,0
Colbún,9
Constitución,4
Curepto,2
Curicó,50
Empedrado,0
Hualañé,1
Licantén,0
Linares,21
Longaví,11
Maule,11
Molina,2
Parral,8
Pelarco,8
Pelluhue,7
Pencahue,0
Rauco,1
Retiro,1
Río Claro,2
Romeral,0
Sagrada Familia,1
San Clemente,13
San Javier,15
San Rafael,22
Talca,65
Teno,2
Vichuquén,0
Villa Alegre,1
Yerbas Buenas,10
Bulnes,50
Chillán,62
Chillán Viejo,14
Cobquecura,0
Coelemu,2
Coihueco,7
El Carmen,2
Ninhue,1
Ñiquén,1
Pemuco,2
Pinto,5
Portezuelo,6
Quillón,6
Quirihue,6
Ránquil,0
San Carlos,8
San Fabián,0
San Ignacio,3
San Nicolás,4
Treguaco,0
Yungay,3
Alto Biobío,1
Antuco,2
Arauco,13
Cabrero,4
Cañete,3
Chiguayante,9
Concepción,39
Contulmo,0
Coronel,22
Curanilahue,1
Florida,0
Hualpén,15
Hualqui,6
Laja,31
Lebu,0
Los Álamos,0
Los Ángeles,78
Lota,17
Mulchén,1
Nacimiento,8
Negrete,21
Penco,3
Quilaco,0
Quilleco,0
San Pedro de la Paz,21
San Rosendo,2
Santa Bárbara,10
Santa Juana,0
Talcahuano,31
Tirúa,0
Tomé,9
Tucapel,3
Yumbel,1
Angol,6
Carahue,3
Cholchol,2
Collipulli,4
Cunco,13
Curacautín,0
Curarrehue,0
Ercilla,0
Freire,14
Galvarino,0
Gorbea,1
Lautaro,8
Loncoche,2
Lonquimay,33
Los Sauces,0
Lumaco,1
Melipeuco,0
Nueva Imperial,5
Padre Las Casas,18
Perquenco,0
Pitrufquén,7
Pucón,2
Purén,0
Renaico,5
Saavedra,22
Temuco,60
Teodoro Schmidt,2
Toltén,0
Traiguén,5
Victoria,2
Vilcún,9
Villarrica,1
Corral,8
Futrono,10
La Unión,2
Lago Ranco,0
Lanco,0
Los Lagos,0
Máfil,1
Mariquina,4
Paillaco,3
Panguipulli,2
Río Bueno,1
Valdivia,24
Ancud,41
Calbuco,1
Castro,1
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,0
Frutillar,0
Futaleufú,1
Hualaihué,0
Llanquihue,3
Los Muermos,0
Maullín,13
Osorno,18
Palena,0
Puerto Montt,32
Puerto Octay,0
Puerto Varas,3
Puqueldón,0
Purranque,5
Puyehue,0
Queilén,0
Quellón,0
Quemchi,4
Quinchao,0
Río Negro,6
San Juan de la Costa,4
San Pablo,1
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,2
Porvenir,0
Primavera,0
Punta Arenas,64
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
