comuna,confirmados
Arica,3123
Camarones,13
General Lagos,0
Putre,28
Alto Hospicio,2241
Camiña,37
Colchane,78
Huara,116
Iquique,4073
Pica,176
Pozo Almonte,520
Antofagasta,6134
Calama,5711
María Elena,298
Mejillones,439
Ollagüe,17
San Pedro de Atacama,192
Sierra Gorda,57
Taltal,109
Tocopilla,251
Alto del Carmen,10
Caldera,53
Chañaral,38
Copiapó,1059
Diego de Almagro,50
Freirina,46
Huasco,26
Tierra Amarilla,106
Vallenar,395
Andacollo,45
Canela,20
Combarbalá,31
Coquimbo,1608
Illapel,222
La Higuera,13
La Serena,1447
Los Vilos,77
Monte Patria,238
Ovalle,1065
Paiguano,8
Punitaqui,64
Río Hurtado,22
Salamanca,73
Vicuña,61
Algarrobo,106
Cabildo,272
Calera,555
Calle Larga,236
Cartagena,159
Casablanca,161
Catemu,99
Concón,455
El Quisco,146
El Tabo,193
Hijuelas,148
Isla de Pascua,5
Juan Fernández,0
La Cruz,142
La Ligua,292
Limache,671
Llaillay,286
Los Andes,890
Nogales,121
Olmué,119
Panquehue,85
Papudo,75
Petorca,75
Puchuncaví,153
Putaendo,194
Quillota,1335
Quilpué,1408
Quintero,352
Rinconada,159
San Antonio,1143
San Esteban,194
San Felipe,1014
Santa María,196
Santo Domingo,140
Valparaíso,3506
Villa Alemana,1308
Viña del Mar,3337
Zapallar,61
Alhué,151
Buin,2148
Calera de Tango,530
Cerrillos,2813
Cerro Navia,5998
Colina,4368
Conchalí,5808
Curacaví,816
El Bosque,5981
El Monte,1079
Estación Central,5876
Huechuraba,3527
Independencia,6123
Isla de Maipo,742
La Cisterna,2991
La Florida,12835
La Granja,6670
La Pintana,9132
La Reina,2080
Lampa,3247
Las Condes,5434
Lo Barnechea,2944
Lo Espejo,3934
Lo Prado,4494
Macul,4599
Maipú,13561
María Pinto,318
Melipilla,3524
Ñuñoa,5167
Padre Hurtado,1953
Paine,1730
Pedro Aguirre Cerda,4013
Peñaflor,2648
Peñalolén,11075
Pirque,1029
Providencia,2944
Pudahuel,9158
Puente Alto,21296
Quilicura,8463
Quinta Normal,5468
Recoleta,8045
Renca,7419
San Bernardo,10310
San Joaquín,4638
San José de Maipo,575
San Miguel,4879
San Pedro,211
San Ramón,4250
Santiago,14041
Talagante,1526
Tiltil,523
Vitacura,1407
Chépica,128
Chimbarongo,150
Codegua,163
Coinco,93
Coltauco,139
Doñihue,336
Graneros,409
La Estrella,31
Las Cabras,170
Litueche,73
Lolol,45
Machalí,876
Malloa,84
Marchihue,19
Mostazal,220
Nancagua,83
Navidad,74
Olivar,179
Palmilla,37
Paredones,15
Peralillo,51
Peumo,44
Pichidegua,123
Pichilemu,50
Placilla,55
Pumanque,4
Quinta de Tilcoco,83
Rancagua,5169
Rengo,839
Requínoa,344
San Fernando,342
San Vicente,328
Santa Cruz,149
Cauquenes,379
Chanco,39
Colbún,154
Constitución,253
Curepto,40
Curicó,1781
Empedrado,29
Hualañé,113
Licantén,20
Linares,571
Longaví,250
Maule,347
Molina,230
Parral,254
Pelarco,59
Pelluhue,60
Pencahue,52
Rauco,82
Retiro,132
Río Claro,75
Romeral,226
Sagrada Familia,81
San Clemente,447
San Javier,356
San Rafael,120
Talca,1710
Teno,193
Vichuquén,4
Villa Alegre,104
Yerbas Buenas,110
Bulnes,331
Chillán,1578
Chillán Viejo,259
Cobquecura,1
Coelemu,73
Coihueco,170
El Carmen,90
Ninhue,41
Ñiquén,75
Pemuco,98
Pinto,56
Portezuelo,19
Quillón,170
Quirihue,58
Ránquil,40
San Carlos,457
San Fabián,11
San Ignacio,167
San Nicolás,109
Treguaco,5
Yungay,113
Alto Biobío,168
Antuco,54
Arauco,296
Cabrero,135
Cañete,47
Chiguayante,470
Concepción,1498
Contulmo,43
Coronel,1158
Curanilahue,148
Florida,38
Hualpén,647
Hualqui,178
Laja,154
Lebu,32
Los Álamos,104
Los Ángeles,1009
Lota,357
Mulchén,122
Nacimiento,156
Negrete,123
Penco,377
Quilaco,15
Quilleco,39
San Pedro de la Paz,774
San Rosendo,34
Santa Bárbara,117
Santa Juana,75
Talcahuano,968
Tirúa,30
Tomé,344
Tucapel,143
Yumbel,200
Angol,433
Carahue,87
Cholchol,32
Collipulli,68
Cunco,74
Curacautín,30
Curarrehue,4
Ercilla,29
Freire,113
Galvarino,133
Gorbea,39
Lautaro,130
Loncoche,83
Lonquimay,70
Los Sauces,21
Lumaco,41
Melipeuco,11
Nueva Imperial,127
Padre Las Casas,207
Perquenco,42
Pitrufquén,95
Pucón,78
Purén,30
Renaico,53
Saavedra,99
Temuco,1080
Teodoro Schmidt,31
Toltén,17
Traiguén,49
Victoria,177
Vilcún,126
Villarrica,103
Corral,26
Futrono,61
La Unión,95
Lago Ranco,7
Lanco,28
Los Lagos,63
Máfil,20
Mariquina,31
Paillaco,33
Panguipulli,65
Río Bueno,29
Valdivia,381
Ancud,103
Calbuco,144
Castro,9
Chaitén,12
Chonchi,1
Cochamó,10
Curaco de Vélez,18
Dalcahue,7
Fresia,20
Frutillar,140
Futaleufú,1
Hualaihué,12
Llanquihue,69
Los Muermos,40
Maullín,47
Osorno,576
Palena,0
Puerto Montt,1160
Puerto Octay,9
Puerto Varas,109
Puqueldón,0
Purranque,83
Puyehue,16
Queilén,0
Quellón,6
Quemchi,14
Quinchao,2
Río Negro,49
San Juan de la Costa,43
San Pablo,15
Aisén,35
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,30
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,22
