comuna,confirmados
Arica,1176
Camarones,0
General Lagos,0
Putre,3
Alto Hospicio,1468
Camiña,12
Colchane,16
Huara,41
Iquique,2379
Pica,67
Pozo Almonte,240
Antofagasta,2339
Calama,1532
María Elena,175
Mejillones,286
Ollagüe,2
San Pedro de Atacama,26
Sierra Gorda,35
Taltal,42
Tocopilla,46
Alto del Carmen,4
Caldera,14
Chañaral,3
Copiapó,297
Diego de Almagro,25
Freirina,2
Huasco,9
Tierra Amarilla,35
Vallenar,100
Andacollo,25
Canela,6
Combarbalá,20
Coquimbo,543
Illapel,55
La Higuera,3
La Serena,419
Los Vilos,13
Monte Patria,100
Ovalle,402
Paiguano,5
Punitaqui,33
Río Hurtado,14
Salamanca,44
Vicuña,23
Algarrobo,72
Cabildo,42
Calera,141
Calle Larga,99
Cartagena,68
Casablanca,63
Catemu,44
Concón,120
El Quisco,82
El Tabo,72
Hijuelas,45
Isla de Pascua,5
Juan Fernández,0
La Cruz,57
La Ligua,68
Limache,205
Llaillay,114
Los Andes,370
Nogales,34
Olmué,36
Panquehue,22
Papudo,22
Petorca,25
Puchuncaví,49
Putaendo,72
Quillota,280
Quilpué,410
Quintero,168
Rinconada,76
San Antonio,633
San Esteban,61
San Felipe,403
Santa María,62
Santo Domingo,78
Valparaíso,1322
Villa Alemana,370
Viña del Mar,1314
Zapallar,3
Alhué,22
Buin,1044
Calera de Tango,200
Cerrillos,1545
Cerro Navia,3075
Colina,2521
Conchalí,3244
Curacaví,477
El Bosque,3176
El Monte,412
Estación Central,3650
Huechuraba,1983
Independencia,4300
Isla de Maipo,225
La Cisterna,1797
La Florida,7633
La Granja,3968
La Pintana,5192
La Reina,1225
Lampa,1608
Las Condes,3623
Lo Barnechea,1759
Lo Espejo,2252
Lo Prado,2208
Macul,2708
Maipú,7041
María Pinto,114
Melipilla,1528
Ñuñoa,3184
Padre Hurtado,838
Paine,564
Pedro Aguirre Cerda,2171
Peñaflor,1006
Peñalolén,6811
Pirque,453
Providencia,1821
Pudahuel,4840
Puente Alto,12212
Quilicura,5053
Quinta Normal,2989
Recoleta,5124
Renca,3567
San Bernardo,5280
San Joaquín,2712
San José de Maipo,342
San Miguel,2796
San Pedro,77
San Ramón,2549
Santiago,9412
Talagante,602
Tiltil,226
Vitacura,992
Chépica,21
Chimbarongo,46
Codegua,25
Coinco,26
Coltauco,39
Doñihue,56
Graneros,96
La Estrella,7
Las Cabras,26
Litueche,21
Lolol,15
Machalí,119
Malloa,9
Marchihue,7
Mostazal,48
Nancagua,43
Navidad,27
Olivar,36
Palmilla,10
Paredones,6
Peralillo,29
Peumo,12
Pichidegua,15
Pichilemu,16
Placilla,20
Pumanque,2
Quinta de Tilcoco,7
Rancagua,904
Rengo,98
Requínoa,51
San Fernando,80
San Vicente,81
Santa Cruz,46
Cauquenes,164
Chanco,13
Colbún,60
Constitución,62
Curepto,14
Curicó,780
Empedrado,3
Hualañé,81
Licantén,8
Linares,162
Longaví,94
Maule,111
Molina,62
Parral,143
Pelarco,33
Pelluhue,32
Pencahue,18
Rauco,28
Retiro,78
Río Claro,26
Romeral,76
Sagrada Familia,32
San Clemente,129
San Javier,120
San Rafael,71
Talca,607
Teno,34
Vichuquén,0
Villa Alegre,30
Yerbas Buenas,62
Bulnes,205
Chillán,807
Chillán Viejo,130
Cobquecura,0
Coelemu,35
Coihueco,62
El Carmen,31
Ninhue,15
Ñiquén,41
Pemuco,20
Pinto,18
Portezuelo,7
Quillón,95
Quirihue,23
Ránquil,12
San Carlos,158
San Fabián,8
San Ignacio,65
San Nicolás,43
Treguaco,3
Yungay,72
Alto Biobío,132
Antuco,24
Arauco,91
Cabrero,45
Cañete,21
Chiguayante,163
Concepción,541
Contulmo,1
Coronel,309
Curanilahue,26
Florida,7
Hualpén,217
Hualqui,56
Laja,76
Lebu,11
Los Álamos,7
Los Ángeles,400
Lota,88
Mulchén,27
Nacimiento,58
Negrete,65
Penco,103
Quilaco,5
Quilleco,6
San Pedro de la Paz,318
San Rosendo,5
Santa Bárbara,50
