comuna,activos
Arica,87
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,78
Camiña,0
Colchane,0
Huara,3
Iquique,63
Pica,0
Pozo Almonte,1
Antofagasta,201
Calama,37
María Elena,24
Mejillones,83
Ollagüe,0
San Pedro de Atacama,0
Sierra Gorda,0
Taltal,1
Tocopilla,2
Alto del Carmen,0
Caldera,1
Chañaral,0
Copiapó,26
Diego de Almagro,1
Freirina,0
Huasco,1
Tierra Amarilla,4
Vallenar,14
Andacollo,2
Canela,0
Combarbalá,0
Coquimbo,8
Illapel,1
La Higuera,0
La Serena,9
Los Vilos,0
Monte Patria,0
Ovalle,2
Paiguano,0
Punitaqui,2
Río Hurtado,0
Salamanca,1
Vicuña,1
Algarrobo,1
Cabildo,5
Calera,2
Calle Larga,0
Cartagena,4
Casablanca,0
Catemu,1
Concón,6
El Quisco,1
El Tabo,3
Hijuelas,0
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,1
Limache,0
Llaillay,2
Los Andes,2
Nogales,0
Olmué,0
Panquehue,0
Papudo,0
Petorca,0
Puchuncaví,0
Putaendo,1
Quillota,4
Quilpué,8
Quintero,1
Rinconada,0
San Antonio,34
San Esteban,2
San Felipe,2
Santa María,13
Santo Domingo,5
Valparaíso,40
Villa Alemana,5
Viña del Mar,29
Zapallar,0
Alhué,0
Buin,33
Calera de Tango,1
Cerrillos,169
Cerro Navia,103
Colina,48
Conchalí,150
Curacaví,8
El Bosque,114
El Monte,8
Estación Central,252
Huechuraba,55
Independencia,354
Isla de Maipo,4
La Cisterna,64
La Florida,262
La Granja,107
La Pintana,156
La Reina,66
Lampa,49
Las Condes,133
Lo Barnechea,92
Lo Espejo,75
Lo Prado,118
Macul,89
Maipú,195
María Pinto,2
Melipilla,63
Ñuñoa,92
Padre Hurtado,25
Paine,12
Pedro Aguirre Cerda,112
Peñaflor,32
Peñalolén,182
Pirque,27
Providencia,53
Pudahuel,127
Puente Alto,398
Quilicura,278
Quinta Normal,132
Recoleta,387
Renca,133
San Bernardo,214
San Joaquín,136
San José de Maipo,16
San Miguel,90
San Pedro,8
San Ramón,146
Santiago,608
Talagante,10
Tiltil,5
Vitacura,29
Chépica,0
Chimbarongo,0
Codegua,1
