comuna,fallecidos
Arica,96
Camarones,1
General Lagos,0
Putre,0
Alto Hospicio,53
Camiña,2
Colchane,3
Huara,4
Iquique,115
Pica,2
Pozo Almonte,14
Antofagasta,168
Calama,214
María Elena,14
Mejillones,5
Ollagüe,0
San Pedro de Atacama,10
Sierra Gorda,1
Taltal,4
Tocopilla,9
Alto del Carmen,0
Caldera,1
Chañaral,0
Copiapó,28
Diego de Almagro,2
Freirina,2
Huasco,0
Tierra Amarilla,1
Vallenar,1
Andacollo,1
Canela,2
Combarbalá,0
Coquimbo,30
Illapel,3
La Higuera,0
La Serena,36
Los Vilos,5
Monte Patria,4
Ovalle,24
Paiguano,0
Punitaqui,5
Río Hurtado,0
Salamanca,3
Vicuña,1
Algarrobo,8
Cabildo,18
Calera,32
Calle Larga,2
Cartagena,4
Casablanca,4
Catemu,4
Concón,10
El Quisco,3
El Tabo,12
Hijuelas,5
Isla de Pascua,0
Juan Fernández,0
La Cruz,3
La Ligua,17
Limache,23
Llaillay,8
Los Andes,47
Nogales,5
Olmué,5
Panquehue,0
Papudo,3
Petorca,1
Puchuncaví,4
Putaendo,6
Quillota,41
Quilpué,44
Quintero,12
Rinconada,4
San Antonio,40
San Esteban,5
San Felipe,31
Santa María,4
Santo Domingo,2
Valparaíso,106
Villa Alemana,25
Viña del Mar,128
Zapallar,3
Alhué,4
Buin,81
Calera de Tango,9
Cerrillos,81
Cerro Navia,260
Colina,114
Conchalí,232
Curacaví,17
El Bosque,220
El Monte,43
Estación Central,150
Huechuraba,138
Independencia,250
Isla de Maipo,21
La Cisterna,126
La Florida,492
La Granja,206
La Pintana,320
La Reina,92
Lampa,53
Las Condes,309
Lo Barnechea,74
Lo Espejo,193
Lo Prado,143
Macul,162
Maipú,405
María Pinto,7
Melipilla,119
Ñuñoa,257
Padre Hurtado,55
Paine,45
Pedro Aguirre Cerda,214
Peñaflor,116
Peñalolén,320
Pirque,30
Providencia,160
Pudahuel,245
Puente Alto,585
Quilicura,155
Quinta Normal,174
Recoleta,304
Renca,249
San Bernardo,339
San Joaquín,158
San José de Maipo,20
San Miguel,143
San Pedro,4
San Ramón,168
Santiago,282
Talagante,65
Tiltil,13
Vitacura,61
Chépica,4
Chimbarongo,6
Codegua,6
Coinco,4
Coltauco,10
Doñihue,8
Graneros,4
La Estrella,0
Las Cabras,7
