comuna,activos
Arica,655
Camarones,8
General Lagos,0
Putre,17
Alto Hospicio,137
Camiña,6
Colchane,15
Huara,28
Iquique,409
Pica,69
Pozo Almonte,83
Antofagasta,1065
Calama,726
María Elena,27
Mejillones,28
Ollagüe,4
San Pedro de Atacama,39
Sierra Gorda,6
Taltal,22
Tocopilla,49
Alto del Carmen,2
Caldera,13
Chañaral,6
Copiapó,275
Diego de Almagro,14
Freirina,17
Huasco,3
Tierra Amarilla,33
Vallenar,107
Andacollo,2
Canela,4
Combarbalá,1
Coquimbo,310
Illapel,69
La Higuera,5
La Serena,281
Los Vilos,11
Monte Patria,28
Ovalle,122
Paiguano,1
Punitaqui,12
Río Hurtado,4
Salamanca,9
Vicuña,12
Algarrobo,3
Cabildo,32
Calera,109
Calle Larga,31
Cartagena,15
Casablanca,16
Catemu,10
Concón,92
El Quisco,21
El Tabo,24
Hijuelas,27
Isla de Pascua,0
Juan Fernández,0
La Cruz,19
La Ligua,50
Limache,109
Llaillay,51
Los Andes,104
Nogales,20
Olmué,26
Panquehue,14
Papudo,7
Petorca,13
Puchuncaví,17
Putaendo,29
Quillota,232
Quilpué,226
Quintero,25
Rinconada,19
San Antonio,99
San Esteban,42
San Felipe,113
Santa María,30
Santo Domingo,9
Valparaíso,467
Villa Alemana,206
Viña del Mar,419
Zapallar,17
Alhué,40
Buin,197
Calera de Tango,42
Cerrillos,203
Cerro Navia,274
Colina,226
Conchalí,318
Curacaví,74
El Bosque,436
El Monte,120
Estación Central,298
Huechuraba,177
Independencia,262
Isla de Maipo,89
La Cisterna,154
La Florida,638
La Granja,373
La Pintana,403
La Reina,154
Lampa,239
Las Condes,266
Lo Barnechea,89
Lo Espejo,210
Lo Prado,254
Macul,242
Maipú,851
María Pinto,37
Melipilla,370
Ñuñoa,265
Padre Hurtado,153
Paine,223
Pedro Aguirre Cerda,237
Peñaflor,196
Peñalolén,564
Pirque,91
Providencia,198
Pudahuel,529
Puente Alto,1118
Quilicura,374
Quinta Normal,340
Recoleta,297
Renca,544
San Bernardo,680
San Joaquín,281
San José de Maipo,27
San Miguel,275
San Pedro,27
San Ramón,236
Santiago,687
Talagante,140
Tiltil,40
Vitacura,53
Chépica,32
Chimbarongo,25
Codegua,26
Coinco,21
Coltauco,22
Doñihue,62
Graneros,80
La Estrella,6
Las Cabras,44
Litueche,9
Lolol,1
Machalí,138
Malloa,14
Marchihue,4
Mostazal,37
Nancagua,18
Navidad,8
Olivar,44
Palmilla,8
Paredones,3
Peralillo,4
Peumo,12
Pichidegua,33
Pichilemu,11
Placilla,13
Pumanque,0
Quinta de Tilcoco,22
Rancagua,868
Rengo,243
Requínoa,75
San Fernando,81
San Vicente,65
Santa Cruz,31
Cauquenes,51
Chanco,5
Colbún,26
Constitución,37
Curepto,5
Curicó,211
Empedrado,1
Hualañé,1
Licantén,1
Linares,121
Longaví,37
Maule,78
Molina,34
Parral,18
Pelarco,12
Pelluhue,4
Pencahue,16
Rauco,17
Retiro,9
Río Claro,17
Romeral,18
Sagrada Familia,20
San Clemente,97
San Javier,64
San Rafael,14
Talca,297
Teno,37
Vichuquén,1
Villa Alegre,25
Yerbas Buenas,2
Bulnes,46
Chillán,276
Chillán Viejo,36
Cobquecura,1
Coelemu,7
Coihueco,54
El Carmen,19
Ninhue,3
Ñiquén,3
Pemuco,14
Pinto,17
Portezuelo,3
Quillón,38
Quirihue,16
Ránquil,3
San Carlos,83
San Fabián,1
San Ignacio,19
San Nicolás,29
Treguaco,1
Yungay,11
Alto Biobío,15
Antuco,9
Arauco,24
Cabrero,16
Cañete,6
Chiguayante,92
Concepción,202
Contulmo,2
Coronel,180
Curanilahue,58
Florida,3
Hualpén,127
Hualqui,24
Laja,29
Lebu,2
Los Álamos,19
Los Ángeles,151
Lota,75
Mulchén,35
Nacimiento,27
Negrete,12
Penco,70
Quilaco,1
Quilleco,19
San Pedro de la Paz,116
San Rosendo,5
Santa Bárbara,19
Santa Juana,7
Talcahuano,176
Tirúa,0
Tomé,15
Tucapel,18
Yumbel,71
Angol,50
Carahue,4
Cholchol,7
Collipulli,2
Cunco,7
Curacautín,2
Curarrehue,0
Ercilla,4
Freire,1
Galvarino,7
Gorbea,1
Lautaro,4
Loncoche,4
Lonquimay,0
Los Sauces,4
Lumaco,3
Melipeuco,2
Nueva Imperial,2
Padre Las Casas,18
Perquenco,2
Pitrufquén,2
Pucón,2
Purén,2
Renaico,4
Saavedra,3
Temuco,73
Teodoro Schmidt,1
Toltén,2
Traiguén,4
Victoria,7
Vilcún,11
Villarrica,3
Corral,2
Futrono,1
La Unión,7
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,1
Paillaco,2
Panguipulli,7
Río Bueno,4
Valdivia,41
Ancud,0
Calbuco,53
Castro,1
Chaitén,9
Chonchi,0
Cochamó,0
Curaco de Vélez,4
Dalcahue,0
Fresia,3
Frutillar,68
Futaleufú,0
Hualaihué,2
Llanquihue,26
Los Muermos,14
Maullín,17
Osorno,45
Palena,0
Puerto Montt,290
Puerto Octay,0
Puerto Varas,11
Puqueldón,0
Purranque,3
Puyehue,3
Queilén,0
Quellón,1
Quemchi,0
Quinchao,0
Río Negro,3
San Juan de la Costa,0
San Pablo,3
Aisén,11
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,1
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,9
Porvenir,0
Primavera,0
Punta Arenas,89
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
