comuna,confirmados
Arica,1758
Camarones,0
General Lagos,0
Putre,11
Alto Hospicio,1949
Camiña,25
Colchane,54
Huara,65
Iquique,3210
Pica,90
Pozo Almonte,377
Antofagasta,3777
Calama,3847
María Elena,222
Mejillones,343
Ollagüe,6
San Pedro de Atacama,89
Sierra Gorda,44
Taltal,65
Tocopilla,112
Alto del Carmen,6
Caldera,26
Chañaral,22
Copiapó,603
Diego de Almagro,36
Freirina,16
Huasco,17
Tierra Amarilla,67
Vallenar,228
Andacollo,37
Canela,12
Combarbalá,29
Coquimbo,971
Illapel,103
La Higuera,4
La Serena,813
Los Vilos,39
Monte Patria,177
Ovalle,814
Paiguano,7
Punitaqui,49
Río Hurtado,17
Salamanca,56
Vicuña,34
Algarrobo,96
Cabildo,149
Calera,285
Calle Larga,165
Cartagena,121
Casablanca,127
Catemu,71
Concón,255
El Quisco,108
El Tabo,128
Hijuelas,84
Isla de Pascua,5
Juan Fernández,0
La Cruz,87
La Ligua,187
Limache,453
Llaillay,186
Los Andes,663
Nogales,68
Olmué,71
Panquehue,57
Papudo,62
Petorca,48
Puchuncaví,102
Putaendo,141
Quillota,837
Quilpué,927
Quintero,271
Rinconada,122
San Antonio,935
San Esteban,125
San Felipe,789
Santa María,136
Santo Domingo,118
Valparaíso,2643
Villa Alemana,910
Viña del Mar,2424
Zapallar,25
Alhué,75
Buin,1701
Calera de Tango,406
Cerrillos,2384
Cerro Navia,5152
Colina,3837
Conchalí,5060
Curacaví,676
El Bosque,4906
El Monte,799
Estación Central,5180
Huechuraba,3093
Independencia,5563
Isla de Maipo,517
La Cisterna,2615
La Florida,11143
La Granja,5868
La Pintana,7928
La Reina,1766
Lampa,2778
Las Condes,4747
Lo Barnechea,2610
Lo Espejo,3369
Lo Prado,3774
Macul,4050
Maipú,11312
María Pinto,223
Melipilla,2673
Ñuñoa,4532
Padre Hurtado,1546
Paine,1266
Pedro Aguirre Cerda,3439
Peñaflor,2117
Peñalolén,9745
Pirque,848
Providencia,2515
Pudahuel,7880
Puente Alto,18366
Quilicura,7540
Quinta Normal,4660
Recoleta,7311
Renca,5997
San Bernardo,8626
San Joaquín,3937
San José de Maipo,493
San Miguel,4249
San Pedro,153
San Ramón,3735
Santiago,12481
Talagante,1146
Tiltil,442
Vitacura,1234
Chépica,58
Chimbarongo,90
Codegua,84
Coinco,59
Coltauco,81
Doñihue,186
Graneros,257
La Estrella,20
Las Cabras,86
Litueche,55
Lolol,39
Machalí,540
Malloa,42
Marchihue,12
Mostazal,140
Nancagua,54
Navidad,52
Olivar,97
Palmilla,26
Paredones,11
Peralillo,41
Peumo,22
Pichidegua,54
Pichilemu,34
Placilla,32
Pumanque,4
Quinta de Tilcoco,40
Rancagua,3257
Rengo,381
Requínoa,204
San Fernando,190
San Vicente,205
Santa Cruz,88
Cauquenes,271
Chanco,29
Colbún,112
Constitución,143
Curepto,29
Curicó,1315
Empedrado,23
Hualañé,112
Licantén,18
Linares,342
Longaví,175
Maule,209
Molina,154
Parral,217
Pelarco,39
Pelluhue,55
Pencahue,28
Rauco,45
Retiro,114
Río Claro,47
Romeral,181
Sagrada Familia,55
San Clemente,251
San Javier,215
San Rafael,98
Talca,1154
Teno,109
Vichuquén,0
Villa Alegre,50
Yerbas Buenas,90
Bulnes,251
Chillán,1125
Chillán Viejo,188
Cobquecura,0
Coelemu,62
Coihueco,92
El Carmen,63
Ninhue,33
Ñiquén,66
Pemuco,74
Pinto,34
Portezuelo,11
Quillón,122
Quirihue,39
Ránquil,21
San Carlos,315
San Fabián,9
San Ignacio,132
San Nicolás,63
Treguaco,3
Yungay,93
Alto Biobío,162
Antuco,45
Arauco,224
Cabrero,130
Cañete,33
Chiguayante,305
Concepción,1108
Contulmo,32
Coronel,788
Curanilahue,55
Florida,28
Hualpén,407
Hualqui,136
Laja,110
Lebu,28
Los Álamos,64
Los Ángeles,678
Lota,219
Mulchén,52
Nacimiento,107
Negrete,103
Penco,236
Quilaco,10
Quilleco,12
San Pedro de la Paz,552
San Rosendo,20
Santa Bárbara,90
Santa Juana,62
Talcahuano,614
Tirúa,29
Tomé,299
Tucapel,111
Yumbel,98
Angol,349
Carahue,82
Cholchol,25
Collipulli,57
Cunco,56
Curacautín,23
Curarrehue,4
Ercilla,19
Freire,107
Galvarino,116
Gorbea,38
Lautaro,122
Loncoche,70
Lonquimay,71
Los Sauces,9
Lumaco,42
Melipeuco,8
Nueva Imperial,112
Padre Las Casas,180
Perquenco,26
Pitrufquén,92
Pucón,72
Purén,21
Renaico,54
Saavedra,98
Temuco,951
Teodoro Schmidt,33
Toltén,16
Traiguén,44
Victoria,161
Vilcún,116
Villarrica,90
Corral,24
Futrono,60
La Unión,87
Lago Ranco,6
Lanco,28
Los Lagos,63
Máfil,20
Mariquina,22
Paillaco,29
Panguipulli,55
Río Bueno,24
Valdivia,303
Ancud,102
Calbuco,44
Castro,9
Chaitén,1
Chonchi,0
Cochamó,5
Curaco de Vélez,9
Dalcahue,7
Fresia,9
Frutillar,53
Futaleufú,1
Hualaihué,13
Llanquihue,62
Los Muermos,16
Maullín,20
Osorno,466
Palena,0
Puerto Montt,525
Puerto Octay,5
Puerto Varas,74
Puqueldón,0
Purranque,76
Puyehue,13
Queilén,0
Quellón,5
Quemchi,14
Quinchao,2
Río Negro,38
San Juan de la Costa,42
San Pablo,12
Aisén,10
Chile Chico,1
Cisnes,0
Cochrane,0
Coyhaique,28
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,21
Laguna Blanca,0
Natales,39
Porvenir,10
Primavera,3
Punta Arenas,1304
Río Verde,0
San Gregorio,2
Timaukel,0
Torres del Paine,0
