comuna,confirmados
Arica,1371
Camarones,0
General Lagos,0
Putre,9
Alto Hospicio,1672
Camiña,16
Colchane,26
Huara,55
Iquique,2698
Pica,77
Pozo Almonte,298
Antofagasta,2718
Calama,2375
María Elena,196
Mejillones,291
Ollagüe,2
San Pedro de Atacama,44
Sierra Gorda,42
Taltal,53
Tocopilla,59
Alto del Carmen,5
Caldera,18
Chañaral,6
Copiapó,397
Diego de Almagro,31
Freirina,4
Huasco,11
Tierra Amarilla,42
Vallenar,138
Andacollo,26
Canela,6
Combarbalá,28
Coquimbo,688
Illapel,72
La Higuera,5
La Serena,543
Los Vilos,19
Monte Patria,126
Ovalle,588
Paiguano,9
Punitaqui,38
Río Hurtado,16
Salamanca,49
Vicuña,27
Algarrobo,82
Cabildo,75
Calera,185
Calle Larga,122
Cartagena,82
Casablanca,91
Catemu,54
Concón,169
El Quisco,87
El Tabo,95
Hijuelas,57
Isla de Pascua,5
Juan Fernández,0
La Cruz,69
La Ligua,125
Limache,327
Llaillay,134
Los Andes,483
Nogales,50
Olmué,53
Panquehue,42
Papudo,50
Petorca,28
Puchuncaví,74
Putaendo,93
Quillota,537
Quilpué,636
Quintero,212
Rinconada,90
San Antonio,749
San Esteban,89
San Felipe,609
Santa María,98
Santo Domingo,98
Valparaíso,1978
Villa Alemana,631
Viña del Mar,1753
Zapallar,6
Alhué,52
Buin,1428
Calera de Tango,293
Cerrillos,2036
Cerro Navia,4313
Colina,3335
Conchalí,4315
Curacaví,584
El Bosque,4100
El Monte,584
Estación Central,4547
Huechuraba,2645
Independencia,5015
Isla de Maipo,362
La Cisterna,2236
La Florida,9515
La Granja,5102
La Pintana,6875
La Reina,1513
Lampa,2340
Las Condes,4192
Lo Barnechea,2177
Lo Espejo,2835
Lo Prado,3032
Macul,3501
Maipú,9361
María Pinto,166
Melipilla,2044
Ñuñoa,3894
Padre Hurtado,1191
Paine,971
Pedro Aguirre Cerda,2884
Peñaflor,1544
Peñalolén,8368
Pirque,725
Providencia,2207
Pudahuel,6495
Puente Alto,15682
Quilicura,6546
Quinta Normal,4041
Recoleta,6543
Renca,4766
San Bernardo,7055
