comuna,activos
Arica,818
Camarones,12
General Lagos,0
Putre,15
Alto Hospicio,119
Camiña,3
Colchane,13
Huara,28
Iquique,344
Pica,57
Pozo Almonte,55
Antofagasta,966
Calama,585
María Elena,17
Mejillones,29
Ollagüe,7
San Pedro de Atacama,44
Sierra Gorda,6
Taltal,27
Tocopilla,36
Alto del Carmen,2
Caldera,11
Chañaral,13
Copiapó,240
Diego de Almagro,10
Freirina,28
Huasco,2
Tierra Amarilla,28
Vallenar,72
Andacollo,1
Canela,2
Combarbalá,1
Coquimbo,325
Illapel,53
La Higuera,6
La Serena,344
Los Vilos,9
Monte Patria,22
Ovalle,93
Paiguano,1
Punitaqui,10
Río Hurtado,2
Salamanca,8
Vicuña,15
Algarrobo,3
Cabildo,44
Calera,117
Calle Larga,22
Cartagena,15
Casablanca,16
Catemu,14
Concón,72
El Quisco,18
El Tabo,16
Hijuelas,30
Isla de Pascua,0
Juan Fernández,0
La Cruz,21
La Ligua,42
Limache,88
Llaillay,54
Los Andes,91
Nogales,25
Olmué,17
Panquehue,23
Papudo,5
Petorca,7
Puchuncaví,13
Putaendo,25
Quillota,177
Quilpué,196
Quintero,37
Rinconada,18
San Antonio,75
San Esteban,33
San Felipe,70
Santa María,20
Santo Domingo,7
Valparaíso,425
Villa Alemana,159
Viña del Mar,347
Zapallar,14
Alhué,41
Buin,193
Calera de Tango,45
Cerrillos,147
Cerro Navia,255
Colina,195
Conchalí,253
Curacaví,65
El Bosque,351
El Monte,87
Estación Central,277
Huechuraba,131
Independencia,223
Isla de Maipo,109
La Cisterna,139
La Florida,553
La Granja,261
La Pintana,344
La Reina,106
Lampa,193
Las Condes,220
Lo Barnechea,79
Lo Espejo,209
Lo Prado,281
Macul,206
Maipú,689
María Pinto,30
Melipilla,293
Ñuñoa,230
Padre Hurtado,128
Paine,175
Pedro Aguirre Cerda,178
Peñaflor,235
Peñalolén,440
Pirque,51
Providencia,147
Pudahuel,457
Puente Alto,865
Quilicura,295
Quinta Normal,280
Recoleta,253
Renca,361
San Bernardo,538
San Joaquín,276
San José de Maipo,41
San Miguel,228
San Pedro,13
San Ramón,215
Santiago,543
Talagante,102
Tiltil,24
Vitacura,40
Chépica,36
Chimbarongo,20
Codegua,39
Coinco,17
Coltauco,29
Doñihue,58
Graneros,66
La Estrella,2
Las Cabras,37
Litueche,7
Lolol,0
Machalí,101
Malloa,22
Marchihue,3
Mostazal,31
Nancagua,11
Navidad,5
Olivar,22
Palmilla,10
Paredones,0
Peralillo,3
Peumo,17
Pichidegua,30
Pichilemu,13
Placilla,9
Pumanque,0
Quinta de Tilcoco,18
Rancagua,673
Rengo,253
Requínoa,61
San Fernando,81
San Vicente,64
Santa Cruz,35
Cauquenes,56
Chanco,9
Colbún,18
Constitución,43
Curepto,3
Curicó,204
Empedrado,3
Hualañé,0
Licantén,1
Linares,104
Longaví,38
Maule,74
Molina,37
Parral,20
Pelarco,17
Pelluhue,1
Pencahue,16
Rauco,22
Retiro,4
Río Claro,6
Romeral,10
Sagrada Familia,16
San Clemente,80
San Javier,81
San Rafael,8
Talca,241
Teno,45
Vichuquén,3
Villa Alegre,24
Yerbas Buenas,11
Bulnes,49
Chillán,262
Chillán Viejo,39
Cobquecura,1
Coelemu,9
Coihueco,58
El Carmen,18
Ninhue,1
Ñiquén,5
Pemuco,11
Pinto,17
Portezuelo,7
Quillón,34
Quirihue,17
Ránquil,12
San Carlos,67
San Fabián,2
San Ignacio,25
San Nicolás,36
Treguaco,1
Yungay,14
Alto Biobío,10
Antuco,6
Arauco,16
Cabrero,13
Cañete,12
Chiguayante,97
Concepción,198
Contulmo,0
Coronel,145
Curanilahue,69
Florida,4
Hualpén,119
Hualqui,21
Laja,21
Lebu,2
Los Álamos,13
Los Ángeles,147
Lota,58
Mulchén,33
Nacimiento,19
Negrete,12
Penco,60
Quilaco,3
Quilleco,18
San Pedro de la Paz,118
San Rosendo,6
Santa Bárbara,15
Santa Juana,6
Talcahuano,173
Tirúa,0
Tomé,18
Tucapel,10
Yumbel,55
Angol,41
Carahue,5
Cholchol,6
Collipulli,1
Cunco,16
Curacautín,7
Curarrehue,0
Ercilla,9
Freire,2
Galvarino,0
Gorbea,1
Lautaro,7
Loncoche,2
Lonquimay,0
Los Sauces,2
Lumaco,3
Melipeuco,2
Nueva Imperial,0
Padre Las Casas,14
Perquenco,3
Pitrufquén,0
Pucón,8
Purén,5
Renaico,5
Saavedra,3
Temuco,67
Teodoro Schmidt,1
Toltén,0
Traiguén,0
Victoria,7
Vilcún,10
Villarrica,3
Corral,1
Futrono,1
La Unión,11
Lago Ranco,0
Lanco,1
Los Lagos,0
Máfil,0
Mariquina,11
Paillaco,1
Panguipulli,9
Río Bueno,2
Valdivia,58
Ancud,4
Calbuco,53
Castro,0
Chaitén,11
Chonchi,0
Cochamó,2
Curaco de Vélez,3
Dalcahue,0
Fresia,0
Frutillar,47
Futaleufú,0
Hualaihué,1
Llanquihue,6
Los Muermos,7
Maullín,19
Osorno,47
Palena,0
Puerto Montt,373
Puerto Octay,0
Puerto Varas,18
Puqueldón,0
Purranque,0
Puyehue,3
Queilén,0
Quellón,1
Quemchi,0
Quinchao,0
Río Negro,4
San Juan de la Costa,1
San Pablo,1
Aisén,21
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,2
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,3
Porvenir,0
Primavera,0
Punta Arenas,103
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
