comuna,fallecidos
Arica,75
Camarones,1
General Lagos,0
Putre,0
Alto Hospicio,49
Camiña,2
Colchane,3
Huara,4
Iquique,107
Pica,1
Pozo Almonte,13
Antofagasta,142
Calama,200
María Elena,13
Mejillones,5
Ollagüe,0
San Pedro de Atacama,8
Sierra Gorda,1
Taltal,3
Tocopilla,9
Alto del Carmen,0
Caldera,1
Chañaral,0
Copiapó,14
Diego de Almagro,2
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,19
Illapel,1
La Higuera,0
La Serena,23
Los Vilos,2
Monte Patria,4
Ovalle,22
Paiguano,0
Punitaqui,5
Río Hurtado,0
Salamanca,1
Vicuña,1
Algarrobo,7
Cabildo,18
Calera,19
Calle Larga,2
Cartagena,3
Casablanca,2
Catemu,3
Concón,8
El Quisco,3
El Tabo,11
Hijuelas,5
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,12
Limache,20
Llaillay,7
Los Andes,41
Nogales,3
Olmué,3
Panquehue,0
Papudo,3
Petorca,1
Puchuncaví,4
Putaendo,6
Quillota,39
Quilpué,40
Quintero,9
Rinconada,4
San Antonio,37
San Esteban,4
San Felipe,28
Santa María,5
Santo Domingo,2
Valparaíso,96
Villa Alemana,19
Viña del Mar,107
Zapallar,2
Alhué,3
Buin,78
Calera de Tango,7
Cerrillos,78
Cerro Navia,250
Colina,109
Conchalí,222
Curacaví,16
El Bosque,207
El Monte,41
Estación Central,144
Huechuraba,137
Independencia,238
Isla de Maipo,19
La Cisterna,114
La Florida,460
La Granja,196
La Pintana,307
La Reina,86
Lampa,52
Las Condes,290
Lo Barnechea,70
Lo Espejo,184
Lo Prado,136
Macul,153
Maipú,376
María Pinto,5
Melipilla,114
Ñuñoa,242
Padre Hurtado,51
Paine,44
Pedro Aguirre Cerda,201
Peñaflor,110
Peñalolén,311
Pirque,28
Providencia,149
Pudahuel,236
Puente Alto,558
Quilicura,147
Quinta Normal,170
Recoleta,300
Renca,235
San Bernardo,323
San Joaquín,152
San José de Maipo,20
San Miguel,134
San Pedro,4
San Ramón,160
Santiago,278
Talagante,62
Tiltil,13
Vitacura,61
Chépica,4
Chimbarongo,6
Codegua,5
Coinco,4
Coltauco,7
Doñihue,7
Graneros,4
La Estrella,0
Las Cabras,6
Litueche,2
Lolol,2
Machalí,12
Malloa,5
Marchihue,0
Mostazal,5
Nancagua,3
Navidad,1
Olivar,4
Palmilla,3
Paredones,2
Peralillo,1
Peumo,5
Pichidegua,4
Pichilemu,0
Placilla,0
Pumanque,1
Quinta de Tilcoco,3
Rancagua,111
Rengo,23
Requínoa,7
San Fernando,8
San Vicente,11
Santa Cruz,7
Cauquenes,10
Chanco,1
Colbún,1
Constitución,6
Curepto,4
Curicó,42
Empedrado,0
Hualañé,2
Licantén,3
Linares,17
Longaví,2
Maule,4
Molina,12
Parral,3
Pelarco,2
Pelluhue,2
Pencahue,0
Rauco,1
Retiro,0
Río Claro,6
Romeral,4
Sagrada Familia,1
San Clemente,10
San Javier,13
San Rafael,0
Talca,35
Teno,5
Vichuquén,1
Villa Alegre,2
Yerbas Buenas,5
