comuna,activos
Arica,143
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,253
Camiña,0
Colchane,0
Huara,6
Iquique,469
Pica,2
Pozo Almonte,19
Antofagasta,280
Calama,87
María Elena,29
Mejillones,33
Ollagüe,0
San Pedro de Atacama,1
Sierra Gorda,4
Taltal,12
Tocopilla,6
Alto del Carmen,0
Caldera,1
Chañaral,0
Copiapó,25
Diego de Almagro,5
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,5
Andacollo,0
Canela,1
Combarbalá,3
Coquimbo,9
Illapel,0
La Higuera,0
La Serena,35
Los Vilos,0
Monte Patria,13
Ovalle,23
Paiguano,0
Punitaqui,0
Río Hurtado,0
Salamanca,1
Vicuña,4
Algarrobo,7
Cabildo,3
Calera,12
Calle Larga,10
Cartagena,8
Casablanca,10
Catemu,4
Concón,
El Quisco,7
El Tabo,5
Hijuelas,5
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,6
Limache,23
Llaillay,26
Los Andes,50
Nogales,6
Olmué,4
Panquehue,2
Papudo,3
Petorca,4
Puchuncaví,2
Putaendo,7
Quillota,11
Quilpué,42
Quintero,10
Rinconada,13
San Antonio,60
San Esteban,6
San Felipe,49
Santa María,4
Santo Domingo,5
Valparaíso,109
Villa Alemana,33
Viña del Mar,120
Zapallar,0
Alhué,1
Buin,162
Calera de Tango,29
Cerrillos,211
Cerro Navia,173
Colina,393
Conchalí,320
Curacaví,62
El Bosque,352
El Monte,23
Estación Central,446
Huechuraba,225
Independencia,403
Isla de Maipo,10
La Cisterna,221
La Florida,1226
La Granja,789
La Pintana,568
La Reina,179
Lampa,221
Las Condes,641
Lo Barnechea,274
Lo Espejo,251
Lo Prado,141
Macul,404
Maipú,890
María Pinto,3
Melipilla,173
Ñuñoa,456
Padre Hurtado,69
Paine,73
Pedro Aguirre Cerda,271
Peñaflor,84
Peñalolén,1229
Pirque,57
Providencia,292
Pudahuel,339
Puente Alto,1376
Quilicura,472
Quinta Normal,205
Recoleta,533
Renca,223
San Bernardo,672
San Joaquín,455
San José de Maipo,61
San Miguel,379
San Pedro,0
San Ramón,469
Santiago,1194
Talagante,58
Tiltil,27
Vitacura,217
Chépica,6
Chimbarongo,5
Codegua,1
Coinco,3
Coltauco,2
Doñihue,8
Graneros,12
La Estrella,0
Las Cabras,1
Litueche,0
Lolol,2
Machalí,12
Malloa,1
Marchihue,0
Mostazal,2
Nancagua,5
Navidad,1
Olivar,4
Palmilla,3
Paredones,0
Peralillo,0
Peumo,2
Pichidegua,4
Pichilemu,5
Placilla,2
Pumanque,0
Quinta de Tilcoco,0
Rancagua,94
Rengo,6
Requínoa,0
San Fernando,5
San Vicente,14
Santa Cruz,4
Cauquenes,15
Chanco,0
Colbún,8
Constitución,6
Curepto,4
Curicó,85
Empedrado,0
Hualañé,6
Licantén,0
Linares,22
Longaví,9
Maule,15
Molina,5
Parral,20
Pelarco,6
Pelluhue,6
Pencahue,2
Rauco,2
Retiro,4
Río Claro,3
Romeral,2
Sagrada Familia,0
San Clemente,19
San Javier,9
San Rafael,32
Talca,84
Teno,4
Vichuquén,0
Villa Alegre,2
Yerbas Buenas,12
Bulnes,55
Chillán,96
Chillán Viejo,30
Cobquecura,0
Coelemu,4
Coihueco,9
El Carmen,3
Ninhue,2
Ñiquén,6
Pemuco,1
Pinto,3
Portezuelo,5
Quillón,12
Quirihue,2
Ránquil,0
San Carlos,11
San Fabián,0
San Ignacio,4
San Nicolás,7
Treguaco,0
Yungay,2
Alto Biobío,17
Antuco,2
Arauco,18
Cabrero,3
Cañete,9
Chiguayante,6
Concepción,59
Contulmo,0
Coronel,25
Curanilahue,0
Florida,0
Hualpén,14
Hualqui,11
Laja,25
Lebu,0
Los Álamos,1
Los Ángeles,82
Lota,16
Mulchén,0
Nacimiento,10
Negrete,18
Penco,4
Quilaco,0
Quilleco,1
San Pedro de la Paz,29
San Rosendo,1
Santa Bárbara,11
Santa Juana,0
Talcahuano,31
Tirúa,0
Tomé,6
Tucapel,6
Yumbel,5
Angol,12
Carahue,9
Cholchol,1
Collipulli,11
Cunco,18
Curacautín,0
Curarrehue,0
Ercilla,0
Freire,19
Galvarino,1
Gorbea,2
Lautaro,7
