comuna,confirmados
Arica,3882
Camarones,13
General Lagos,1
Putre,36
Alto Hospicio,2371
Camiña,43
Colchane,86
Huara,132
Iquique,4404
Pica,196
Pozo Almonte,581
Antofagasta,6743
Calama,6076
María Elena,306
Mejillones,451
Ollagüe,21
San Pedro de Atacama,235
Sierra Gorda,60
Taltal,120
Tocopilla,261
Alto del Carmen,10
Caldera,70
Chañaral,39
Copiapó,1335
Diego de Almagro,52
Freirina,49
Huasco,26
Tierra Amarilla,125
Vallenar,442
Andacollo,51
Canela,21
Combarbalá,32
Coquimbo,2017
Illapel,245
La Higuera,34
La Serena,1709
Los Vilos,87
Monte Patria,252
Ovalle,1147
Paiguano,9
Punitaqui,81
Río Hurtado,25
Salamanca,86
Vicuña,116
Algarrobo,108
Cabildo,277
Calera,660
Calle Larga,225
Cartagena,170
Casablanca,179
Catemu,108
Concón,475
El Quisco,160
El Tabo,202
Hijuelas,170
Isla de Pascua,5
Juan Fernández,0
La Cruz,166
La Ligua,333
Limache,709
Llaillay,298
Los Andes,949
Nogales,150
Olmué,135
Panquehue,106
Papudo,78
Petorca,80
Puchuncaví,154
Putaendo,203
Quillota,1401
Quilpué,1437
Quintero,369
Rinconada,161
San Antonio,1208
San Esteban,207
San Felipe,1058
Santa María,214
Santo Domingo,144
Valparaíso,3693
Villa Alemana,1395
Viña del Mar,3504
Zapallar,68
Alhué,167
Buin,2233
Calera de Tango,553
Cerrillos,2902
Cerro Navia,6179
Colina,4435
Conchalí,5908
Curacaví,839
El Bosque,6169
El Monte,1121
Estación Central,5993
Huechuraba,3616
Independencia,6225
Isla de Maipo,863
La Cisterna,3055
La Florida,13038
La Granja,6798
La Pintana,9677
La Reina,2121
Lampa,3355
Las Condes,5577
Lo Barnechea,3118
Lo Espejo,4043
Lo Prado,4647
Macul,4703
Maipú,13848
María Pinto,344
Melipilla,3634
Ñuñoa,5278
Padre Hurtado,2017
Paine,1775
Pedro Aguirre Cerda,4133
Peñaflor,2721
Peñalolén,11281
Pirque,1056
Providencia,3040
Pudahuel,9368
Puente Alto,21893
Quilicura,8672
Quinta Normal,5643
Recoleta,8139
Renca,7848
San Bernardo,10576
San Joaquín,4771
San José de Maipo,597
San Miguel,4975
San Pedro,219
San Ramón,4350
Santiago,14329
Talagante,1562
Tiltil,541
Vitacura,1446
Chépica,139
Chimbarongo,167
Codegua,189
Coinco,106
Coltauco,174
Doñihue,373
Graneros,450
La Estrella,34
Las Cabras,190
Litueche,77
Lolol,46
Machalí,934
Malloa,104
Marchihue,27
Mostazal,232
Nancagua,91
Navidad,76
Olivar,189
Palmilla,39
Paredones,20
Peralillo,53
Peumo,60
Pichidegua,139
Pichilemu,54
Placilla,62
Pumanque,4
Quinta de Tilcoco,95
Rancagua,5480
Rengo,910
Requínoa,365
San Fernando,393
San Vicente,406
Santa Cruz,166
Cauquenes,386
Chanco,46
Colbún,176
Constitución,320
Curepto,45
Curicó,1912
Empedrado,30
Hualañé,115
Licantén,21
Linares,634
Longaví,256
Maule,402
Molina,248
Parral,260
Pelarco,85
Pelluhue,63
Pencahue,54
Rauco,97
Retiro,135
Río Claro,85
Romeral,239
Sagrada Familia,86
San Clemente,487
San Javier,395
San Rafael,125
Talca,1810
Teno,227
Vichuquén,6
Villa Alegre,129
Yerbas Buenas,120
Bulnes,344
Chillán,1671
Chillán Viejo,284
Cobquecura,1
Coelemu,73
Coihueco,198
El Carmen,93
Ninhue,44
Ñiquén,84
Pemuco,102
Pinto,65
Portezuelo,21
Quillón,175
Quirihue,62
Ránquil,40
San Carlos,478
San Fabián,14
San Ignacio,168
San Nicolás,112
Treguaco,6
Yungay,124
Alto Biobío,171
Antuco,55
Arauco,326
Cabrero,144
Cañete,78
Chiguayante,530
Concepción,1653
Contulmo,45
Coronel,1258
Curanilahue,174
Florida,46
Hualpén,703
Hualqui,199
Laja,165
Lebu,39
Los Álamos,122
Los Ángeles,1085
Lota,389
Mulchén,127
Nacimiento,157
Negrete,131
Penco,400
Quilaco,16
Quilleco,45
San Pedro de la Paz,859
San Rosendo,34
Santa Bárbara,126
Santa Juana,86
Talcahuano,1113
Tirúa,30
Tomé,373
Tucapel,146
Yumbel,202
Angol,451
