comuna,confirmados
Arica,904
Camarones,0
General Lagos,0
Putre,1
Alto Hospicio,1238
Camiña,10
Colchane,5
Huara,37
Iquique,1904
Pica,59
Pozo Almonte,121
Antofagasta,1876
Calama,756
María Elena,168
Mejillones,279
Ollagüe,0
San Pedro de Atacama,11
Sierra Gorda,21
Taltal,37
Tocopilla,38
Alto del Carmen,2
Caldera,10
Chañaral,1
Copiapó,207
Diego de Almagro,15
Freirina,1
Huasco,5
Tierra Amarilla,26
Vallenar,80
Andacollo,19
Canela,4
Combarbalá,20
Coquimbo,363
Illapel,43
La Higuera,1
La Serena,260
Los Vilos,8
Monte Patria,68
Ovalle,257
Paiguano,4
Punitaqui,26
Río Hurtado,10
Salamanca,37
Vicuña,19
Algarrobo,57
Cabildo,32
Calera,94
Calle Larga,81
Cartagena,61
Casablanca,43
Catemu,27
Concón,90
El Quisco,69
El Tabo,70
Hijuelas,33
Isla de Pascua,5
Juan Fernández,0
La Cruz,36
La Ligua,46
Limache,146
Llaillay,85
Los Andes,273
Nogales,25
Olmué,25
Panquehue,17
Papudo,16
Petorca,21
Puchuncaví,24
Putaendo,49
Quillota,138
Quilpué,321
Quintero,122
Rinconada,53
San Antonio,538
San Esteban,43
San Felipe,267
Santa María,46
Santo Domingo,57
Valparaíso,922
Villa Alemana,288
Viña del Mar,992
Zapallar,3
Alhué,10
Buin,815
Calera de Tango,146
Cerrillos,1231
Cerro Navia,2149
Colina,1986
Conchalí,2542
Curacaví,402
El Bosque,2418
El Monte,252
Estación Central,2943
Huechuraba,1580
Independencia,3630
Isla de Maipo,133
La Cisterna,1391
La Florida,6031
La Granja,3294
La Pintana,3955
La Reina,953
Lampa,1257
Las Condes,3034
Lo Barnechea,1475
Lo Espejo,1743
Lo Prado,1566
Macul,2149
Maipú,5273
María Pinto,83
Melipilla,1060
Ñuñoa,2533
Padre Hurtado,548
Paine,390
Pedro Aguirre Cerda,1684
Peñaflor,674
Peñalolén,5552
Pirque,388
Providencia,1542
Pudahuel,3201
Puente Alto,9143
Quilicura,3887
Quinta Normal,2088
Recoleta,4358
Renca,2504
San Bernardo,3845
San Joaquín,2255
San José de Maipo,277
San Miguel,2286
San Pedro,49
San Ramón,2107
Santiago,7786
Talagante,432
Tiltil,140
Vitacura,859
Chépica,8
Chimbarongo,32
Codegua,14
Coinco,19
Coltauco,30
Doñihue,45
Graneros,61
La Estrella,1
Las Cabras,23
Litueche,14
Lolol,11
Machalí,88
Malloa,4
Marchihue,4
Mostazal,30
Nancagua,18
Navidad,18
Olivar,27
Palmilla,4
Paredones,3
Peralillo,9
Peumo,8
Pichidegua,12
Pichilemu,14
Placilla,13
Pumanque,1
Quinta de Tilcoco,4
Rancagua,547
Rengo,51
Requínoa,36
San Fernando,57
San Vicente,52
Santa Cruz,22
Cauquenes,143
Chanco,6
Colbún,46
Constitución,42
Curepto,13
Curicó,534
Empedrado,1
Hualañé,63
Licantén,2
Linares,107
Longaví,49
Maule,90
Molina,46
Parral,106
Pelarco,26
Pelluhue,12
Pencahue,14
Rauco,17
Retiro,59
Río Claro,22
Romeral,53
Sagrada Familia,14
San Clemente,88
San Javier,82
San Rafael,59
Talca,433
Teno,22
Vichuquén,0
Villa Alegre,17
Yerbas Buenas,48
Bulnes,197
Chillán,700
Chillán Viejo,115
Cobquecura,0
Coelemu,29
Coihueco,54
El Carmen,27
Ninhue,11
Ñiquén,28
