comuna,2020-04-12,2020-04-14,2020-04-16,2020-04-19,2020-04-23,2020-04-26,2020-04-30,2020-05-04,2020-05-07,2020-05-10,2020-05-14,2020-05-17,2020-05-21,2020-05-24,2020-05-28,2020-05-31,2020-06-04,2020-06-07,2020-06-11,2020-06-14
Limache,6,8,11,11,11,4,0,0,2,5,23,21,24,23,15,12,29,35,55,61
Llaillay,0,0,0,0,0,0,2,2,2,2,7,9,25,26,25,14,14,23,22,30
Los Andes,3,4,4,4,1,0,2,2,8,16,17,18,43,50,56,49,55,94,94,113
Nogales,0,0,0,0,0,0,0,0,0,1,2,3,6,6,4,4,8,7,5,9
Olmue,1,1,2,0,0,0,0,0,0,0,1,1,3,4,7,8,4,4,5,7
Panquehue,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,1,3,4,5,6
Papudo,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,6,6,3,5
Petorca,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,7,6,7,3
Puchuncavi,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,6,10,14,25
Putaendo,0,1,1,4,3,2,1,1,2,5,5,5,6,7,2,4,8,21,27,27
Quillota,5,5,6,4,2,2,3,4,5,6,11,18,17,11,7,15,20,37,84,121
Quilpue,7,5,5,5,4,3,9,8,12,15,34,41,40,42,37,47,61,64,60,71
Quintero,0,0,0,0,3,6,4,1,4,4,10,15,9,10,11,20,20,30,27,36
Rinconada,2,2,2,1,1,0,0,0,0,0,0,2,7,13,15,16,20,14,19,21
San Antonio,10,8,17,16,20,20,27,34,57,48,59,69,84,60,82,74,100,127,125,83
San Esteban,0,0,0,1,1,3,2,2,2,5,5,3,4,6,4,4,11,19,20,20
San Felipe,1,0,0,0,0,0,3,2,4,7,18,23,52,49,52,40,64,113,132,138
Santa Maria,0,0,0,0,0,0,11,13,12,9,3,1,6,4,6,4,4,15,21,15
Santo Domingo,2,6,5,4,5,3,4,5,3,3,7,6,8,5,0,2,6,10,24,22
Valparaiso,15,12,15,18,16,11,34,40,83,78,93,105,93,109,114,153,218,263,296,380
Villa Alemana,1,1,1,0,1,2,3,5,18,25,33,28,45,33,30,33,74,88,70,73
Vina del Mar,15,12,14,18,17,17,23,29,51,69,103,122,132,120,136,186,218,234,252,290
Zapallar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alhue,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,5,2
Buin,15,13,12,17,16,16,27,33,46,68,112,121,150,162,102,108,106,133,215,182
Calera de Tango,1,0,1,5,5,5,3,1,5,7,10,11,19,29,32,26,24,45,46,42
Cerrillos,13,18,23,19,24,29,66,169,200,186,161,141,199,211,179,186,139,137,171,211
Cerro Navia,26,28,40,53,51,50,76,103,125,167,161,157,211,173,182,221,257,295,312,322
Colina,20,15,15,17,16,20,35,48,105,149,256,255,347,393,395,377,397,431,416,413
Conchali,24,26,28,35,37,49,75,150,199,208,263,245,317,320,292,294,337,355,367,344
Curacavi,6,4,4,2,0,0,4,8,9,15,37,41,49,62,82,122,130,145,108,103
El Bosque,47,42,51,57,51,66,93,114,175,200,268,283,401,352,317,310,396,519,517,592
El Monte,8,4,6,3,2,4,9,8,10,9,2,15,25,23,28,35,35,37,56,44
Estacion Central,34,39,41,53,66,95,177,252,277,303,401,406,476,446,361,439,428,452,451,436
Huechuraba,19,21,22,21,22,19,35,55,108,120,164,148,229,225,174,200,179,187,246,204
Independencia,27,28,44,68,127,159,257,354,424,440,457,369,389,403,480,482,486,462,434,380
Isla de Maipo,7,5,3,1,0,2,3,4,3,6,8,7,14,10,15,20,18,19,28,32
La Cisterna,21,24,23,28,26,30,52,64,92,114,159,180,280,221,165,225,251,296,342,298
La Florida,72,62,77,78,82,112,166,262,427,554,786,878,971,1226,1113,1082,931,1087,1169,1184
La Granja,26,22,20,24,22,33,60,107,155,184,382,456,586,789,769,702,400,529,515,501
La Pintana,34,38,44,55,53,96,126,156,228,237,403,480,524,568,683,752,632,730,748,756
La Reina,15,13,12,10,7,24,42,66,83,87,101,110,140,179,221,188,152,161,164,181
Lampa,18,17,14,12,16,23,38,49,86,86,129,114,149,221,231,198,154,189,210,221
Las Condes,47,38,37,34,41,37,80,133,235,287,410,415,542,641,649,643,551,534,505,471
Lo Barnechea,23,25,38,47,41,46,73,92,165,171,201,188,243,274,259,261,206,207,229,194
Lo Espejo,37,33,33,30,23,40,57,75,104,117,235,255,331,251,167,245,253,347,437,384
Lo Prado,18,14,26,34,34,48,95,118,127,138,130,118,169,141,140,148,159,194,202,219
Macul,15,9,13,16,32,45,62,89,146,180,255,322,391,404,337,403,296,315,379,396
Maipu,81,81,102,108,103,118,144,195,260,323,529,513,772,890,873,929,868,963,1041,1067
Maria Pinto,0,0,1,0,0,0,2,2,0,0,0,2,3,3,7,11,12,11,4,7
Melipilla,5,7,12,19,20,24,36,63,60,52,48,57,129,173,206,269,305,338,360,326
Nunoa,60,64,78,71,73,83,70,92,125,142,283,302,418,456,528,556,459,459,540,506
Padre Hurtado,11,9,10,11,6,9,22,25,33,37,43,37,71,69,69,67,70,71,111,113
Paine,5,5,6,4,4,3,7,12,31,35,72,73,85,73,78,64,70,75,150,139
Pedro Aguirre Cerda,34,44,47,42,36,48,81,112,130,147,249,305,369,271,200,210,152,270,287,305
Penaflor,9,8,9,14,17,22,29,32,29,29,42,48,73,84,83,89,99,121,131,118
Penalolen,61,54,65,73,72,96,124,182,284,436,638,739,921,1229,1119,1197,999,1030,1020,884
Pirque,5,6,5,5,4,6,17,27,25,25,38,46,46,57,85,106,70,71,53,43
Providencia,27,22,29,41,39,29,38,53,99,138,191,189,249,292,360,336,329,302,258,196
Pudahuel,39,35,39,42,40,56,96,127,165,208,234,244,290,339,353,370,391,460,497,522
Puente Alto,179,169,220,245,263,266,250,398,533,647,802,1070,1234,1376,1461,1451,1331,1395,1769,1866
Quilicura,49,45,48,45,59,113,217,278,351,287,332,284,422,472,578,531,515,537,711,663
Quinta Normal,45,51,62,66,66,60,111,132,153,187,181,173,223,205,188,200,214,265,320,280
Recoleta,39,34,51,63,86,116,252,387,534,514,534,506,559,533,507,480,457,473,455,451
Renca,20,26,42,52,68,72,84,133,166,181,173,182,274,223,240,251,296,328,367,412
San Bernardo,81,77,105,108,143,162,160,214,268,301,399,478,697,672,649,612,550,627,837,749
San Joaquin,24,26,40,45,47,59,71,136,216,267,409,449,617,455,284,295,278,331,377,373
San Jose de Maipo,1,1,1,1,2,3,7,16,23,29,35,35,47,61,81,86,44,59,69,60
San Miguel,40,39,46,57,48,55,65,90,153,174,250,273,403,379,335,371,350,432,416,403
San Pedro,0,0,0,1,2,2,7,8,5,3,2,2,3,0,1,2,2,6,8,8
