comuna,2020-04-12,2020-04-14,2020-04-16,2020-04-19,2020-04-23,2020-04-26,2020-04-30,2020-05-04,2020-05-07,2020-05-10,2020-05-14,2020-05-17,2020-05-21,2020-05-24,2020-05-28,2020-05-31,2020-06-04,2020-06-07,2020-06-11,2020-06-14
Villa Alegre,0,0,0,1,1,1,1,0,0,0,1,1,1,2,2,1,7,9,13,16
Yerbas Buenas,0,0,0,1,0,0,1,1,1,1,3,6,10,12,11,10,20,17,11,11
Bulnes,13,9,6,7,8,7,3,11,14,13,36,55,50,55,37,33,22,26,18,15
Chillan,79,61,51,35,37,31,19,18,13,20,28,66,62,96,92,83,90,119,140,156
Chillan Viejo,13,11,7,9,3,3,1,0,0,2,4,10,14,30,27,19,13,16,24,26
Cobquecura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coelemu,2,0,0,0,0,0,0,0,0,0,0,1,2,4,13,14,15,13,13,12
Coihueco,6,4,5,12,13,12,13,10,5,2,3,7,7,9,5,1,1,2,7,8
El Carmen,1,1,1,0,0,0,0,0,0,1,1,2,2,3,9,10,17,9,7,5
Ninhue,2,2,2,2,2,1,0,0,0,0,0,1,1,2,0,2,4,3,2,4
Niquen,2,2,2,2,0,0,0,0,0,0,0,0,1,6,4,4,8,16,12,20
Pemuco,3,2,1,1,1,0,0,0,0,1,3,4,2,1,1,1,5,6,3,6
Pinto,5,4,3,2,2,1,0,0,0,0,0,2,5,3,2,0,0,2,0,1
Portezuelo,1,0,0,0,0,0,0,0,0,0,2,4,6,5,2,2,0,0,0,0
Quillon,5,0,0,1,0,1,3,4,2,3,2,7,6,12,16,13,22,27,30,34
Quirihue,2,0,0,0,1,1,1,0,0,4,8,10,6,2,1,4,4,3,2,2
Ranquil,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
San Carlos,12,10,5,4,3,5,4,3,2,6,8,10,8,11,20,18,28,41,58,60
San Fabian,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Ignacio,1,1,1,0,1,1,2,3,3,2,1,3,3,4,11,11,13,10,16,35
San Nicolas,5,6,4,3,2,0,0,0,0,0,2,2,4,7,6,4,7,8,7,7
Treguaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2
Yungay,25,17,13,4,3,4,5,8,4,1,3,3,3,2,4,3,4,7,6,6
Alto Biobio,0,0,0,0,0,0,0,0,0,0,0,0,1,17,41,79,66,64,32,32
Antuco,0,0,0,0,0,0,0,0,1,2,3,3,2,2,11,12,13,5,7,6
Arauco,2,0,0,0,0,0,0,0,5,9,7,6,13,18,23,33,26,30,19,21
Cabrero,7,4,5,3,6,8,6,2,6,4,4,5,4,3,3,4,4,6,6,13
Canete,0,0,0,0,0,0,0,0,1,0,0,0,3,9,10,13,5,8,7,7
Chiguayante,27,13,8,7,16,13,11,11,8,8,6,9,9,6,12,19,26,23,35,39
Concepcion,22,46,42,33,32,23,19,9,23,33,27,26,39,59,95,119,105,92,117,168
Contulmo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Coronel,9,2,2,1,0,2,5,4,7,7,15,21,22,25,62,102,114,100,97,95
Curanilahue,0,0,0,0,1,1,0,0,2,2,2,3,1,0,1,2,3,4,12,14
Florida,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Hualpen,67,24,18,15,13,11,3,4,9,10,14,14,15,14,16,18,26,26,31,34
Hualqui,4,5,6,5,10,7,2,0,0,1,2,4,6,11,18,16,11,9,8,8
Laja,0,1,1,1,4,6,6,5,3,11,29,34,31,25,15,10,11,8,8,10
Lebu,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,6,2,2
Los Alamos,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,2,4
Los Angeles,4,1,2,4,3,3,2,0,2,13,39,61,78,82,92,84,99,95,97,87
Lota,0,0,0,0,0,0,0,1,8,12,13,21,17,16,20,25,25,27,21,24
Mulchen,0,0,0,0,0,0,0,1,2,4,4,3,1,0,3,9,10,12,6,4
Nacimiento,4,5,3,2,1,0,0,2,5,9,8,8,8,10,11,11,6,7,7,17
Negrete,2,2,0,0,0,0,0,0,0,3,7,14,21,18,14,15,10,10,19,25
Penco,5,5,6,7,9,7,2,2,2,1,2,3,3,4,10,14,17,27,39,51
Quilaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3
Quilleco,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,2,4,4,3
San Pedro de la Paz,29,17,14,13,15,10,3,5,6,9,12,13,21,29,63,65,58,57,67,93
San Rosendo,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,3,3,0
Santa Barbara,0,0,0,0,0,0,0,0,0,0,5,10,10,11,11,19,18,21,8,10
Santa Juana,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,6,13,16
Talcahuano,17,31,22,28,24,24,23,27,22,27,23,24,31,31,43,48,67,65,62,55
Tirua,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Tome,27,17,14,10,12,10,3,1,1,14,17,17,9,6,6,9,17,25,46,44
Tucapel,1,0,1,0,0,0,0,0,0,0,0,3,3,6,4,7,17,23,29,25
Yumbel,0,0,0,1,1,1,0,1,4,6,4,3,1,5,8,11,13,11,6,9
Angol,12,17,14,25,34,38,41,29,18,14,12,9,6,12,21,26,29,28,57,84
Carahue,14,15,14,12,10,6,2,4,3,2,1,0,3,9,13,10,14,15,5,6
Cholchol,0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,2,10,16,10,5
Collipulli,1,1,0,1,0,1,2,2,0,0,0,1,4,11,13,10,7,9,7,9
Cunco,1,2,1,0,0,0,0,0,1,1,1,2,13,18,20,13,4,8,14,15
Curacautin,3,2,2,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,2,9
Curarrehue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ercilla,3,2,3,4,5,4,4,1,1,0,0,0,0,0,0,5,4,1,0,2
Freire,0,0,0,1,2,2,0,0,0,2,11,16,14,19,30,32,25,21,23,21
Galvarino,1,0,0,0,0,0,0,0,1,1,2,1,0,1,5,14,40,49,50,43
Gorbea,1,0,1,1,2,2,1,0,1,1,2,3,1,2,4,4,1,5,9,8
Lautaro,13,10,4,7,5,7,2,2,7,15,14,10,8,7,9,20,22,20,14,11
Loncoche,4,3,3,3,0,1,5,4,2,3,2,2,2,1,14,17,20,17,4,1
Lonquimay,0,0,0,0,0,0,0,0,5,7,13,17,33,27,22,5,2,0,0,0
